Datum;month;year;day;STP 25000TL-30 754 / Datenloggerobjekt Energie / Zaehleraenderung [kWh]0
01.12.2021;12;2021;1;
02.12.2021;12;2021;2;
03.12.2021;12;2021;3;
04.12.2021;12;2021;4;
05.12.2021;12;2021;5;
06.12.2021;12;2021;6;
07.12.2021;12;2021;7;
08.12.2021;12;2021;8;
09.12.2021;12;2021;9;6,77
10.12.2021;12;2021;10;2,967
11.12.2021;12;2021;11;4,071
12.12.2021;12;2021;12;11,757
13.12.2021;12;2021;13;32,864
14.12.2021;12;2021;14;9,189
15.12.2021;12;2021;15;3,025
16.12.2021;12;2021;16;9,648
17.12.2021;12;2021;17;18,098
18.12.2021;12;2021;18;4,231
19.12.2021;12;2021;19;2,797
20.12.2021;12;2021;20;32,933
21.12.2021;12;2021;21;4,804
22.12.2021;12;2021;22;27,515
23.12.2021;12;2021;23;11,148
24.12.2021;12;2021;24;1,967
25.12.2021;12;2021;25;7,549
26.12.2021;12;2021;26;5,661
27.12.2021;12;2021;27;7,512
28.12.2021;12;2021;28;6,455
29.12.2021;12;2021;29;3,223
30.12.2021;12;2021;30;7,19
31.12.2021;12;2021;31;26,151
01.01.2022;1;2022;1;31,517
02.01.2022;1;2022;2;7,04
03.01.2022;1;2022;3;6,307
04.01.2022;1;2022;4;1,075
05.01.2022;1;2022;5;25,041
06.01.2022;1;2022;6;12,651
07.01.2022;1;2022;7;6,624
08.01.2022;1;2022;8;17,161
09.01.2022;1;2022;9;17,407
10.01.2022;1;2022;10;16,739
11.01.2022;1;2022;11;7,588
12.01.2022;1;2022;12;23,358
13.01.2022;1;2022;13;35,966
14.01.2022;1;2022;14;36,591
15.01.2022;1;2022;15;6,034
16.01.2022;1;2022;16;32,33
17.01.2022;1;2022;17;13,099
18.01.2022;1;2022;18;36,722
19.01.2022;1;2022;19;34,951
20.01.2022;1;2022;20;15,631
21.01.2022;1;2022;21;36,816
22.01.2022;1;2022;22;27,756
23.01.2022;1;2022;23;39,874
24.01.2022;1;2022;24;41,767
25.01.2022;1;2022;25;42,315
26.01.2022;1;2022;26;5,036
27.01.2022;1;2022;27;13,343
28.01.2022;1;2022;28;33,706
29.01.2022;1;2022;29;23,1
30.01.2022;1;2022;30;22,523
31.01.2022;1;2022;31;10,982
01.02.2022;2;2022;1;7,763
02.02.2022;2;2022;2;4,975
03.02.2022;2;2022;3;19,836
04.02.2022;2;2022;4;17,956
05.02.2022;2;2022;5;53,122
06.02.2022;2;2022;6;6,888
07.02.2022;2;2022;7;32,138
08.02.2022;2;2022;8;54,458
09.02.2022;2;2022;9;55,935
10.02.2022;2;2022;10;31,973
11.02.2022;2;2022;11;38,127
12.02.2022;2;2022;12;51,11
13.02.2022;2;2022;13;56,908
14.02.2022;2;2022;14;13,965
15.02.2022;2;2022;15;15,868
16.02.2022;2;2022;16;5,333
17.02.2022;2;2022;17;29,571
18.02.2022;2;2022;18;16,735
19.02.2022;2;2022;19;63,784
20.02.2022;2;2022;20;18,097
21.02.2022;2;2022;21;28,001
22.02.2022;2;2022;22;28,05
23.02.2022;2;2022;23;40,307
24.02.2022;2;2022;24;35,661
25.02.2022;2;2022;25;39,296
26.02.2022;2;2022;26;68,978
27.02.2022;2;2022;27;71,389
28.02.2022;2;2022;28;68,881
01.03.2022;3;2022;1;65,987
02.03.2022;3;2022;2;37,443
03.03.2022;3;2022;3;68,913
04.03.2022;3;2022;4;69,807
05.03.2022;3;2022;5;71,254
06.03.2022;3;2022;6;70,119
07.03.2022;3;2022;7;71,539
08.03.2022;3;2022;8;71,977
09.03.2022;3;2022;9;70,712
10.03.2022;3;2022;10;70,341
11.03.2022;3;2022;11;59,121
12.03.2022;3;2022;12;54,282
13.03.2022;3;2022;13;55,287
14.03.2022;3;2022;14;74,337
15.03.2022;3;2022;15;7,303
16.03.2022;3;2022;16;19,809
17.03.2022;3;2022;17;26,151
18.03.2022;3;2022;18;37,023
19.03.2022;3;2022;19;66,499
20.03.2022;3;2022;20;62,235
21.03.2022;3;2022;21;57,607
22.03.2022;3;2022;22;70,308
23.03.2022;3;2022;23;69,323
24.03.2022;3;2022;24;69,12
25.03.2022;3;2022;25;68,158
26.03.2022;3;2022;26;68,259
27.03.2022;3;2022;27;71,195
28.03.2022;3;2022;28;70,437
29.03.2022;3;2022;29;32,189
30.03.2022;3;2022;30;26,939
31.03.2022;3;2022;31;11,794
01.04.2022;4;2022;1;7,991
02.04.2022;4;2022;2;28,273
03.04.2022;4;2022;3;26,849
04.04.2022;4;2022;4;85,584
05.04.2022;4;2022;5;24,506
06.04.2022;4;2022;6;61,723
07.04.2022;4;2022;7;19,893
08.04.2022;4;2022;8;23,686
09.04.2022;4;2022;9;60,598
10.04.2022;4;2022;10;89,684
11.04.2022;4;2022;11;81,589
12.04.2022;4;2022;12;64,762
13.04.2022;4;2022;13;80,398
14.04.2022;4;2022;14;79,406
15.04.2022;4;2022;15;79,088
16.04.2022;4;2022;16;95,406
17.04.2022;4;2022;17;94,891
18.04.2022;4;2022;18;93,593
19.04.2022;4;2022;19;88,448
20.04.2022;4;2022;20;93,091
21.04.2022;4;2022;21;91,48
22.04.2022;4;2022;22;86,379
23.04.2022;4;2022;23;45,121
24.04.2022;4;2022;24;18,168
25.04.2022;4;2022;25;41,697
26.04.2022;4;2022;26;54,739
27.04.2022;4;2022;27;96,006
28.04.2022;4;2022;28;98,224
29.04.2022;4;2022;29;66,984
30.04.2022;4;2022;30;53,363
01.05.2022;5;2022;1;98,172
02.05.2022;5;2022;2;76,392
03.05.2022;5;2022;3;74,096
04.05.2022;5;2022;4;67,247
05.05.2022;5;2022;5;16,561
06.05.2022;5;2022;6;51,145
07.05.2022;5;2022;7;97,015
08.05.2022;5;2022;8;43,174
09.05.2022;5;2022;9;92,968
10.05.2022;5;2022;10;81,646
11.05.2022;5;2022;11;95,753
12.05.2022;5;2022;12;66,743
13.05.2022;5;2022;13;49,611
14.05.2022;5;2022;14;98,354
15.05.2022;5;2022;15;93,016
16.05.2022;5;2022;16;55,348
17.05.2022;5;2022;17;93,764
18.05.2022;5;2022;18;94,405
19.05.2022;5;2022;19;85,058
20.05.2022;5;2022;20;81,264
21.05.2022;5;2022;21;86,646
22.05.2022;5;2022;22;74,156
23.05.2022;5;2022;23;46,538
24.05.2022;5;2022;24;80,541
25.05.2022;5;2022;25;85,713
26.05.2022;5;2022;26;66,072
27.05.2022;5;2022;27;47,305
28.05.2022;5;2022;28;90,842
29.05.2022;5;2022;29;97,507
30.05.2022;5;2022;30;103,174
31.05.2022;5;2022;31;66,151
01.06.2022;6;2022;1;49,692
02.06.2022;6;2022;2;62,237
03.06.2022;6;2022;3;59,666
04.06.2022;6;2022;4;89,806
05.06.2022;6;2022;5;56,483
06.06.2022;6;2022;6;72,785
07.06.2022;6;2022;7;66,637
08.06.2022;6;2022;8;50,815
09.06.2022;6;2022;9;63,236
10.06.2022;6;2022;10;101,86
11.06.2022;6;2022;11;99,663
12.06.2022;6;2022;12;95,821
13.06.2022;6;2022;13;101,765
14.06.2022;6;2022;14;97,721
15.06.2022;6;2022;15;96,241
16.06.2022;6;2022;16;92,951
17.06.2022;6;2022;17;93,277
18.06.2022;6;2022;18;91,289
19.06.2022;6;2022;19;92,27
20.06.2022;6;2022;20;88,215
21.06.2022;6;2022;21;78,322
22.06.2022;6;2022;22;31,564
23.06.2022;6;2022;23;91,219
24.06.2022;6;2022;24;36,653
25.06.2022;6;2022;25;97,628
26.06.2022;6;2022;26;66,734
27.06.2022;6;2022;27;49,575
28.06.2022;6;2022;28;51,08
29.06.2022;6;2022;29;81,961
30.06.2022;6;2022;30;64,956
01.07.2022;7;2022;1;83,236
02.07.2022;7;2022;2;100,53
03.07.2022;7;2022;3;92,905
04.07.2022;7;2022;4;67,971
05.07.2022;7;2022;5;94,999
06.07.2022;7;2022;6;93,983
07.07.2022;7;2022;7;43,348
08.07.2022;7;2022;8;101,049
09.07.2022;7;2022;9;95,74
10.07.2022;7;2022;10;101,078
11.07.2022;7;2022;11;98,754
12.07.2022;7;2022;12;96,533
13.07.2022;7;2022;13;80,921
14.07.2022;7;2022;14;92,806
15.07.2022;7;2022;15;93,182
16.07.2022;7;2022;16;97,299
17.07.2022;7;2022;17;95,063
18.07.2022;7;2022;18;92,239
19.07.2022;7;2022;19;92,846
20.07.2022;7;2022;20;53,099
21.07.2022;7;2022;21;77,608
22.07.2022;7;2022;22;89,457
23.07.2022;7;2022;23;70,012
24.07.2022;7;2022;24;93,11
25.07.2022;7;2022;25;75,986
26.07.2022;7;2022;26;85,002
27.07.2022;7;2022;27;91,142
28.07.2022;7;2022;28;82,179
29.07.2022;7;2022;29;44,237
30.07.2022;7;2022;30;72,783
31.07.2022;7;2022;31;84,717
01.08.2022;8;2022;1;73,797
02.08.2022;8;2022;2;89,546
03.08.2022;8;2022;3;90,371
04.08.2022;8;2022;4;89,028
05.08.2022;8;2022;5;80,529
06.08.2022;8;2022;6;53,665
07.08.2022;8;2022;7;94,378
08.08.2022;8;2022;8;91,5
09.08.2022;8;2022;9;90,681
10.08.2022;8;2022;10;91,092
11.08.2022;8;2022;11;89,619
12.08.2022;8;2022;12;90,873
13.08.2022;8;2022;13;90,987
14.08.2022;8;2022;14;60,998
15.08.2022;8;2022;15;56,543
16.08.2022;8;2022;16;88,191
17.08.2022;8;2022;17;31,934
18.08.2022;8;2022;18;29,13
19.08.2022;8;2022;19;37,579
20.08.2022;8;2022;20;59,817
21.08.2022;8;2022;21;82,78
22.08.2022;8;2022;22;87,062
23.08.2022;8;2022;23;86,313
24.08.2022;8;2022;24;81,508
25.08.2022;8;2022;25;86,681
26.08.2022;8;2022;26;61,994
27.08.2022;8;2022;27;63,487
28.08.2022;8;2022;28;78,612
29.08.2022;8;2022;29;81,455
30.08.2022;8;2022;30;64,9
31.08.2022;8;2022;31;60,909
01.09.2022;9;2022;1;76,814
02.09.2022;9;2022;2;68,868
03.09.2022;9;2022;3;52,449
04.09.2022;9;2022;4;84,045
05.09.2022;9;2022;5;73,384
06.09.2022;9;2022;6;35,301
07.09.2022;9;2022;7;56,337
08.09.2022;9;2022;8;64,501
09.09.2022;9;2022;9;51,085
10.09.2022;9;2022;10;38,462
11.09.2022;9;2022;11;81,623
12.09.2022;9;2022;12;81,363
13.09.2022;9;2022;13;55,748
14.09.2022;9;2022;14;25,929
15.09.2022;9;2022;15;19,496
16.09.2022;9;2022;16;21,302
17.09.2022;9;2022;17;39,915
