sep=;
"Version";"4"
"Sprache";"de-DE"
"Lokales Export Datum";"16.04.2025 18:25:40"
"Export Datum UTC";"2025-04-16T16:25:40.532Z"
"Zeitzone";"Europe/Berlin"
"Nutzername";"strub@gmx.de"
"Ebene";"Anlage"
"Id der Anlage";"15227868"
"Name der Anlage";"Strub Thomas Offnadingen"
"";""
"Zeitraum";"Leistung [kW]"
"00:15";"0,00"
"00:30";"0,00"
"00:45";"0,00"
"01:00";"0,00"
"01:15";"0,00"
"01:30";"0,00"
"01:45";"0,00"
"02:00";"0,00"
"02:15";"0,00"
"02:30";"0,00"
"02:45";"0,00"
"03:00";"0,00"
"03:15";"0,00"
"03:30";"0,00"
"03:45";"0,00"
"04:00";"0,00"
"04:15";"0,00"
"04:30";"0,00"
"04:45";"0,00"
"05:00";"0,00"
"05:15";"0,00"
"05:30";"0,00"
"05:45";"0,00"
"06:00";"0,00"
"06:15";"0,00"
"06:30";"0,00"
"06:45";"0,00"
"07:00";"0,00"
"07:15";"0,00"
"07:30";"0,04"
"07:45";"0,21"
"08:00";"0,29"
"08:15";"0,56"
"08:30";"0,68"
"08:45";"0,68"
"09:00";"0,71"
"09:15";"0,96"
"09:30";"1,65"
"09:45";"1,86"
"10:00";"1,74"
"10:15";"2,14"
"10:30";"2,78"
"10:45";"2,11"
"11:00";"1,90"
"11:15";"2,74"
"11:30";"2,73"
"11:45";"1,81"
"12:00";"1,58"
"12:15";"2,88"
"12:30";"2,59"
"12:45";"2,14"
"13:00";"2,27"
"13:15";"2,21"
"13:30";"1,68"
"13:45";"1,52"
"14:00";"1,51"
"14:15";"1,86"
"14:30";"2,32"
"14:45";"1,76"
"15:00";"1,12"
"15:15";"1,16"
"15:30";"1,30"
"15:45";"0,77"
"16:00";"0,77"
"16:15";"0,80"
"16:30";"0,78"
"16:45";"0,22"
"17:00";"0,30"
"17:15";"0,30"
"17:30";"0,38"
"17:45";"0,26"
"18:00";"0,06"
"18:15";"0,02"
"18:30";"0,00"
"18:45";"0,00"
"19:00";"0,00"
"19:15";"0,00"
"19:30";"0,00"
"19:45";"0,00"
"20:00";"0,00"
"20:15";"0,00"
"20:30";"0,00"
"20:45";"0,00"
"21:00";"0,00"
"21:15";"0,00"
"21:30";"0,00"
"21:45";"0,00"
"22:00";"0,00"
"22:15";"0,00"
"22:30";"0,00"
"22:45";"0,00"
"23:00";"0,00"
"23:15";"0,00"
"23:30";"0,00"
"23:45";"0,00"
"00:00";"0,00"
