 ;STP 25000TL-30 754 / Leistung / Mittelwerte  [kW]0
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;"0,000"
02:30;"0,000"
02:45;"0,000"
03:00;"0,000"
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,136"
07:45;"0,296"
08:00;"0,520"
08:15;"0,708"
08:30;"0,928"
08:45;"1,619"
09:00;"1,541"
09:15;"1,056"
09:30;"1,583"
09:45;"2,253"
10:00;"2,843"
10:15;"3,418"
10:30;"5,123"
10:45;"6,166"
11:00;"6,324"
11:15;"7,363"
11:30;"7,728"
11:45;"7,820"
12:00;"8,596"
12:15;"8,485"
12:30;"7,926"
12:45;"9,808"
13:00;"9,412"
13:15;"10,260"
13:30;"10,224"
13:45;"10,259"
14:00;"10,393"
14:15;"10,339"
14:30;"10,636"
14:45;"10,787"
15:00;"8,779"
15:15;"8,974"
15:30;"9,796"
15:45;"9,713"
16:00;"8,973"
16:15;"8,872"
16:30;"8,364"
16:45;"7,765"
17:00;"7,157"
17:15;"6,101"
17:30;"5,837"
17:45;"5,169"
18:00;"3,723"
18:15;"2,084"
18:30;"1,022"
18:45;"0,380"
19:00;"0,388"
19:15;"0,436"
19:30;"0,344"
19:45;"0,120"
20:00;"0,000"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
