"MTU","AREA","Day ahead total load forecast (MW)","Actual total load (MW)"
"01/01/2024 00:00:00 - 01/01/2024 00:15:00","Germany (DE)","40733.10","40592.55"
"01/01/2024 00:15:00 - 01/01/2024 00:30:00","Germany (DE)","39804.79","40301.09"
"01/01/2024 00:30:00 - 01/01/2024 00:45:00","Germany (DE)","39033.81","40171.71"
"01/01/2024 00:45:00 - 01/01/2024 01:00:00","Germany (DE)","38523.13","39615.01"
"01/01/2024 01:00:00 - 01/01/2024 01:15:00","Germany (DE)","38247.31","39336.85"
"01/01/2024 01:15:00 - 01/01/2024 01:30:00","Germany (DE)","37860.82","38991.10"
"01/01/2024 01:30:00 - 01/01/2024 01:45:00","Germany (DE)","37554.30","38615.81"
"01/01/2024 01:45:00 - 01/01/2024 02:00:00","Germany (DE)","36990.92","38328.84"
"01/01/2024 02:00:00 - 01/01/2024 02:15:00","Germany (DE)","36733.44","38408.00"
"01/01/2024 02:15:00 - 01/01/2024 02:30:00","Germany (DE)","36528.78","38034.74"
"01/01/2024 02:30:00 - 01/01/2024 02:45:00","Germany (DE)","36655.56","37661.80"
"01/01/2024 02:45:00 - 01/01/2024 03:00:00","Germany (DE)","36691.05","37285.72"
"01/01/2024 03:00:00 - 01/01/2024 03:15:00","Germany (DE)","36770.00","37307.90"
"01/01/2024 03:15:00 - 01/01/2024 03:30:00","Germany (DE)","36450.34","37113.31"
"01/01/2024 03:30:00 - 01/01/2024 03:45:00","Germany (DE)","36120.81","37040.60"
"01/01/2024 03:45:00 - 01/01/2024 04:00:00","Germany (DE)","36364.31","37031.12"
"01/01/2024 04:00:00 - 01/01/2024 04:15:00","Germany (DE)","36237.18","36984.56"
"01/01/2024 04:15:00 - 01/01/2024 04:30:00","Germany (DE)","36282.44","36618.88"
"01/01/2024 04:30:00 - 01/01/2024 04:45:00","Germany (DE)","36581.71","36612.78"
"01/01/2024 04:45:00 - 01/01/2024 05:00:00","Germany (DE)","36606.56","36797.84"
"01/01/2024 05:00:00 - 01/01/2024 05:15:00","Germany (DE)","36658.87","37366.92"
"01/01/2024 05:15:00 - 01/01/2024 05:30:00","Germany (DE)","36944.17","37147.22"
"01/01/2024 05:30:00 - 01/01/2024 05:45:00","Germany (DE)","37195.96","37002.00"
"01/01/2024 05:45:00 - 01/01/2024 06:00:00","Germany (DE)","36985.29","36689.47"
"01/01/2024 06:00:00 - 01/01/2024 06:15:00","Germany (DE)","36973.87","36592.63"
"01/01/2024 06:15:00 - 01/01/2024 06:30:00","Germany (DE)","37854.11","36779.96"
"01/01/2024 06:30:00 - 01/01/2024 06:45:00","Germany (DE)","38042.63","36707.90"
"01/01/2024 06:45:00 - 01/01/2024 07:00:00","Germany (DE)","37920.37","36821.21"
"01/01/2024 07:00:00 - 01/01/2024 07:15:00","Germany (DE)","38689.61","37000.39"
"01/01/2024 07:15:00 - 01/01/2024 07:30:00","Germany (DE)","38912.77","37292.80"
"01/01/2024 07:30:00 - 01/01/2024 07:45:00","Germany (DE)","39317.47","37479.13"
"01/01/2024 07:45:00 - 01/01/2024 08:00:00","Germany (DE)","39904.35","37511.78"
"01/01/2024 08:00:00 - 01/01/2024 08:15:00","Germany (DE)","40783.56","37688.22"
"01/01/2024 08:15:00 - 01/01/2024 08:30:00","Germany (DE)","40992.43","37748.86"
"01/01/2024 08:30:00 - 01/01/2024 08:45:00","Germany (DE)","42344.41","38167.06"
"01/01/2024 08:45:00 - 01/01/2024 09:00:00","Germany (DE)","43284.79","38333.24"
"01/01/2024 09:00:00 - 01/01/2024 09:15:00","Germany (DE)","44281.20","39273.02"
"01/01/2024 09:15:00 - 01/01/2024 09:30:00","Germany (DE)","45118.22","39720.72"
"01/01/2024 09:30:00 - 01/01/2024 09:45:00","Germany (DE)","45747.27","40186.96"
"01/01/2024 09:45:00 - 01/01/2024 10:00:00","Germany (DE)","46227.56","40626.59"
"01/01/2024 10:00:00 - 01/01/2024 10:15:00","Germany (DE)","47133.92","41318.74"
"01/01/2024 10:15:00 - 01/01/2024 10:30:00","Germany (DE)","48000.40","41979.89"
"01/01/2024 10:30:00 - 01/01/2024 10:45:00","Germany (DE)","48116.86","42607.88"
"01/01/2024 10:45:00 - 01/01/2024 11:00:00","Germany (DE)","48871.10","43330.07"
"01/01/2024 11:00:00 - 01/01/2024 11:15:00","Germany (DE)","49722.95","44046.50"
"01/01/2024 11:15:00 - 01/01/2024 11:30:00","Germany (DE)","50163.48","44575.27"
"01/01/2024 11:30:00 - 01/01/2024 11:45:00","Germany (DE)","50439.00","45221.67"
"01/01/2024 11:45:00 - 01/01/2024 12:00:00","Germany (DE)","50587.62","45472.61"
"01/01/2024 12:00:00 - 01/01/2024 12:15:00","Germany (DE)","50475.28","45721.06"
"01/01/2024 12:15:00 - 01/01/2024 12:30:00","Germany (DE)","50442.07","45795.27"
"01/01/2024 12:30:00 - 01/01/2024 12:45:00","Germany (DE)","50303.57","45993.76"
"01/01/2024 12:45:00 - 01/01/2024 13:00:00","Germany (DE)","49723.23","45786.34"
"01/01/2024 13:00:00 - 01/01/2024 13:15:00","Germany (DE)","50153.51","45413.94"
"01/01/2024 13:15:00 - 01/01/2024 13:30:00","Germany (DE)","49240.91","45250.89"
"01/01/2024 13:30:00 - 01/01/2024 13:45:00","Germany (DE)","48714.92","45221.98"
"01/01/2024 13:45:00 - 01/01/2024 14:00:00","Germany (DE)","48439.41","45120.35"
"01/01/2024 14:00:00 - 01/01/2024 14:15:00","Germany (DE)","48679.02","45197.77"
"01/01/2024 14:15:00 - 01/01/2024 14:30:00","Germany (DE)","48777.74","44891.92"
"01/01/2024 14:30:00 - 01/01/2024 14:45:00","Germany (DE)","48566.93","44815.83"
"01/01/2024 14:45:00 - 01/01/2024 15:00:00","Germany (DE)","48224.05","44711.77"
"01/01/2024 15:00:00 - 01/01/2024 15:15:00","Germany (DE)","47716.91","45010.12"
"01/01/2024 15:15:00 - 01/01/2024 15:30:00","Germany (DE)","47670.33","45217.13"
"01/01/2024 15:30:00 - 01/01/2024 15:45:00","Germany (DE)","47324.42","44836.37"
"01/01/2024 15:45:00 - 01/01/2024 16:00:00","Germany (DE)","47668.59","44745.59"
"01/01/2024 16:00:00 - 01/01/2024 16:15:00","Germany (DE)","48093.28","45616.16"
"01/01/2024 16:15:00 - 01/01/2024 16:30:00","Germany (DE)","48058.65","46083.37"
"01/01/2024 16:30:00 - 01/01/2024 16:45:00","Germany (DE)","48364.83","47286.36"
"01/01/2024 16:45:00 - 01/01/2024 17:00:00","Germany (DE)","49180.93","48539.67"
"01/01/2024 17:00:00 - 01/01/2024 17:15:00","Germany (DE)","50112.99","49669.14"
"01/01/2024 17:15:00 - 01/01/2024 17:30:00","Germany (DE)","50931.88","50122.45"
"01/01/2024 17:30:00 - 01/01/2024 17:45:00","Germany (DE)","51710.01","50137.17"
"01/01/2024 17:45:00 - 01/01/2024 18:00:00","Germany (DE)","52265.82","50553.67"
"01/01/2024 18:00:00 - 01/01/2024 18:15:00","Germany (DE)","52535.06","50683.11"
"01/01/2024 18:15:00 - 01/01/2024 18:30:00","Germany (DE)","52491.50","50467.41"
"01/01/2024 18:30:00 - 01/01/2024 18:45:00","Germany (DE)","52562.65","50106.74"
"01/01/2024 18:45:00 - 01/01/2024 19:00:00","Germany (DE)","52392.54","49540.58"
