Datum von;Datum bis;Deutschland/Luxemburg [€/MWh] Originalauflösungen;∅ Anrainer DE/LU [€/MWh] Originalauflösungen;Belgien [€/MWh] Originalauflösungen;Dänemark 1 [€/MWh] Originalauflösungen;Dänemark 2 [€/MWh] Originalauflösungen;Frankreich [€/MWh] Originalauflösungen;Niederlande [€/MWh] Originalauflösungen;Norwegen 2 [€/MWh] Originalauflösungen;Österreich [€/MWh] Originalauflösungen;Polen [€/MWh] Originalauflösungen;Schweden 4 [€/MWh] Originalauflösungen;Schweiz [€/MWh] Originalauflösungen;Tschechien [€/MWh] Originalauflösungen;DE/AT/LU [€/MWh] Originalauflösungen;Italien (Nord) [€/MWh] Berechnete Auflösungen;Slowenien [€/MWh] Originalauflösungen;Ungarn [€/MWh] Originalauflösungen
01.01.2022 00:00;01.01.2022 01:00;50,05;78,44;82,02;50,05;46,60;89,06;124,70;132,89;61,84;59,03;46,60;119,97;50,05;-;170,28;61,84;61,84
01.01.2022 01:00;01.01.2022 02:00;41,33;69,75;67,07;41,33;41,33;78,48;124,70;129,30;51,44;49,37;41,33;101,54;41,33;-;155,72;51,44;41,33
01.01.2022 02:00;01.01.2022 03:00;43,22;68,04;75,11;43,22;42,18;85,16;134,00;132,08;55,91;43,22;42,18;52,13;43,22;-;147,09;55,91;43,22
01.01.2022 03:00;01.01.2022 04:00;45,46;51,27;50,91;45,46;44,37;50,00;58,80;111,44;46,94;45,46;44,37;20,78;45,46;-;91,00;46,94;45,46
01.01.2022 04:00;01.01.2022 05:00;37,67;42,46;37,67;37,67;37,67;37,67;37,67;112,35;37,67;37,67;37,67;15,66;37,67;-;104,00;37,67;37,67
01.01.2022 05:00;01.01.2022 06:00;39,70;44,79;39,70;39,70;39,70;39,70;39,70;113,90;39,70;39,70;39,70;21,47;39,70;-;140,60;39,70;39,70
01.01.2022 06:00;01.01.2022 07:00;40,59;47,04;40,59;40,59;40,59;40,59;40,59;122,25;40,59;40,59;40,59;29,89;40,59;-;147,09;40,59;40,59
01.01.2022 07:00;01.01.2022 08:00;43,26;54,84;43,26;43,26;43,26;43,26;43,26;118,58;43,26;43,26;43,26;95,33;43,26;-;99,99;43,26;43,26
01.01.2022 08:00;01.01.2022 09:00;49,66;60,07;49,66;49,66;49,66;49,66;49,66;118,47;49,66;49,66;49,66;95,36;49,66;-;67,99;49,66;49,66
01.01.2022 09:00;01.01.2022 10:00;70,05;76,70;70,05;70,05;70,05;70,05;70,05;117,86;70,05;70,05;70,05;95,43;70,05;-;95,00;70,05;70,05
01.01.2022 10:00;01.01.2022 11:00;76,79;79,96;76,79;76,79;76,79;76,79;76,79;120,03;76,79;76,79;76,79;68,42;76,79;-;135,80;76,79;76,79
01.01.2022 11:00;01.01.2022 12:00;84,10;84,99;84,10;84,10;84,10;84,10;84,10;117,07;84,10;84,10;84,10;60,88;84,10;-;150,70;84,10;84,10
01.01.2022 12:00;01.01.2022 13:00;94,74;94,60;94,74;94,74;94,74;94,74;94,74;117,17;94,74;94,74;94,74;70,72;94,74;-;155,72;94,74;94,74
01.01.2022 13:00;01.01.2022 14:00;96,80;96,93;96,80;96,80;96,80;96,80;96,80;120,08;96,80;96,80;96,80;74,99;96,80;-;147,09;96,80;96,80
01.01.2022 14:00;01.01.2022 15:00;97,17;98,78;97,17;97,17;97,17;97,17;97,17;124,54;97,17;97,17;97,17;87,46;97,17;-;100,00;97,17;97,17
01.01.2022 15:00;01.01.2022 16:00;101,00;102,44;95,21;101,27;101,27;98,52;101,27;124,89;101,00;101,00;101,27;100,16;101,00;-;155,00;101,00;101,00
