Datum von;Datum bis;Deutschland/Luxemburg [€/MWh] Originalauflösungen;∅ Anrainer DE/LU [€/MWh] Originalauflösungen;Belgien [€/MWh] Originalauflösungen;Dänemark 1 [€/MWh] Originalauflösungen;Dänemark 2 [€/MWh] Originalauflösungen;Frankreich [€/MWh] Originalauflösungen;Niederlande [€/MWh] Originalauflösungen;Norwegen 2 [€/MWh] Originalauflösungen;Österreich [€/MWh] Originalauflösungen;Polen [€/MWh] Originalauflösungen;Schweden 4 [€/MWh] Originalauflösungen;Schweiz [€/MWh] Originalauflösungen;Tschechien [€/MWh] Originalauflösungen;DE/AT/LU [€/MWh] Originalauflösungen;Italien (Nord) [€/MWh] Originalauflösungen;Slowenien [€/MWh] Originalauflösungen;Ungarn [€/MWh] Originalauflösungen
01.01.2023 00:00;01.01.2023 00:15;-5,17;13,85;-4,39;2,01;2,01;0,00;-3,61;119,32;12,06;18,09;2,01;0,03;4,84;-;195,90;13,31;19,76
01.01.2023 00:15;01.01.2023 00:30;-5,17;13,85;-4,39;2,01;2,01;0,00;-3,61;119,32;12,06;18,09;2,01;0,03;4,84;-;195,90;13,31;19,76
01.01.2023 00:30;01.01.2023 00:45;-5,17;13,85;-4,39;2,01;2,01;0,00;-3,61;119,32;12,06;18,09;2,01;0,03;4,84;-;195,90;13,31;19,76
01.01.2023 00:45;01.01.2023 01:00;-5,17;13,85;-4,39;2,01;2,01;0,00;-3,61;119,32;12,06;18,09;2,01;0,03;4,84;-;195,90;13,31;19,76
01.01.2023 01:00;01.01.2023 01:15;-1,07;9,79;-1,75;1,38;1,38;-0,10;-1,46;108,83;-0,10;5,75;1,38;-7,25;-0,35;-;191,09;-0,07;0,19
01.01.2023 01:15;01.01.2023 01:30;-1,07;9,79;-1,75;1,38;1,38;-0,10;-1,46;108,83;-0,10;5,75;1,38;-7,25;-0,35;-;191,09;-0,07;0,19
01.01.2023 01:30;01.01.2023 01:45;-1,07;9,79;-1,75;1,38;1,38;-0,10;-1,46;108,83;-0,10;5,75;1,38;-7,25;-0,35;-;191,09;-0,07;0,19
01.01.2023 01:45;01.01.2023 02:00;-1,07;9,79;-1,75;1,38;1,38;-0,10;-1,46;108,83;-0,10;5,75;1,38;-7,25;-0,35;-;191,09;-0,07;0,19
01.01.2023 02:00;01.01.2023 02:15;-1,47;8,91;-1,46;0,09;0,09;-1,33;-1,52;102,39;-0,66;5,27;0,09;-3,99;-0,97;-;187,95;-0,47;0,07
01.01.2023 02:15;01.01.2023 02:30;-1,47;8,91;-1,46;0,09;0,09;-1,33;-1,52;102,39;-0,66;5,27;0,09;-3,99;-0,97;-;187,95;-0,47;0,07
01.01.2023 02:30;01.01.2023 02:45;-1,47;8,91;-1,46;0,09;0,09;-1,33;-1,52;102,39;-0,66;5,27;0,09;-3,99;-0,97;-;187,95;-0,47;0,07
01.01.2023 02:45;01.01.2023 03:00;-1,47;8,91;-1,46;0,09;0,09;-1,33;-1,52;102,39;-0,66;5,27;0,09;-3,99;-0,97;-;187,95;-0,47;0,07
01.01.2023 03:00;01.01.2023 03:15;-5,08;6,58;-5,27;0,08;0,08;-4,08;-5,00;92,36;-1,99;5,74;0,08;-7,71;-1,93;-;187,82;-1,56;0,01
01.01.2023 03:15;01.01.2023 03:30;-5,08;6,58;-5,27;0,08;0,08;-4,08;-5,00;92,36;-1,99;5,74;0,08;-7,71;-1,93;-;187,82;-1,56;0,01
01.01.2023 03:30;01.01.2023 03:45;-5,08;6,58;-5,27;0,08;0,08;-4,08;-5,00;92,36;-1,99;5,74;0,08;-7,71;-1,93;-;187,82;-1,56;0,01
01.01.2023 03:45;01.01.2023 04:00;-5,08;6,58;-5,27;0,08;0,08;-4,08;-5,00;92,36;-1,99;5,74;0,08;-7,71;-1,93;-;187,82;-1,56;0,01
