Datum von;Datum bis;Nettoexport [MWh] Originalauflösungen;Dänemark 1 (Export) [MWh] Originalauflösungen;Dänemark 1 (Import) [MWh] Originalauflösungen;Dänemark 2 (Export) [MWh] Originalauflösungen;Dänemark 2 (Import) [MWh] Originalauflösungen;Frankreich (Export) [MWh] Originalauflösungen;Frankreich (Import) [MWh] Originalauflösungen;Niederlande (Export) [MWh] Originalauflösungen;Niederlande (Import) [MWh] Originalauflösungen;Polen (Export) [MWh] Originalauflösungen;Polen (Import) [MWh] Originalauflösungen;Schweden 4 (Export) [MWh] Originalauflösungen;Schweden 4 (Import) [MWh] Originalauflösungen;Schweiz (Export) [MWh] Originalauflösungen;Schweiz (Import) [MWh] Originalauflösungen;Tschechien (Export) [MWh] Originalauflösungen;Tschechien (Import) [MWh] Originalauflösungen;Österreich (Export) [MWh] Originalauflösungen;Österreich (Import) [MWh] Originalauflösungen;Norwegen 2 (Export) [MWh] Originalauflösungen;Norwegen 2 (Import) [MWh] Originalauflösungen;Belgien (Export) [MWh] Originalauflösungen;Belgien (Import) [MWh] Originalauflösungen
01.11.2023 00:00;01.11.2023 00:15;-2.637,87;0,00;-162,25;0,00;-23,75;0,00;-1.196,75;310,63;0,00;1,88;-506,63;0,00;-153,75;20,00;-268,85;0,00;-336,90;0,00;-28,70;0,00;-221,75;0,00;-71,05
01.11.2023 00:15;01.11.2023 00:30;-2.637,87;0,00;-162,25;0,00;-23,75;0,00;-1.196,75;310,63;0,00;1,88;-506,63;0,00;-153,75;20,00;-268,85;0,00;-336,90;0,00;-28,70;0,00;-221,75;0,00;-71,05
01.11.2023 00:30;01.11.2023 00:45;-2.637,87;0,00;-162,25;0,00;-23,75;0,00;-1.196,75;310,63;0,00;1,88;-506,63;0,00;-153,75;20,00;-268,85;0,00;-336,90;0,00;-28,70;0,00;-221,75;0,00;-71,05
01.11.2023 00:45;01.11.2023 01:00;-2.637,87;0,00;-162,25;0,00;-23,75;0,00;-1.196,75;310,63;0,00;1,88;-506,63;0,00;-153,75;20,00;-268,85;0,00;-336,90;0,00;-28,70;0,00;-221,75;0,00;-71,05
01.11.2023 01:00;01.11.2023 01:15;-2.406,86;21,25;-111,00;0,00;-34,25;0,00;-1.127,45;288,25;0,00;0,00;-465,28;0,00;-153,75;45,00;-327,41;0,00;-278,58;7,65;0,00;0,00;-87,75;0,00;-183,55
01.11.2023 01:15;01.11.2023 01:30;-2.406,86;21,25;-111,00;0,00;-34,25;0,00;-1.127,45;288,25;0,00;0,00;-465,28;0,00;-153,75;45,00;-327,41;0,00;-278,58;7,65;0,00;0,00;-87,75;0,00;-183,55
01.11.2023 01:30;01.11.2023 01:45;-2.406,86;21,25;-111,00;0,00;-34,25;0,00;-1.127,45;288,25;0,00;0,00;-465,28;0,00;-153,75;45,00;-327,41;0,00;-278,58;7,65;0,00;0,00;-87,75;0,00;-183,55
01.11.2023 01:45;01.11.2023 02:00;-2.406,86;21,25;-111,00;0,00;-34,25;0,00;-1.127,45;288,25;0,00;0,00;-465,28;0,00;-153,75;45,00;-327,41;0,00;-278,58;7,65;0,00;0,00;-87,75;0,00;-183,55
01.11.2023 02:00;01.11.2023 02:15;-2.428,25;50,00;0,00;0,00;-34,35;0,00;-1.128,33;307,00;-189,06;4,58;-448,03;0,00;-153,75;51,25;-222,83;6,40;-282,50;5,20;-124,89;0,00;-39,25;22,38;-252,08
01.11.2023 02:15;01.11.2023 02:30;-2.448,56;50,00;0,00;0,00;-34,35;0,00;-1.128,33;307,00;-189,06;4,58;-448,03;0,00;-153,75;51,25;-222,83;6,40;-282,50;5,20;-124,89;0,00;-39,25;0,48;-250,48
01.11.2023 02:30;01.11.2023 02:45;-2.443,48;50,00;0,00;0,00;-34,35;0,00;-1.128,33;307,00;-189,06;4,58;-448,03;0,00;-153,75;51,25;-222,83;6,40;-282,50;5,20;-124,89;0,00;-39,25;7,85;-252,78
01.11.2023 02:45;01.11.2023 03:00;-2.443,81;50,00;0,00;0,00;-34,35;0,00;-1.128,33;307,00;-189,06;4,58;-448,03;0,00;-153,75;51,25;-222,83;6,40;-282,50;5,20;-124,89;0,00;-39,25;4,75;-250,00
01.11.2023 03:00;01.11.2023 03:15;-2.458,21;13,75;-52,25;21,20;-61,63;0,00;-1.113,50;82,85;0,00;4,93;-427,93;0,00;-153,75;51,25;-287,56;6,10;-263,85;5,93;0,00;30,00;-63,75;0,00;-250,00
01.11.2023 03:15;01.11.2023 03:30;-2.458,21;13,75;-52,25;21,20;-61,63;0,00;-1.113,50;82,85;0,00;4,93;-427,93;0,00;-153,75;51,25;-287,56;6,10;-263,85;5,93;0,00;30,00;-63,75;0,00;-250,00
