Datum (UTC),Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion (DE-LU)
,Leistung (MW),Leistung (MW),"Preis (EUR/MWh, EUR/tCO2)"
2023-12-31T23:00+00:00,8378.54,41780.27,0.1
2024-01-01T00:00+00:00,8284.44,41524.81,0.01
2024-01-01T01:00+00:00,8282.03,41348.67,0
2024-01-01T02:00+00:00,8318.3,40365.41,-0.01
2024-01-01T03:00+00:00,8309.99,40235.53,-0.03
2024-01-01T04:00+00:00,8345.65,40369.5,-0.02
2024-01-01T05:00+00:00,8377.2,39954.72,-0.05
2024-01-01T06:00+00:00,8357.52,40285.02,-0.02
2024-01-01T07:00+00:00,8352.22,41676.09,0
2024-01-01T08:00+00:00,8294.83,43911.92,0.04
2024-01-01T09:00+00:00,8423.72,46882.9,0.06
2024-01-01T10:00+00:00,8290.8,48445.19,0.54
2024-01-01T11:00+00:00,8335.35,47887.01,2.24
2024-01-01T12:00+00:00,8306.24,45859.12,1.96
2024-01-01T13:00+00:00,8510.73,42666.16,1.04
2024-01-01T14:00+00:00,8600.86,39226.14,3.66
2024-01-01T15:00+00:00,9172.6,38425.86,43.06
2024-01-01T16:00+00:00,9653.59,39397.47,49.93
2024-01-01T17:00+00:00,9678.3,38601.33,58
2024-01-01T18:00+00:00,9509.16,37623.28,54.25
2024-01-01T19:00+00:00,9320.79,36870.96,48.01
2024-01-01T20:00+00:00,9189.2,35236.13,42.95
2024-01-01T21:00+00:00,9008.86,33847.32,47.09
2024-01-01T22:00+00:00,8851.45,31796.36,35.55
2024-01-01T23:00+00:00,8652.64,30448.44,30.59
2024-01-02T00:00+00:00,8582.39,29674.45,20.07
2024-01-02T01:00+00:00,8627.77,29569.64,31.03
2024-01-02T02:00+00:00,8760.72,31289.09,18.39
2024-01-02T03:00+00:00,8873.53,33617.43,11.08
2024-01-02T04:00+00:00,9201.58,36615.94,13.78
2024-01-02T05:00+00:00,9665.41,39827.19,47.63
2024-01-02T06:00+00:00,10198,41617.03,58.1
2024-01-02T07:00+00:00,10993.12,42927.75,65.67
2024-01-02T08:00+00:00,11756.53,43130.18,64.73
2024-01-02T09:00+00:00,12134.96,43312.06,68.98
2024-01-02T10:00+00:00,12560.67,41607.56,73.54
2024-01-02T11:00+00:00,13065.02,40544.05,78.16
2024-01-02T12:00+00:00,13116.78,39205.52,78.87
2024-01-02T13:00+00:00,13232.61,37757.32,79.24
2024-01-02T14:00+00:00,12998.34,36886.96,79.96
2024-01-02T15:00+00:00,13247.51,38956.13,83.46
2024-01-02T16:00+00:00,13119.32,42383.06,80.92
2024-01-02T17:00+00:00,12934.57,45269.11,74.95
2024-01-02T18:00+00:00,12156.63,47897.1,63.18
2024-01-02T19:00+00:00,11125.37,49408.32,57.11
2024-01-02T20:00+00:00,10337.59,50399.28,46.89
2024-01-02T21:00+00:00,9800.28,49962.87,40
2024-01-02T22:00+00:00,9500.96,50073.43,7.43
2024-01-02T23:00+00:00,9284.97,47216.55,-0.08
2024-01-03T00:00+00:00,9107.12,46646.02,-1.23
2024-01-03T01:00+00:00,9193.05,46954.94,-1.3
