Tag;Stunde;AVG_TA200_043;AVG_TA200_076;AVG_TA200_077;AVG_TA200_095;AVG_WV200_043;AVG_WV200_076;AVG_WV200_077;AVG_WV200_095;MAX_WV200max_043;MAX_WV200max_076;MAX_WV200max_077;MAX_WV200max_095;SUM_GS200_043;SUM_GS200_076;SUM_GS200_077;SUM_GS200_095
01.01.2023;00:00;8.5;9.8;14.6;9.3;1.5;2.7;3.9;1.0;2.1;4.4;5.3;1.8;0.0;0.0;0.1;0.0;
01.01.2023;01:00;8.1;9.9;14.2;9.1;1.8;3.3;3.9;1.0;2.3;5.0;5.2;1.6;0.0;0.0;0.1;0.0;
01.01.2023;02:00;8.4;11.5;14.8;8.4;1.5;3.3;4.2;1.3;2.0;5.1;6.1;2.4;0.0;0.0;0.1;0.0;
01.01.2023;03:00;7.9;9.7;13.9;8.9;1.4;2.9;2.5;1.1;2.0;4.4;4.1;2.1;0.0;0.0;0.0;0.0;
01.01.2023;04:00;8.0;8.8;13.5;9.0;2.4;2.3;3.0;1.3;3.2;3.5;4.3;2.1;0.0;0.0;0.1;0.0;
01.01.2023;05:00;8.7;8.1;12.0;9.7;2.3;2.0;2.5;1.5;3.1;3.5;3.3;2.6;0.0;0.0;0.1;0.0;
01.01.2023;06:00;8.2;6.9;11.6;8.7;1.1;0.8;2.6;1.2;1.5;1.4;3.4;2.1;0.0;0.0;0.1;0.0;
01.01.2023;07:00;7.4;6.2;11.9;10.9;1.0;0.6;2.6;1.2;1.5;1.4;3.4;2.2;0.0;0.0;0.1;0.0;
01.01.2023;08:00;7.3;6.5;9.6;11.9;1.0;0.7;1.6;1.8;1.6;1.4;2.3;4.0;0.1;0.0;0.1;0.0;
01.01.2023;09:00;7.2;7.0;8.0;10.9;1.8;1.9;2.4;1.7;2.2;3.4;3.2;2.8;22.9;19.3;11.2;26.3;
01.01.2023;10:00;9.5;8.0;8.4;12.0;2.0;2.7;1.7;0.7;2.9;4.5;2.5;1.4;136.8;66.6;69.7;138.7;
01.01.2023;11:00;12.2;9.0;12.0;12.1;2.1;2.4;2.8;0.7;2.8;3.7;3.8;1.7;209.6;152.2;193.6;180.3;
