Tag;Stunde;AVG_TA200;SUM_GS200;SUM_NN050
01.01.2022;00:00;10,91;,00;,00
01.01.2022;01:00;9,68;,00;,00
01.01.2022;02:00;7,62;,00;,00
01.01.2022;03:00;5,83;,00;,00
01.01.2022;04:00;4,28;,00;,00
01.01.2022;05:00;3,41;,00;,00
01.01.2022;06:00;2,67;,00;,00
01.01.2022;07:00;2,18;,00;,00
01.01.2022;08:00;1,81;,00;,00
01.01.2022;09:00;4,37;109,50;,00
01.01.2022;10:00;7,44;182,13;,00
01.01.2022;11:00;10,66;253,35;,00
01.01.2022;12:00;12,00;302,22;,00
01.01.2022;13:00;13,62;283,97;,00
01.01.2022;14:00;12,62;193,10;,00
01.01.2022;15:00;12,28;131,13;,00
01.01.2022;16:00;11,23;39,22;,00
01.01.2022;17:00;7,46;,00;,00
01.01.2022;18:00;5,67;,00;,00
01.01.2022;19:00;4,38;,00;,00
01.01.2022;20:00;4,20;,00;,00
01.01.2022;21:00;3,33;,00;,00
01.01.2022;22:00;2,73;,00;,00
01.01.2022;23:00;2,09;,00;,00
02.01.2022;00:00;2,01;,00;,00
02.01.2022;01:00;1,43;,00;,00
02.01.2022;02:00;,92;,00;,00
02.01.2022;03:00;,78;,00;,00
02.01.2022;04:00;,54;,00;,00
02.01.2022;05:00;,18;,00;,00
02.01.2022;06:00;,83;,00;,00
02.01.2022;07:00;1,19;,00;,00
02.01.2022;08:00;2,12;,00;,00
02.01.2022;09:00;6,48;51,63;,00
02.01.2022;10:00;11,18;65,07;,00
02.01.2022;11:00;12,28;28,43;,00
02.01.2022;12:00;12,22;34,05;,00
02.01.2022;13:00;13,98;84,90;,00
02.01.2022;14:00;12,82;113,17;,00
02.01.2022;15:00;14,12;65,07;,00
02.01.2022;16:00;14,59;12,73;,00
02.01.2022;17:00;14,15;,00;,00
02.01.2022;18:00;13,47;,00;,00
02.01.2022;19:00;13,11;,00;,00
02.01.2022;20:00;12,33;,00;,00
02.01.2022;21:00;11,99;,00;,00
02.01.2022;22:00;12,13;,00;,00
02.01.2022;23:00;12,24;,00;,00
03.01.2022;00:00;12,15;,00;,00
03.01.2022;01:00;12,02;,00;,00
03.01.2022;02:00;11,93;,00;,00
03.01.2022;03:00;11,83;,00;,00
03.01.2022;04:00;11,55;,00;,00
03.01.2022;05:00;11,46;,00;,00
03.01.2022;06:00;11,36;,00;,00
03.01.2022;07:00;11,13;,00;,00
03.01.2022;08:00;11,07;,00;,00
03.01.2022;09:00;11,14;32,37;,00
03.01.2022;10:00;11,42;57,25;,00
03.01.2022;11:00;11,62;82,03;,00
03.01.2022;12:00;11,82;100,47;,00
03.01.2022;13:00;12,20;120,37;,00
03.01.2022;14:00;12,26;68,50;,00
03.01.2022;15:00;12,15;42,50;,00
03.01.2022;16:00;12,08;12,40;,00
03.01.2022;17:00;11,96;,00;,00
03.01.2022;18:00;11,84;,00;,00
03.01.2022;19:00;11,90;,00;,00
03.01.2022;20:00;12,05;,00;,00
03.01.2022;21:00;12,20;,00;,00
03.01.2022;22:00;12,60;,00;,00
03.01.2022;23:00;12,39;,00;,00
04.01.2022;00:00;12,44;,00;,00
04.01.2022;01:00;12,26;,00;,00
04.01.2022;02:00;12,72;,00;,00
04.01.2022;03:00;12,80;,00;,00
04.01.2022;04:00;12,40;,00;,00
04.01.2022;05:00;12,13;,00;,20
04.01.2022;06:00;12,52;,00;,10
04.01.2022;07:00;13,60;,00;,00
04.01.2022;08:00;14,48;,00;,00
04.01.2022;09:00;14,31;,00;,00
04.01.2022;10:00;14,77;26,57;,00
04.01.2022;11:00;15,59;35,45;,00
04.01.2022;12:00;14,87;17,97;,00
04.01.2022;13:00;13,33;16,85;,10
04.01.2022;14:00;12,31;13,02;,70
04.01.2022;15:00;11,91;10,58;,00
04.01.2022;16:00;12,06;,00;,00
04.01.2022;17:00;10,29;,00;,40
04.01.2022;18:00;7,18;,00;3,10
04.01.2022;19:00;6,48;,00;2,70
04.01.2022;20:00;6,16;,00;2,70
04.01.2022;21:00;5,76;,00;2,40
04.01.2022;22:00;5,42;,00;1,20
04.01.2022;23:00;5,65;,00;1,10
05.01.2022;00:00;5,55;,00;,20
05.01.2022;01:00;5,84;,00;,00
05.01.2022;02:00;6,20;,00;,00
05.01.2022;03:00;6,32;,00;,00
05.01.2022;04:00;6,16;,00;,00
05.01.2022;05:00;5,81;,00;,30
05.01.2022;06:00;4,90;,00;1,40
05.01.2022;07:00;3,95;,00;,00
05.01.2022;08:00;3,50;,00;,00
05.01.2022;09:00;2,92;22,60;,00
05.01.2022;10:00;3,72;130,92;,00
05.01.2022;11:00;4,86;295,00;,00
05.01.2022;12:00;5,00;350,85;,00
05.01.2022;13:00;4,94;279,83;,00
05.01.2022;14:00;4,32;131,27;,00
05.01.2022;15:00;4,22;83,33;,00
05.01.2022;16:00;3,42;18,18;,00
05.01.2022;17:00;2,49;,00;,00
05.01.2022;18:00;2,05;,00;,00
05.01.2022;19:00;2,41;,00;,00
05.01.2022;20:00;2,68;,00;,00
05.01.2022;21:00;2,78;,00;,00
05.01.2022;22:00;2,73;,00;,00
05.01.2022;23:00;2,72;,00;,00
06.01.2022;00:00;2,79;,00;,00
06.01.2022;01:00;2,81;,00;,00
06.01.2022;02:00;2,65;,00;,20
06.01.2022;03:00;2,02;,00;,10
06.01.2022;04:00;1,80;,00;,10
06.01.2022;05:00;1,89;,00;,40
06.01.2022;06:00;2,15;,00;,10
06.01.2022;07:00;2,09;,00;,10
06.01.2022;08:00;1,86;,00;,00
06.01.2022;09:00;2,24;21,72;,00
06.01.2022;10:00;2,98;54,00;,00
06.01.2022;11:00;3,40;114,63;,00
06.01.2022;12:00;3,95;146,18;,00
06.01.2022;13:00;4,42;150,73;,00
06.01.2022;14:00;5,60;237,33;,00
06.01.2022;15:00;4,43;44,57;,00
06.01.2022;16:00;3,85;14,80;,00
06.01.2022;17:00;2,71;,00;,00
06.01.2022;18:00;2,17;,00;,00
06.01.2022;19:00;1,89;,00;,00
06.01.2022;20:00;,96;,00;,00
06.01.2022;21:00;-,13;,00;,00
06.01.2022;22:00;-1,28;,00;,00
06.01.2022;23:00;-1,61;,00;,00
07.01.2022;00:00;-1,95;,00;,00
07.01.2022;01:00;-2,22;,00;,00
07.01.2022;02:00;-2,49;,00;,00
07.01.2022;03:00;-1,91;,00;,00
07.01.2022;04:00;-2,45;,00;,00
07.01.2022;05:00;-1,61;,00;,00
