GemName,OrtName,Landuse,WegeDauer,Anzahl
Au,Au,commercial,0,0
Au,Au,commercial,5,0
Au,Au,commercial,10,0
Au,Au,commercial,15,0
Au,Au,commercial,20,0
Au,Au,commercial,25,0
Au,Au,commercial,30,0
Au,Au,commercial,40,0
Au,Au,commercial,120,2
Au,Au,farmyard,0,0
Au,Au,farmyard,5,0
Au,Au,farmyard,10,0
Au,Au,farmyard,15,0
Au,Au,farmyard,20,0
Au,Au,farmyard,25,0
Au,Au,farmyard,30,0
Au,Au,farmyard,40,0
Au,Au,farmyard,120,6
Au,Au,residential,0,0
Au,Au,residential,5,0
Au,Au,residential,10,0
Au,Au,residential,15,0
Au,Au,residential,20,0
Au,Au,residential,25,0
Au,Au,residential,30,0
Au,Au,residential,40,0
Au,Au,residential,120,174
Au,Au,unbekannt,0,0
Au,Au,unbekannt,5,0
Au,Au,unbekannt,10,0
Au,Au,unbekannt,15,0
Au,Au,unbekannt,20,0
Au,Au,unbekannt,25,0
Au,Au,unbekannt,30,0
Au,Au,unbekannt,40,0
Au,Au,unbekannt,120,215
