GemName,OrtName,Landuse,WegeDauer,Anzahl
Auggen,Auggen,commercial,0,0
Auggen,Auggen,commercial,5,0
Auggen,Auggen,commercial,10,0
Auggen,Auggen,commercial,15,4
Auggen,Auggen,commercial,20,0
Auggen,Auggen,commercial,25,0
Auggen,Auggen,commercial,30,0
Auggen,Auggen,commercial,40,0
Auggen,Auggen,commercial,120,0
Auggen,Auggen,farmyard,0,0
Auggen,Auggen,farmyard,5,0
Auggen,Auggen,farmyard,10,0
Auggen,Auggen,farmyard,15,0
Auggen,Auggen,farmyard,20,0
Auggen,Auggen,farmyard,25,0
Auggen,Auggen,farmyard,30,1
Auggen,Auggen,farmyard,40,0
Auggen,Auggen,farmyard,120,6
Auggen,Auggen,industrial,0,0
Auggen,Auggen,industrial,5,0
Auggen,Auggen,industrial,10,0
Auggen,Auggen,industrial,15,0
Auggen,Auggen,industrial,20,9
Auggen,Auggen,industrial,25,29
Auggen,Auggen,industrial,30,16
Auggen,Auggen,industrial,40,4
Auggen,Auggen,industrial,120,6
Auggen,Auggen,residential,0,0
Auggen,Auggen,residential,5,91
Auggen,Auggen,residential,10,210
Auggen,Auggen,residential,15,257
Auggen,Auggen,residential,20,119
Auggen,Auggen,residential,25,9
Auggen,Auggen,residential,30,21
Auggen,Auggen,residential,40,8
Auggen,Auggen,residential,120,7
Auggen,Auggen,unbekannt,0,0
Auggen,Auggen,unbekannt,5,0
Auggen,Auggen,unbekannt,10,0
Auggen,Auggen,unbekannt,15,2
Auggen,Auggen,unbekannt,20,0
Auggen,Auggen,unbekannt,25,0
Auggen,Auggen,unbekannt,30,0
Auggen,Auggen,unbekannt,40,0
Auggen,Auggen,unbekannt,120,1
