GemName,OrtName,Landuse,WegeDauer,Anzahl
Bad Krozingen,Hausen an der Möhlin,commercial,0,0
Bad Krozingen,Hausen an der Möhlin,commercial,5,0
Bad Krozingen,Hausen an der Möhlin,commercial,10,19
Bad Krozingen,Hausen an der Möhlin,commercial,15,5
Bad Krozingen,Hausen an der Möhlin,commercial,20,0
Bad Krozingen,Hausen an der Möhlin,commercial,25,0
Bad Krozingen,Hausen an der Möhlin,commercial,30,0
Bad Krozingen,Hausen an der Möhlin,commercial,40,0
Bad Krozingen,Hausen an der Möhlin,commercial,120,0
Bad Krozingen,Hausen an der Möhlin,farmyard,0,0
Bad Krozingen,Hausen an der Möhlin,farmyard,5,0
Bad Krozingen,Hausen an der Möhlin,farmyard,10,0
Bad Krozingen,Hausen an der Möhlin,farmyard,15,0
Bad Krozingen,Hausen an der Möhlin,farmyard,20,0
Bad Krozingen,Hausen an der Möhlin,farmyard,25,0
Bad Krozingen,Hausen an der Möhlin,farmyard,30,0
Bad Krozingen,Hausen an der Möhlin,farmyard,40,0
Bad Krozingen,Hausen an der Möhlin,farmyard,120,0
Bad Krozingen,Hausen an der Möhlin,industrial,0,0
Bad Krozingen,Hausen an der Möhlin,industrial,5,0
Bad Krozingen,Hausen an der Möhlin,industrial,10,0
Bad Krozingen,Hausen an der Möhlin,industrial,15,0
Bad Krozingen,Hausen an der Möhlin,industrial,20,0
Bad Krozingen,Hausen an der Möhlin,industrial,25,0
Bad Krozingen,Hausen an der Möhlin,industrial,30,1
Bad Krozingen,Hausen an der Möhlin,industrial,40,0
Bad Krozingen,Hausen an der Möhlin,industrial,120,0
Bad Krozingen,Hausen an der Möhlin,residential,0,0
Bad Krozingen,Hausen an der Möhlin,residential,5,52
Bad Krozingen,Hausen an der Möhlin,residential,10,154
Bad Krozingen,Hausen an der Möhlin,residential,15,125
Bad Krozingen,Hausen an der Möhlin,residential,20,88
Bad Krozingen,Hausen an der Möhlin,residential,25,1
Bad Krozingen,Hausen an der Möhlin,residential,30,0
Bad Krozingen,Hausen an der Möhlin,residential,40,0
Bad Krozingen,Hausen an der Möhlin,residential,120,0
Bad Krozingen,Hausen an der Möhlin,unbekannt,0,0
Bad Krozingen,Hausen an der Möhlin,unbekannt,5,0
Bad Krozingen,Hausen an der Möhlin,unbekannt,10,2
Bad Krozingen,Hausen an der Möhlin,unbekannt,15,1
Bad Krozingen,Hausen an der Möhlin,unbekannt,20,0
Bad Krozingen,Hausen an der Möhlin,unbekannt,25,0
Bad Krozingen,Hausen an der Möhlin,unbekannt,30,0
Bad Krozingen,Hausen an der Möhlin,unbekannt,40,0
Bad Krozingen,Hausen an der Möhlin,unbekannt,120,0
Bad Krozingen,Bad Krozingen (Kernstadt),commercial,0,0
Bad Krozingen,Bad Krozingen (Kernstadt),commercial,5,0
Bad Krozingen,Bad Krozingen (Kernstadt),commercial,10,0
Bad Krozingen,Bad Krozingen (Kernstadt),commercial,15,3
