GemName,OrtName,Landuse,WegeDauer,Anzahl
Ballrechten-Dottingen,Dottingen,commercial,0,0
Ballrechten-Dottingen,Dottingen,commercial,5,0
Ballrechten-Dottingen,Dottingen,commercial,10,0
Ballrechten-Dottingen,Dottingen,commercial,15,1
Ballrechten-Dottingen,Dottingen,commercial,20,1
Ballrechten-Dottingen,Dottingen,commercial,25,11
Ballrechten-Dottingen,Dottingen,commercial,30,17
Ballrechten-Dottingen,Dottingen,commercial,40,3
Ballrechten-Dottingen,Dottingen,commercial,120,0
Ballrechten-Dottingen,Dottingen,farmyard,0,0
Ballrechten-Dottingen,Dottingen,farmyard,5,0
Ballrechten-Dottingen,Dottingen,farmyard,10,0
Ballrechten-Dottingen,Dottingen,farmyard,15,0
Ballrechten-Dottingen,Dottingen,farmyard,20,0
Ballrechten-Dottingen,Dottingen,farmyard,25,1
Ballrechten-Dottingen,Dottingen,farmyard,30,0
Ballrechten-Dottingen,Dottingen,farmyard,40,0
Ballrechten-Dottingen,Dottingen,farmyard,120,0
Ballrechten-Dottingen,Dottingen,residential,0,0
Ballrechten-Dottingen,Dottingen,residential,5,3
Ballrechten-Dottingen,Dottingen,residential,10,81
Ballrechten-Dottingen,Dottingen,residential,15,121
Ballrechten-Dottingen,Dottingen,residential,20,153
Ballrechten-Dottingen,Dottingen,residential,25,45
Ballrechten-Dottingen,Dottingen,residential,30,4
Ballrechten-Dottingen,Dottingen,residential,40,0
Ballrechten-Dottingen,Dottingen,residential,120,0
Ballrechten-Dottingen,Dottingen,unbekannt,0,0
Ballrechten-Dottingen,Dottingen,unbekannt,5,0
Ballrechten-Dottingen,Dottingen,unbekannt,10,0
Ballrechten-Dottingen,Dottingen,unbekannt,15,0
Ballrechten-Dottingen,Dottingen,unbekannt,20,1
Ballrechten-Dottingen,Dottingen,unbekannt,25,1
Ballrechten-Dottingen,Dottingen,unbekannt,30,0
Ballrechten-Dottingen,Dottingen,unbekannt,40,0
Ballrechten-Dottingen,Dottingen,unbekannt,120,0
Ballrechten-Dottingen,Ballrechten,commercial,0,0
Ballrechten-Dottingen,Ballrechten,commercial,5,0
Ballrechten-Dottingen,Ballrechten,commercial,10,0
Ballrechten-Dottingen,Ballrechten,commercial,15,0
Ballrechten-Dottingen,Ballrechten,commercial,20,0
Ballrechten-Dottingen,Ballrechten,commercial,25,0
Ballrechten-Dottingen,Ballrechten,commercial,30,0
Ballrechten-Dottingen,Ballrechten,commercial,40,0
Ballrechten-Dottingen,Ballrechten,commercial,120,0
Ballrechten-Dottingen,Ballrechten,farmyard,0,0
Ballrechten-Dottingen,Ballrechten,farmyard,5,0
Ballrechten-Dottingen,Ballrechten,farmyard,10,1
Ballrechten-Dottingen,Ballrechten,farmyard,15,0
Ballrechten-Dottingen,Ballrechten,farmyard,20,0
Ballrechten-Dottingen,Ballrechten,farmyard,25,0
Ballrechten-Dottingen,Ballrechten,farmyard,30,0
Ballrechten-Dottingen,Ballrechten,farmyard,40,1
Ballrechten-Dottingen,Ballrechten,farmyard,120,0
Ballrechten-Dottingen,Ballrechten,residential,0,0
Ballrechten-Dottingen,Ballrechten,residential,5,29
Ballrechten-Dottingen,Ballrechten,residential,10,150
Ballrechten-Dottingen,Ballrechten,residential,15,41
Ballrechten-Dottingen,Ballrechten,residential,20,17
Ballrechten-Dottingen,Ballrechten,residential,25,1
Ballrechten-Dottingen,Ballrechten,residential,30,0
Ballrechten-Dottingen,Ballrechten,residential,40,0
Ballrechten-Dottingen,Ballrechten,residential,120,0
Ballrechten-Dottingen,Ballrechten,unbekannt,0,0
Ballrechten-Dottingen,Ballrechten,unbekannt,5,1
