GemName,OrtName,Landuse,WegeDauer,Anzahl
Bollschweil,Bollschweil (Kernort),commercial,0,0
Bollschweil,Bollschweil (Kernort),commercial,5,0
Bollschweil,Bollschweil (Kernort),commercial,10,0
Bollschweil,Bollschweil (Kernort),commercial,15,0
Bollschweil,Bollschweil (Kernort),commercial,20,0
Bollschweil,Bollschweil (Kernort),commercial,25,4
Bollschweil,Bollschweil (Kernort),commercial,30,0
Bollschweil,Bollschweil (Kernort),commercial,40,0
Bollschweil,Bollschweil (Kernort),commercial,120,0
Bollschweil,Bollschweil (Kernort),farmyard,0,0
Bollschweil,Bollschweil (Kernort),farmyard,5,0
Bollschweil,Bollschweil (Kernort),farmyard,10,0
Bollschweil,Bollschweil (Kernort),farmyard,15,0
Bollschweil,Bollschweil (Kernort),farmyard,20,0
Bollschweil,Bollschweil (Kernort),farmyard,25,1
Bollschweil,Bollschweil (Kernort),farmyard,30,3
Bollschweil,Bollschweil (Kernort),farmyard,40,2
Bollschweil,Bollschweil (Kernort),farmyard,120,6
Bollschweil,Bollschweil (Kernort),industrial,0,0
Bollschweil,Bollschweil (Kernort),industrial,5,0
Bollschweil,Bollschweil (Kernort),industrial,10,0
Bollschweil,Bollschweil (Kernort),industrial,15,0
Bollschweil,Bollschweil (Kernort),industrial,20,0
Bollschweil,Bollschweil (Kernort),industrial,25,0
Bollschweil,Bollschweil (Kernort),industrial,30,0
Bollschweil,Bollschweil (Kernort),industrial,40,1
Bollschweil,Bollschweil (Kernort),industrial,120,0
Bollschweil,Bollschweil (Kernort),residential,0,0
Bollschweil,Bollschweil (Kernort),residential,5,35
Bollschweil,Bollschweil (Kernort),residential,10,117
Bollschweil,Bollschweil (Kernort),residential,15,193
Bollschweil,Bollschweil (Kernort),residential,20,128
Bollschweil,Bollschweil (Kernort),residential,25,37
Bollschweil,Bollschweil (Kernort),residential,30,29
Bollschweil,Bollschweil (Kernort),residential,40,0
Bollschweil,Bollschweil (Kernort),residential,120,7
Bollschweil,Bollschweil (Kernort),unbekannt,0,0
Bollschweil,Bollschweil (Kernort),unbekannt,5,1
Bollschweil,Bollschweil (Kernort),unbekannt,10,0
Bollschweil,Bollschweil (Kernort),unbekannt,15,2
Bollschweil,Bollschweil (Kernort),unbekannt,20,0
Bollschweil,Bollschweil (Kernort),unbekannt,25,0
Bollschweil,Bollschweil (Kernort),unbekannt,30,0
Bollschweil,Bollschweil (Kernort),unbekannt,40,0
Bollschweil,Bollschweil (Kernort),unbekannt,120,0
Bollschweil,St. Ulrich,commercial,0,0
Bollschweil,St. Ulrich,commercial,5,0
Bollschweil,St. Ulrich,commercial,10,0
Bollschweil,St. Ulrich,commercial,15,0
Bollschweil,St. Ulrich,commercial,20,0
Bollschweil,St. Ulrich,commercial,25,0
Bollschweil,St. Ulrich,commercial,30,0
Bollschweil,St. Ulrich,commercial,40,0
Bollschweil,St. Ulrich,commercial,120,0
Bollschweil,St. Ulrich,farmyard,0,0
Bollschweil,St. Ulrich,farmyard,5,0
Bollschweil,St. Ulrich,farmyard,10,0
Bollschweil,St. Ulrich,farmyard,15,0
Bollschweil,St. Ulrich,farmyard,20,0
Bollschweil,St. Ulrich,farmyard,25,0
Bollschweil,St. Ulrich,farmyard,30,0
Bollschweil,St. Ulrich,farmyard,40,0
Bollschweil,St. Ulrich,farmyard,120,7
