GemName,OrtName,Landuse,WegeDauer,Anzahl
Breitnau,Breitnau,farmyard,0,0
Breitnau,Breitnau,farmyard,5,0
Breitnau,Breitnau,farmyard,10,0
Breitnau,Breitnau,farmyard,15,2
Breitnau,Breitnau,farmyard,20,10
Breitnau,Breitnau,farmyard,25,10
Breitnau,Breitnau,farmyard,30,4
Breitnau,Breitnau,farmyard,40,12
Breitnau,Breitnau,farmyard,120,98
Breitnau,Breitnau,industrial,0,0
Breitnau,Breitnau,industrial,5,0
Breitnau,Breitnau,industrial,10,0
Breitnau,Breitnau,industrial,15,0
Breitnau,Breitnau,industrial,20,0
Breitnau,Breitnau,industrial,25,0
Breitnau,Breitnau,industrial,30,0
Breitnau,Breitnau,industrial,40,0
Breitnau,Breitnau,industrial,120,6
Breitnau,Breitnau,residential,0,0
Breitnau,Breitnau,residential,5,48
Breitnau,Breitnau,residential,10,103
Breitnau,Breitnau,residential,15,32
Breitnau,Breitnau,residential,20,0
Breitnau,Breitnau,residential,25,1
Breitnau,Breitnau,residential,30,9
Breitnau,Breitnau,residential,40,9
Breitnau,Breitnau,residential,120,132
Breitnau,Breitnau,unbekannt,0,0
Breitnau,Breitnau,unbekannt,5,0
Breitnau,Breitnau,unbekannt,10,4
Breitnau,Breitnau,unbekannt,15,1
Breitnau,Breitnau,unbekannt,20,1
Breitnau,Breitnau,unbekannt,25,5
Breitnau,Breitnau,unbekannt,30,3
Breitnau,Breitnau,unbekannt,40,7
Breitnau,Breitnau,unbekannt,120,56
