GemName,OrtName,Landuse,WegeDauer,Anzahl
Buchenbach,Ibental,farmyard,0,0
Buchenbach,Ibental,farmyard,5,0
Buchenbach,Ibental,farmyard,10,0
Buchenbach,Ibental,farmyard,15,0
Buchenbach,Ibental,farmyard,20,0
Buchenbach,Ibental,farmyard,25,0
Buchenbach,Ibental,farmyard,30,0
Buchenbach,Ibental,farmyard,40,0
Buchenbach,Ibental,farmyard,120,21
Buchenbach,Ibental,industrial,0,0
Buchenbach,Ibental,industrial,5,0
Buchenbach,Ibental,industrial,10,0
Buchenbach,Ibental,industrial,15,0
Buchenbach,Ibental,industrial,20,0
Buchenbach,Ibental,industrial,25,0
Buchenbach,Ibental,industrial,30,0
Buchenbach,Ibental,industrial,40,0
Buchenbach,Ibental,industrial,120,0
Buchenbach,Ibental,residential,0,0
Buchenbach,Ibental,residential,5,0
Buchenbach,Ibental,residential,10,0
Buchenbach,Ibental,residential,15,0
Buchenbach,Ibental,residential,20,0
Buchenbach,Ibental,residential,25,0
Buchenbach,Ibental,residential,30,1
Buchenbach,Ibental,residential,40,9
Buchenbach,Ibental,residential,120,89
Buchenbach,Ibental,unbekannt,0,0
Buchenbach,Ibental,unbekannt,5,0
Buchenbach,Ibental,unbekannt,10,0
Buchenbach,Ibental,unbekannt,15,0
Buchenbach,Ibental,unbekannt,20,0
Buchenbach,Ibental,unbekannt,25,0
Buchenbach,Ibental,unbekannt,30,0
Buchenbach,Ibental,unbekannt,40,1
Buchenbach,Ibental,unbekannt,120,10
Buchenbach,Falkensteig,farmyard,0,0
Buchenbach,Falkensteig,farmyard,5,0
Buchenbach,Falkensteig,farmyard,10,0
Buchenbach,Falkensteig,farmyard,15,0
Buchenbach,Falkensteig,farmyard,20,0
Buchenbach,Falkensteig,farmyard,25,0
Buchenbach,Falkensteig,farmyard,30,0
Buchenbach,Falkensteig,farmyard,40,0
Buchenbach,Falkensteig,farmyard,120,5
Buchenbach,Falkensteig,industrial,0,0
Buchenbach,Falkensteig,industrial,5,0
Buchenbach,Falkensteig,industrial,10,0
Buchenbach,Falkensteig,industrial,15,0
Buchenbach,Falkensteig,industrial,20,0
Buchenbach,Falkensteig,industrial,25,0
Buchenbach,Falkensteig,industrial,30,0
Buchenbach,Falkensteig,industrial,40,0
Buchenbach,Falkensteig,industrial,120,0
Buchenbach,Falkensteig,residential,0,0
Buchenbach,Falkensteig,residential,5,0
Buchenbach,Falkensteig,residential,10,0
Buchenbach,Falkensteig,residential,15,0
Buchenbach,Falkensteig,residential,20,0
