GemName,OrtName,Landuse,WegeDauer,Anzahl
Buggingen,Buggingen (Kernort),commercial,0,0
Buggingen,Buggingen (Kernort),commercial,5,0
Buggingen,Buggingen (Kernort),commercial,10,0
Buggingen,Buggingen (Kernort),commercial,15,0
Buggingen,Buggingen (Kernort),commercial,20,2
Buggingen,Buggingen (Kernort),commercial,25,0
Buggingen,Buggingen (Kernort),commercial,30,0
Buggingen,Buggingen (Kernort),commercial,40,0
Buggingen,Buggingen (Kernort),commercial,120,0
Buggingen,Buggingen (Kernort),farmyard,0,0
Buggingen,Buggingen (Kernort),farmyard,5,0
Buggingen,Buggingen (Kernort),farmyard,10,0
Buggingen,Buggingen (Kernort),farmyard,15,0
Buggingen,Buggingen (Kernort),farmyard,20,0
Buggingen,Buggingen (Kernort),farmyard,25,0
Buggingen,Buggingen (Kernort),farmyard,30,0
Buggingen,Buggingen (Kernort),farmyard,40,0
Buggingen,Buggingen (Kernort),farmyard,120,6
Buggingen,Buggingen (Kernort),industrial,0,0
Buggingen,Buggingen (Kernort),industrial,5,0
Buggingen,Buggingen (Kernort),industrial,10,0
Buggingen,Buggingen (Kernort),industrial,15,4
Buggingen,Buggingen (Kernort),industrial,20,3
Buggingen,Buggingen (Kernort),industrial,25,4
Buggingen,Buggingen (Kernort),industrial,30,17
Buggingen,Buggingen (Kernort),industrial,40,19
Buggingen,Buggingen (Kernort),industrial,120,17
Buggingen,Buggingen (Kernort),residential,0,0
Buggingen,Buggingen (Kernort),residential,5,78
Buggingen,Buggingen (Kernort),residential,10,298
Buggingen,Buggingen (Kernort),residential,15,219
Buggingen,Buggingen (Kernort),residential,20,130
Buggingen,Buggingen (Kernort),residential,25,33
Buggingen,Buggingen (Kernort),residential,30,7
Buggingen,Buggingen (Kernort),residential,40,44
Buggingen,Buggingen (Kernort),residential,120,1
Buggingen,Buggingen (Kernort),unbekannt,0,0
Buggingen,Buggingen (Kernort),unbekannt,5,0
Buggingen,Buggingen (Kernort),unbekannt,10,0
Buggingen,Buggingen (Kernort),unbekannt,15,1
Buggingen,Buggingen (Kernort),unbekannt,20,0
Buggingen,Buggingen (Kernort),unbekannt,25,0
Buggingen,Buggingen (Kernort),unbekannt,30,0
Buggingen,Buggingen (Kernort),unbekannt,40,0
Buggingen,Buggingen (Kernort),unbekannt,120,0
Buggingen,Seefelden,commercial,0,0
Buggingen,Seefelden,commercial,5,0
Buggingen,Seefelden,commercial,10,0
Buggingen,Seefelden,commercial,15,0
Buggingen,Seefelden,commercial,20,0
Buggingen,Seefelden,commercial,25,0
Buggingen,Seefelden,commercial,30,0
Buggingen,Seefelden,commercial,40,0
Buggingen,Seefelden,commercial,120,0
Buggingen,Seefelden,farmyard,0,0
Buggingen,Seefelden,farmyard,5,0
Buggingen,Seefelden,farmyard,10,0
Buggingen,Seefelden,farmyard,15,0
Buggingen,Seefelden,farmyard,20,0
Buggingen,Seefelden,farmyard,25,0
Buggingen,Seefelden,farmyard,30,0
Buggingen,Seefelden,farmyard,40,0
Buggingen,Seefelden,farmyard,120,0
Buggingen,Seefelden,industrial,0,0
Buggingen,Seefelden,industrial,5,0
Buggingen,Seefelden,industrial,10,0
Buggingen,Seefelden,industrial,15,0
Buggingen,Seefelden,industrial,20,0
Buggingen,Seefelden,industrial,25,0
Buggingen,Seefelden,industrial,30,0
Buggingen,Seefelden,industrial,40,0
Buggingen,Seefelden,industrial,120,0
Buggingen,Seefelden,residential,0,0
Buggingen,Seefelden,residential,5,0
Buggingen,Seefelden,residential,10,0
Buggingen,Seefelden,residential,15,0
Buggingen,Seefelden,residential,20,2
Buggingen,Seefelden,residential,25,3
Buggingen,Seefelden,residential,30,54
Buggingen,Seefelden,residential,40,223
Buggingen,Seefelden,residential,120,64
Buggingen,Seefelden,unbekannt,0,0
Buggingen,Seefelden,unbekannt,5,0
Buggingen,Seefelden,unbekannt,10,0
Buggingen,Seefelden,unbekannt,15,0
Buggingen,Seefelden,unbekannt,20,0
Buggingen,Seefelden,unbekannt,25,1
Buggingen,Seefelden,unbekannt,30,0
Buggingen,Seefelden,unbekannt,40,1
Buggingen,Seefelden,unbekannt,120,1
Buggingen,Betberg,commercial,0,0
Buggingen,Betberg,commercial,5,0
Buggingen,Betberg,commercial,10,0
Buggingen,Betberg,commercial,15,0
Buggingen,Betberg,commercial,20,0
Buggingen,Betberg,commercial,25,0
Buggingen,Betberg,commercial,30,0
Buggingen,Betberg,commercial,40,0
Buggingen,Betberg,commercial,120,0
Buggingen,Betberg,farmyard,0,0
Buggingen,Betberg,farmyard,5,0
Buggingen,Betberg,farmyard,10,0
Buggingen,Betberg,farmyard,15,0
Buggingen,Betberg,farmyard,20,0
Buggingen,Betberg,farmyard,25,0
Buggingen,Betberg,farmyard,30,0
Buggingen,Betberg,farmyard,40,0
Buggingen,Betberg,farmyard,120,0
Buggingen,Betberg,industrial,0,0
Buggingen,Betberg,industrial,5,0
Buggingen,Betberg,industrial,10,0
Buggingen,Betberg,industrial,15,0
Buggingen,Betberg,industrial,20,0
Buggingen,Betberg,industrial,25,0
Buggingen,Betberg,industrial,30,0
Buggingen,Betberg,industrial,40,0
Buggingen,Betberg,industrial,120,0
Buggingen,Betberg,residential,0,0
Buggingen,Betberg,residential,5,0
Buggingen,Betberg,residential,10,0
Buggingen,Betberg,residential,15,0
Buggingen,Betberg,residential,20,0
Buggingen,Betberg,residential,25,0
Buggingen,Betberg,residential,30,0
Buggingen,Betberg,residential,40,0
Buggingen,Betberg,residential,120,0
Buggingen,Betberg,unbekannt,0,0
Buggingen,Betberg,unbekannt,5,0
Buggingen,Betberg,unbekannt,10,0
Buggingen,Betberg,unbekannt,15,0
Buggingen,Betberg,unbekannt,20,0
Buggingen,Betberg,unbekannt,25,0
Buggingen,Betberg,unbekannt,30,0
Buggingen,Betberg,unbekannt,40,0
Buggingen,Betberg,unbekannt,120,0
Buggingen,Buggingen,commercial,0,0
Buggingen,Buggingen,commercial,5,0
Buggingen,Buggingen,commercial,10,0
Buggingen,Buggingen,commercial,15,0
Buggingen,Buggingen,commercial,20,0
Buggingen,Buggingen,commercial,25,0
Buggingen,Buggingen,commercial,30,0
Buggingen,Buggingen,commercial,40,0
Buggingen,Buggingen,commercial,120,0
Buggingen,Buggingen,farmyard,0,0
Buggingen,Buggingen,farmyard,5,0
Buggingen,Buggingen,farmyard,10,0
Buggingen,Buggingen,farmyard,15,0
Buggingen,Buggingen,farmyard,20,0
Buggingen,Buggingen,farmyard,25,0
Buggingen,Buggingen,farmyard,30,0
Buggingen,Buggingen,farmyard,40,0
Buggingen,Buggingen,farmyard,120,0
Buggingen,Buggingen,industrial,0,0
Buggingen,Buggingen,industrial,5,0
Buggingen,Buggingen,industrial,10,0
Buggingen,Buggingen,industrial,15,0
Buggingen,Buggingen,industrial,20,0
Buggingen,Buggingen,industrial,25,0
Buggingen,Buggingen,industrial,30,0
Buggingen,Buggingen,industrial,40,0
Buggingen,Buggingen,industrial,120,0
Buggingen,Buggingen,residential,0,0
Buggingen,Buggingen,residential,5,0
Buggingen,Buggingen,residential,10,0
Buggingen,Buggingen,residential,15,0
Buggingen,Buggingen,residential,20,0
Buggingen,Buggingen,residential,25,0
Buggingen,Buggingen,residential,30,0
Buggingen,Buggingen,residential,40,0
Buggingen,Buggingen,residential,120,0
Buggingen,Buggingen,unbekannt,0,0
Buggingen,Buggingen,unbekannt,5,0
Buggingen,Buggingen,unbekannt,10,0
Buggingen,Buggingen,unbekannt,15,0
Buggingen,Buggingen,unbekannt,20,0
Buggingen,Buggingen,unbekannt,25,0
Buggingen,Buggingen,unbekannt,30,0
Buggingen,Buggingen,unbekannt,40,0
Buggingen,Buggingen,unbekannt,120,0
