GemName,OrtName,Landuse,WegeDauer,Anzahl
Bötzingen,Bötzingen,commercial,0,0
Bötzingen,Bötzingen,commercial,5,0
Bötzingen,Bötzingen,commercial,10,0
Bötzingen,Bötzingen,commercial,15,15
Bötzingen,Bötzingen,commercial,20,2
Bötzingen,Bötzingen,commercial,25,0
Bötzingen,Bötzingen,commercial,30,0
Bötzingen,Bötzingen,commercial,40,0
Bötzingen,Bötzingen,commercial,120,0
Bötzingen,Bötzingen,farmyard,0,0
Bötzingen,Bötzingen,farmyard,5,0
Bötzingen,Bötzingen,farmyard,10,0
Bötzingen,Bötzingen,farmyard,15,0
Bötzingen,Bötzingen,farmyard,20,1
Bötzingen,Bötzingen,farmyard,25,1
Bötzingen,Bötzingen,farmyard,30,0
Bötzingen,Bötzingen,farmyard,40,0
Bötzingen,Bötzingen,farmyard,120,0
Bötzingen,Bötzingen,industrial,0,0
Bötzingen,Bötzingen,industrial,5,1
Bötzingen,Bötzingen,industrial,10,3
Bötzingen,Bötzingen,industrial,15,3
Bötzingen,Bötzingen,industrial,20,6
Bötzingen,Bötzingen,industrial,25,24
Bötzingen,Bötzingen,industrial,30,29
Bötzingen,Bötzingen,industrial,40,8
Bötzingen,Bötzingen,industrial,120,0
Bötzingen,Bötzingen,residential,0,0
Bötzingen,Bötzingen,residential,5,17
Bötzingen,Bötzingen,residential,10,40
Bötzingen,Bötzingen,residential,15,63
Bötzingen,Bötzingen,residential,20,85
Bötzingen,Bötzingen,residential,25,80
Bötzingen,Bötzingen,residential,30,45
Bötzingen,Bötzingen,residential,40,0
Bötzingen,Bötzingen,residential,120,0
Bötzingen,Bötzingen,unbekannt,0,0
Bötzingen,Bötzingen,unbekannt,5,76
Bötzingen,Bötzingen,unbekannt,10,170
Bötzingen,Bötzingen,unbekannt,15,212
Bötzingen,Bötzingen,unbekannt,20,182
Bötzingen,Bötzingen,unbekannt,25,129
Bötzingen,Bötzingen,unbekannt,30,38
Bötzingen,Bötzingen,unbekannt,40,3
Bötzingen,Bötzingen,unbekannt,120,0
