GemName,OrtName,Landuse,WegeDauer,Anzahl
Ebringen,Ebringen,commercial,0,0
Ebringen,Ebringen,commercial,5,0
Ebringen,Ebringen,commercial,10,1
Ebringen,Ebringen,commercial,15,16
Ebringen,Ebringen,commercial,20,0
Ebringen,Ebringen,commercial,25,0
Ebringen,Ebringen,commercial,30,0
Ebringen,Ebringen,commercial,40,0
Ebringen,Ebringen,commercial,120,0
Ebringen,Ebringen,residential,0,0
Ebringen,Ebringen,residential,5,60
Ebringen,Ebringen,residential,10,210
Ebringen,Ebringen,residential,15,242
Ebringen,Ebringen,residential,20,112
Ebringen,Ebringen,residential,25,57
Ebringen,Ebringen,residential,30,7
Ebringen,Ebringen,residential,40,0
Ebringen,Ebringen,residential,120,2
Ebringen,Ebringen,unbekannt,0,0
Ebringen,Ebringen,unbekannt,5,2
Ebringen,Ebringen,unbekannt,10,25
Ebringen,Ebringen,unbekannt,15,35
Ebringen,Ebringen,unbekannt,20,0
Ebringen,Ebringen,unbekannt,25,14
Ebringen,Ebringen,unbekannt,30,0
Ebringen,Ebringen,unbekannt,40,1
Ebringen,Ebringen,unbekannt,120,0
