GemName,OrtName,Landuse,WegeDauer,Anzahl
Ehrenkirchen,Scherzingen,commercial,0,0
Ehrenkirchen,Scherzingen,commercial,5,0
Ehrenkirchen,Scherzingen,commercial,10,0
Ehrenkirchen,Scherzingen,commercial,15,0
Ehrenkirchen,Scherzingen,commercial,20,0
Ehrenkirchen,Scherzingen,commercial,25,0
Ehrenkirchen,Scherzingen,commercial,30,0
Ehrenkirchen,Scherzingen,commercial,40,0
Ehrenkirchen,Scherzingen,commercial,120,0
Ehrenkirchen,Scherzingen,farmyard,0,0
Ehrenkirchen,Scherzingen,farmyard,5,0
Ehrenkirchen,Scherzingen,farmyard,10,0
Ehrenkirchen,Scherzingen,farmyard,15,0
Ehrenkirchen,Scherzingen,farmyard,20,0
Ehrenkirchen,Scherzingen,farmyard,25,0
Ehrenkirchen,Scherzingen,farmyard,30,0
Ehrenkirchen,Scherzingen,farmyard,40,0
Ehrenkirchen,Scherzingen,farmyard,120,1
Ehrenkirchen,Scherzingen,industrial,0,0
Ehrenkirchen,Scherzingen,industrial,5,0
Ehrenkirchen,Scherzingen,industrial,10,0
Ehrenkirchen,Scherzingen,industrial,15,0
Ehrenkirchen,Scherzingen,industrial,20,0
Ehrenkirchen,Scherzingen,industrial,25,0
Ehrenkirchen,Scherzingen,industrial,30,0
Ehrenkirchen,Scherzingen,industrial,40,0
Ehrenkirchen,Scherzingen,industrial,120,0
Ehrenkirchen,Scherzingen,residential,0,0
Ehrenkirchen,Scherzingen,residential,5,0
Ehrenkirchen,Scherzingen,residential,10,0
Ehrenkirchen,Scherzingen,residential,15,0
Ehrenkirchen,Scherzingen,residential,20,0
Ehrenkirchen,Scherzingen,residential,25,0
Ehrenkirchen,Scherzingen,residential,30,0
Ehrenkirchen,Scherzingen,residential,40,0
Ehrenkirchen,Scherzingen,residential,120,73
Ehrenkirchen,Scherzingen,unbekannt,0,0
Ehrenkirchen,Scherzingen,unbekannt,5,0
Ehrenkirchen,Scherzingen,unbekannt,10,0
Ehrenkirchen,Scherzingen,unbekannt,15,0
Ehrenkirchen,Scherzingen,unbekannt,20,0
Ehrenkirchen,Scherzingen,unbekannt,25,0
Ehrenkirchen,Scherzingen,unbekannt,30,0
Ehrenkirchen,Scherzingen,unbekannt,40,0
Ehrenkirchen,Scherzingen,unbekannt,120,1
Ehrenkirchen,Norsingen,commercial,0,0
Ehrenkirchen,Norsingen,commercial,5,0
Ehrenkirchen,Norsingen,commercial,10,0
Ehrenkirchen,Norsingen,commercial,15,0
Ehrenkirchen,Norsingen,commercial,20,0
Ehrenkirchen,Norsingen,commercial,25,0
Ehrenkirchen,Norsingen,commercial,30,0
Ehrenkirchen,Norsingen,commercial,40,0
Ehrenkirchen,Norsingen,commercial,120,0
Ehrenkirchen,Norsingen,farmyard,0,0
Ehrenkirchen,Norsingen,farmyard,5,0
Ehrenkirchen,Norsingen,farmyard,10,0
Ehrenkirchen,Norsingen,farmyard,15,0
Ehrenkirchen,Norsingen,farmyard,20,0
Ehrenkirchen,Norsingen,farmyard,25,0
Ehrenkirchen,Norsingen,farmyard,30,0
Ehrenkirchen,Norsingen,farmyard,40,0
Ehrenkirchen,Norsingen,farmyard,120,1
Ehrenkirchen,Norsingen,industrial,0,0
Ehrenkirchen,Norsingen,industrial,5,0
Ehrenkirchen,Norsingen,industrial,10,0
Ehrenkirchen,Norsingen,industrial,15,0
Ehrenkirchen,Norsingen,industrial,20,0
Ehrenkirchen,Norsingen,industrial,25,0
Ehrenkirchen,Norsingen,industrial,30,0
Ehrenkirchen,Norsingen,industrial,40,0
Ehrenkirchen,Norsingen,industrial,120,0
Ehrenkirchen,Norsingen,residential,0,0
Ehrenkirchen,Norsingen,residential,5,0
Ehrenkirchen,Norsingen,residential,10,0
Ehrenkirchen,Norsingen,residential,15,0
Ehrenkirchen,Norsingen,residential,20,0
Ehrenkirchen,Norsingen,residential,25,0
Ehrenkirchen,Norsingen,residential,30,0
Ehrenkirchen,Norsingen,residential,40,0
Ehrenkirchen,Norsingen,residential,120,333
Ehrenkirchen,Norsingen,unbekannt,0,0
Ehrenkirchen,Norsingen,unbekannt,5,0
Ehrenkirchen,Norsingen,unbekannt,10,0
Ehrenkirchen,Norsingen,unbekannt,15,0
Ehrenkirchen,Norsingen,unbekannt,20,0
Ehrenkirchen,Norsingen,unbekannt,25,0
Ehrenkirchen,Norsingen,unbekannt,30,0
Ehrenkirchen,Norsingen,unbekannt,40,0
Ehrenkirchen,Norsingen,unbekannt,120,11
Ehrenkirchen,Ehrenstetten,commercial,0,0
Ehrenkirchen,Ehrenstetten,commercial,5,0
Ehrenkirchen,Ehrenstetten,commercial,10,2
Ehrenkirchen,Ehrenstetten,commercial,15,1
Ehrenkirchen,Ehrenstetten,commercial,20,0
Ehrenkirchen,Ehrenstetten,commercial,25,0
Ehrenkirchen,Ehrenstetten,commercial,30,0
Ehrenkirchen,Ehrenstetten,commercial,40,0
Ehrenkirchen,Ehrenstetten,commercial,120,0
Ehrenkirchen,Ehrenstetten,farmyard,0,0
Ehrenkirchen,Ehrenstetten,farmyard,5,0
Ehrenkirchen,Ehrenstetten,farmyard,10,0
Ehrenkirchen,Ehrenstetten,farmyard,15,0
Ehrenkirchen,Ehrenstetten,farmyard,20,1
Ehrenkirchen,Ehrenstetten,farmyard,25,0
Ehrenkirchen,Ehrenstetten,farmyard,30,2
Ehrenkirchen,Ehrenstetten,farmyard,40,1
Ehrenkirchen,Ehrenstetten,farmyard,120,4
Ehrenkirchen,Ehrenstetten,industrial,0,0
Ehrenkirchen,Ehrenstetten,industrial,5,0
Ehrenkirchen,Ehrenstetten,industrial,10,0
Ehrenkirchen,Ehrenstetten,industrial,15,0
Ehrenkirchen,Ehrenstetten,industrial,20,0
Ehrenkirchen,Ehrenstetten,industrial,25,0
Ehrenkirchen,Ehrenstetten,industrial,30,0
Ehrenkirchen,Ehrenstetten,industrial,40,0
Ehrenkirchen,Ehrenstetten,industrial,120,0
Ehrenkirchen,Ehrenstetten,residential,0,0
Ehrenkirchen,Ehrenstetten,residential,5,99
Ehrenkirchen,Ehrenstetten,residential,10,210
Ehrenkirchen,Ehrenstetten,residential,15,168
Ehrenkirchen,Ehrenstetten,residential,20,61
Ehrenkirchen,Ehrenstetten,residential,25,0
Ehrenkirchen,Ehrenstetten,residential,30,0
Ehrenkirchen,Ehrenstetten,residential,40,7
Ehrenkirchen,Ehrenstetten,residential,120,0
Ehrenkirchen,Ehrenstetten,unbekannt,0,0
Ehrenkirchen,Ehrenstetten,unbekannt,5,0
Ehrenkirchen,Ehrenstetten,unbekannt,10,0
Ehrenkirchen,Ehrenstetten,unbekannt,15,0
Ehrenkirchen,Ehrenstetten,unbekannt,20,1
Ehrenkirchen,Ehrenstetten,unbekannt,25,1
Ehrenkirchen,Ehrenstetten,unbekannt,30,0
Ehrenkirchen,Ehrenstetten,unbekannt,40,1
Ehrenkirchen,Ehrenstetten,unbekannt,120,0
Ehrenkirchen,Offnadingen,commercial,0,0
Ehrenkirchen,Offnadingen,commercial,5,0
Ehrenkirchen,Offnadingen,commercial,10,0
Ehrenkirchen,Offnadingen,commercial,15,0
Ehrenkirchen,Offnadingen,commercial,20,0
Ehrenkirchen,Offnadingen,commercial,25,0
Ehrenkirchen,Offnadingen,commercial,30,0
Ehrenkirchen,Offnadingen,commercial,40,0
Ehrenkirchen,Offnadingen,commercial,120,0
Ehrenkirchen,Offnadingen,farmyard,0,0
Ehrenkirchen,Offnadingen,farmyard,5,0
Ehrenkirchen,Offnadingen,farmyard,10,0
Ehrenkirchen,Offnadingen,farmyard,15,0
Ehrenkirchen,Offnadingen,farmyard,20,0
Ehrenkirchen,Offnadingen,farmyard,25,0
Ehrenkirchen,Offnadingen,farmyard,30,0
Ehrenkirchen,Offnadingen,farmyard,40,0
Ehrenkirchen,Offnadingen,farmyard,120,0
Ehrenkirchen,Offnadingen,industrial,0,0
Ehrenkirchen,Offnadingen,industrial,5,0
Ehrenkirchen,Offnadingen,industrial,10,0
