GemName,OrtName,Landuse,WegeDauer,Anzahl
Eichstetten,Eichstetten,commercial,0,0
Eichstetten,Eichstetten,commercial,5,0
Eichstetten,Eichstetten,commercial,10,0
Eichstetten,Eichstetten,commercial,15,0
Eichstetten,Eichstetten,commercial,20,0
Eichstetten,Eichstetten,commercial,25,12
Eichstetten,Eichstetten,commercial,30,22
Eichstetten,Eichstetten,commercial,40,5
Eichstetten,Eichstetten,commercial,120,0
Eichstetten,Eichstetten,farmyard,0,0
Eichstetten,Eichstetten,farmyard,5,0
Eichstetten,Eichstetten,farmyard,10,0
Eichstetten,Eichstetten,farmyard,15,0
Eichstetten,Eichstetten,farmyard,20,0
Eichstetten,Eichstetten,farmyard,25,5
Eichstetten,Eichstetten,farmyard,30,4
Eichstetten,Eichstetten,farmyard,40,0
Eichstetten,Eichstetten,farmyard,120,0
Eichstetten,Eichstetten,industrial,0,0
Eichstetten,Eichstetten,industrial,5,0
Eichstetten,Eichstetten,industrial,10,0
Eichstetten,Eichstetten,industrial,15,0
Eichstetten,Eichstetten,industrial,20,0
Eichstetten,Eichstetten,industrial,25,1
Eichstetten,Eichstetten,industrial,30,0
Eichstetten,Eichstetten,industrial,40,1
Eichstetten,Eichstetten,industrial,120,0
Eichstetten,Eichstetten,residential,0,0
Eichstetten,Eichstetten,residential,5,29
Eichstetten,Eichstetten,residential,10,78
Eichstetten,Eichstetten,residential,15,98
Eichstetten,Eichstetten,residential,20,98
Eichstetten,Eichstetten,residential,25,53
Eichstetten,Eichstetten,residential,30,2
Eichstetten,Eichstetten,residential,40,0
Eichstetten,Eichstetten,residential,120,0
Eichstetten,Eichstetten,unbekannt,0,0
Eichstetten,Eichstetten,unbekannt,5,43
Eichstetten,Eichstetten,unbekannt,10,160
Eichstetten,Eichstetten,unbekannt,15,176
Eichstetten,Eichstetten,unbekannt,20,105
Eichstetten,Eichstetten,unbekannt,25,66
Eichstetten,Eichstetten,unbekannt,30,5
Eichstetten,Eichstetten,unbekannt,40,1
Eichstetten,Eichstetten,unbekannt,120,3
