GemName,OrtName,Landuse,WegeDauer,Anzahl
Eisenbach,Schollach,farmyard,0,0
Eisenbach,Schollach,farmyard,5,0
Eisenbach,Schollach,farmyard,10,0
Eisenbach,Schollach,farmyard,15,0
Eisenbach,Schollach,farmyard,20,0
Eisenbach,Schollach,farmyard,25,0
Eisenbach,Schollach,farmyard,30,0
Eisenbach,Schollach,farmyard,40,0
Eisenbach,Schollach,farmyard,120,45
Eisenbach,Schollach,industrial,0,0
Eisenbach,Schollach,industrial,5,0
Eisenbach,Schollach,industrial,10,0
Eisenbach,Schollach,industrial,15,0
Eisenbach,Schollach,industrial,20,0
Eisenbach,Schollach,industrial,25,0
Eisenbach,Schollach,industrial,30,0
Eisenbach,Schollach,industrial,40,0
Eisenbach,Schollach,industrial,120,1
Eisenbach,Schollach,residential,0,0
Eisenbach,Schollach,residential,5,0
Eisenbach,Schollach,residential,10,0
Eisenbach,Schollach,residential,15,0
Eisenbach,Schollach,residential,20,0
Eisenbach,Schollach,residential,25,0
Eisenbach,Schollach,residential,30,0
Eisenbach,Schollach,residential,40,0
Eisenbach,Schollach,residential,120,47
Eisenbach,Schollach,unbekannt,0,0
Eisenbach,Schollach,unbekannt,5,0
Eisenbach,Schollach,unbekannt,10,0
Eisenbach,Schollach,unbekannt,15,0
Eisenbach,Schollach,unbekannt,20,0
Eisenbach,Schollach,unbekannt,25,0
Eisenbach,Schollach,unbekannt,30,0
Eisenbach,Schollach,unbekannt,40,0
Eisenbach,Schollach,unbekannt,120,4
Eisenbach,Bubenbach,farmyard,0,0
Eisenbach,Bubenbach,farmyard,5,0
Eisenbach,Bubenbach,farmyard,10,0
Eisenbach,Bubenbach,farmyard,15,0
Eisenbach,Bubenbach,farmyard,20,0
Eisenbach,Bubenbach,farmyard,25,0
Eisenbach,Bubenbach,farmyard,30,0
Eisenbach,Bubenbach,farmyard,40,0
Eisenbach,Bubenbach,farmyard,120,0
Eisenbach,Bubenbach,industrial,0,0
Eisenbach,Bubenbach,industrial,5,0
Eisenbach,Bubenbach,industrial,10,0
Eisenbach,Bubenbach,industrial,15,0
Eisenbach,Bubenbach,industrial,20,0
Eisenbach,Bubenbach,industrial,25,0
Eisenbach,Bubenbach,industrial,30,0
Eisenbach,Bubenbach,industrial,40,0
Eisenbach,Bubenbach,industrial,120,9
Eisenbach,Bubenbach,residential,0,0
Eisenbach,Bubenbach,residential,5,0
Eisenbach,Bubenbach,residential,10,0
Eisenbach,Bubenbach,residential,15,0
Eisenbach,Bubenbach,residential,20,0
Eisenbach,Bubenbach,residential,25,0
Eisenbach,Bubenbach,residential,30,0
Eisenbach,Bubenbach,residential,40,2
Eisenbach,Bubenbach,residential,120,273
Eisenbach,Bubenbach,unbekannt,0,0
Eisenbach,Bubenbach,unbekannt,5,0
Eisenbach,Bubenbach,unbekannt,10,0
Eisenbach,Bubenbach,unbekannt,15,0
Eisenbach,Bubenbach,unbekannt,20,0
Eisenbach,Bubenbach,unbekannt,25,0
Eisenbach,Bubenbach,unbekannt,30,0
Eisenbach,Bubenbach,unbekannt,40,2
