GemName,OrtName,Landuse,WegeDauer,Anzahl
Eschbach,Eschbach,commercial,0,0
Eschbach,Eschbach,commercial,5,0
Eschbach,Eschbach,commercial,10,0
Eschbach,Eschbach,commercial,15,0
Eschbach,Eschbach,commercial,20,0
Eschbach,Eschbach,commercial,25,0
Eschbach,Eschbach,commercial,30,0
Eschbach,Eschbach,commercial,40,0
Eschbach,Eschbach,commercial,120,1
Eschbach,Eschbach,farmyard,0,0
Eschbach,Eschbach,farmyard,5,0
Eschbach,Eschbach,farmyard,10,0
Eschbach,Eschbach,farmyard,15,0
Eschbach,Eschbach,farmyard,20,0
Eschbach,Eschbach,farmyard,25,0
Eschbach,Eschbach,farmyard,30,0
Eschbach,Eschbach,farmyard,40,0
Eschbach,Eschbach,farmyard,120,0
Eschbach,Eschbach,industrial,0,0
Eschbach,Eschbach,industrial,5,0
Eschbach,Eschbach,industrial,10,0
Eschbach,Eschbach,industrial,15,0
Eschbach,Eschbach,industrial,20,0
Eschbach,Eschbach,industrial,25,0
Eschbach,Eschbach,industrial,30,0
Eschbach,Eschbach,industrial,40,0
Eschbach,Eschbach,industrial,120,116
Eschbach,Eschbach,residential,0,0
Eschbach,Eschbach,residential,5,27
Eschbach,Eschbach,residential,10,181
Eschbach,Eschbach,residential,15,312
Eschbach,Eschbach,residential,20,61
Eschbach,Eschbach,residential,25,0
Eschbach,Eschbach,residential,30,0
Eschbach,Eschbach,residential,40,0
Eschbach,Eschbach,residential,120,3
Eschbach,Eschbach,unbekannt,0,0
Eschbach,Eschbach,unbekannt,5,0
Eschbach,Eschbach,unbekannt,10,1
Eschbach,Eschbach,unbekannt,15,2
Eschbach,Eschbach,unbekannt,20,1
Eschbach,Eschbach,unbekannt,25,0
Eschbach,Eschbach,unbekannt,30,0
Eschbach,Eschbach,unbekannt,40,0
Eschbach,Eschbach,unbekannt,120,0
