GemName,OrtName,Landuse,WegeDauer,Anzahl
Feldberg (Schwarzwald),Altglashütten,farmyard,0,0
Feldberg (Schwarzwald),Altglashütten,farmyard,5,0
Feldberg (Schwarzwald),Altglashütten,farmyard,10,0
Feldberg (Schwarzwald),Altglashütten,farmyard,15,0
Feldberg (Schwarzwald),Altglashütten,farmyard,20,0
Feldberg (Schwarzwald),Altglashütten,farmyard,25,0
Feldberg (Schwarzwald),Altglashütten,farmyard,30,0
Feldberg (Schwarzwald),Altglashütten,farmyard,40,2
Feldberg (Schwarzwald),Altglashütten,farmyard,120,0
Feldberg (Schwarzwald),Altglashütten,industrial,0,0
Feldberg (Schwarzwald),Altglashütten,industrial,5,0
Feldberg (Schwarzwald),Altglashütten,industrial,10,0
Feldberg (Schwarzwald),Altglashütten,industrial,15,2
Feldberg (Schwarzwald),Altglashütten,industrial,20,0
Feldberg (Schwarzwald),Altglashütten,industrial,25,0
Feldberg (Schwarzwald),Altglashütten,industrial,30,0
Feldberg (Schwarzwald),Altglashütten,industrial,40,0
Feldberg (Schwarzwald),Altglashütten,industrial,120,0
Feldberg (Schwarzwald),Altglashütten,residential,0,0
Feldberg (Schwarzwald),Altglashütten,residential,5,25
Feldberg (Schwarzwald),Altglashütten,residential,10,47
Feldberg (Schwarzwald),Altglashütten,residential,15,93
Feldberg (Schwarzwald),Altglashütten,residential,20,31
Feldberg (Schwarzwald),Altglashütten,residential,25,7
Feldberg (Schwarzwald),Altglashütten,residential,30,10
Feldberg (Schwarzwald),Altglashütten,residential,40,17
Feldberg (Schwarzwald),Altglashütten,residential,120,42
Feldberg (Schwarzwald),Altglashütten,unbekannt,0,0
Feldberg (Schwarzwald),Altglashütten,unbekannt,5,0
Feldberg (Schwarzwald),Altglashütten,unbekannt,10,0
Feldberg (Schwarzwald),Altglashütten,unbekannt,15,0
Feldberg (Schwarzwald),Altglashütten,unbekannt,20,2
Feldberg (Schwarzwald),Altglashütten,unbekannt,25,1
Feldberg (Schwarzwald),Altglashütten,unbekannt,30,0
Feldberg (Schwarzwald),Altglashütten,unbekannt,40,2
Feldberg (Schwarzwald),Altglashütten,unbekannt,120,1
Feldberg (Schwarzwald),Feldberg (Ort),farmyard,0,0
Feldberg (Schwarzwald),Feldberg (Ort),farmyard,5,0
Feldberg (Schwarzwald),Feldberg (Ort),farmyard,10,0
Feldberg (Schwarzwald),Feldberg (Ort),farmyard,15,0
Feldberg (Schwarzwald),Feldberg (Ort),farmyard,20,0
Feldberg (Schwarzwald),Feldberg (Ort),farmyard,25,0
Feldberg (Schwarzwald),Feldberg (Ort),farmyard,30,0
Feldberg (Schwarzwald),Feldberg (Ort),farmyard,40,0
Feldberg (Schwarzwald),Feldberg (Ort),farmyard,120,8
Feldberg (Schwarzwald),Feldberg (Ort),industrial,0,0
Feldberg (Schwarzwald),Feldberg (Ort),industrial,5,0
Feldberg (Schwarzwald),Feldberg (Ort),industrial,10,0
Feldberg (Schwarzwald),Feldberg (Ort),industrial,15,0
Feldberg (Schwarzwald),Feldberg (Ort),industrial,20,0
