GemName,OrtName,Landuse,WegeDauer,Anzahl
Friedenweiler,Rötenbach,commercial,0,0
Friedenweiler,Rötenbach,commercial,5,0
Friedenweiler,Rötenbach,commercial,10,0
Friedenweiler,Rötenbach,commercial,15,0
Friedenweiler,Rötenbach,commercial,20,0
Friedenweiler,Rötenbach,commercial,25,0
Friedenweiler,Rötenbach,commercial,30,0
Friedenweiler,Rötenbach,commercial,40,1
Friedenweiler,Rötenbach,commercial,120,0
Friedenweiler,Rötenbach,farmyard,0,0
Friedenweiler,Rötenbach,farmyard,5,0
Friedenweiler,Rötenbach,farmyard,10,0
Friedenweiler,Rötenbach,farmyard,15,0
Friedenweiler,Rötenbach,farmyard,20,0
Friedenweiler,Rötenbach,farmyard,25,5
Friedenweiler,Rötenbach,farmyard,30,0
Friedenweiler,Rötenbach,farmyard,40,0
Friedenweiler,Rötenbach,farmyard,120,0
Friedenweiler,Rötenbach,industrial,0,0
Friedenweiler,Rötenbach,industrial,5,0
Friedenweiler,Rötenbach,industrial,10,0
Friedenweiler,Rötenbach,industrial,15,0
Friedenweiler,Rötenbach,industrial,20,1
Friedenweiler,Rötenbach,industrial,25,0
Friedenweiler,Rötenbach,industrial,30,1
Friedenweiler,Rötenbach,industrial,40,0
Friedenweiler,Rötenbach,industrial,120,0
Friedenweiler,Rötenbach,residential,0,0
Friedenweiler,Rötenbach,residential,5,35
Friedenweiler,Rötenbach,residential,10,142
Friedenweiler,Rötenbach,residential,15,203
Friedenweiler,Rötenbach,residential,20,22
Friedenweiler,Rötenbach,residential,25,1
Friedenweiler,Rötenbach,residential,30,0
Friedenweiler,Rötenbach,residential,40,0
Friedenweiler,Rötenbach,residential,120,0
Friedenweiler,Rötenbach,unbekannt,0,0
Friedenweiler,Rötenbach,unbekannt,5,0
Friedenweiler,Rötenbach,unbekannt,10,2
Friedenweiler,Rötenbach,unbekannt,15,4
Friedenweiler,Rötenbach,unbekannt,20,0
Friedenweiler,Rötenbach,unbekannt,25,0
Friedenweiler,Rötenbach,unbekannt,30,0
Friedenweiler,Rötenbach,unbekannt,40,0
Friedenweiler,Rötenbach,unbekannt,120,0
Friedenweiler,Friedenweiler (Kernort),commercial,0,0
Friedenweiler,Friedenweiler (Kernort),commercial,5,0
Friedenweiler,Friedenweiler (Kernort),commercial,10,0
Friedenweiler,Friedenweiler (Kernort),commercial,15,0
Friedenweiler,Friedenweiler (Kernort),commercial,20,0
Friedenweiler,Friedenweiler (Kernort),commercial,25,0
Friedenweiler,Friedenweiler (Kernort),commercial,30,0
Friedenweiler,Friedenweiler (Kernort),commercial,40,0
Friedenweiler,Friedenweiler (Kernort),commercial,120,0
Friedenweiler,Friedenweiler (Kernort),farmyard,0,0
Friedenweiler,Friedenweiler (Kernort),farmyard,5,0
Friedenweiler,Friedenweiler (Kernort),farmyard,10,0
Friedenweiler,Friedenweiler (Kernort),farmyard,15,0
Friedenweiler,Friedenweiler (Kernort),farmyard,20,0
Friedenweiler,Friedenweiler (Kernort),farmyard,25,0
Friedenweiler,Friedenweiler (Kernort),farmyard,30,0
Friedenweiler,Friedenweiler (Kernort),farmyard,40,0
Friedenweiler,Friedenweiler (Kernort),farmyard,120,3
Friedenweiler,Friedenweiler (Kernort),industrial,0,0
Friedenweiler,Friedenweiler (Kernort),industrial,5,0
Friedenweiler,Friedenweiler (Kernort),industrial,10,0
Friedenweiler,Friedenweiler (Kernort),industrial,15,0
Friedenweiler,Friedenweiler (Kernort),industrial,20,0
Friedenweiler,Friedenweiler (Kernort),industrial,25,0
Friedenweiler,Friedenweiler (Kernort),industrial,30,0
Friedenweiler,Friedenweiler (Kernort),industrial,40,0
Friedenweiler,Friedenweiler (Kernort),industrial,120,0
Friedenweiler,Friedenweiler (Kernort),residential,0,0
Friedenweiler,Friedenweiler (Kernort),residential,5,0
Friedenweiler,Friedenweiler (Kernort),residential,10,0
Friedenweiler,Friedenweiler (Kernort),residential,15,0
Friedenweiler,Friedenweiler (Kernort),residential,20,0
Friedenweiler,Friedenweiler (Kernort),residential,25,0
Friedenweiler,Friedenweiler (Kernort),residential,30,0
Friedenweiler,Friedenweiler (Kernort),residential,40,0
Friedenweiler,Friedenweiler (Kernort),residential,120,176
Friedenweiler,Friedenweiler (Kernort),unbekannt,0,0
Friedenweiler,Friedenweiler (Kernort),unbekannt,5,0
Friedenweiler,Friedenweiler (Kernort),unbekannt,10,0
Friedenweiler,Friedenweiler (Kernort),unbekannt,15,0
Friedenweiler,Friedenweiler (Kernort),unbekannt,20,0
Friedenweiler,Friedenweiler (Kernort),unbekannt,25,0
Friedenweiler,Friedenweiler (Kernort),unbekannt,30,0
Friedenweiler,Friedenweiler (Kernort),unbekannt,40,0
