GemName,OrtName,Landuse,WegeDauer,Anzahl
Gottenheim,Gottenheim,commercial,0,0
Gottenheim,Gottenheim,commercial,5,0
Gottenheim,Gottenheim,commercial,10,3
Gottenheim,Gottenheim,commercial,15,0
Gottenheim,Gottenheim,commercial,20,0
Gottenheim,Gottenheim,commercial,25,0
Gottenheim,Gottenheim,commercial,30,0
Gottenheim,Gottenheim,commercial,40,0
Gottenheim,Gottenheim,commercial,120,0
Gottenheim,Gottenheim,farmyard,0,0
Gottenheim,Gottenheim,farmyard,5,0
Gottenheim,Gottenheim,farmyard,10,0
Gottenheim,Gottenheim,farmyard,15,0
Gottenheim,Gottenheim,farmyard,20,0
Gottenheim,Gottenheim,farmyard,25,0
Gottenheim,Gottenheim,farmyard,30,0
Gottenheim,Gottenheim,farmyard,40,4
Gottenheim,Gottenheim,farmyard,120,4
Gottenheim,Gottenheim,industrial,0,0
Gottenheim,Gottenheim,industrial,5,0
Gottenheim,Gottenheim,industrial,10,0
Gottenheim,Gottenheim,industrial,15,0
Gottenheim,Gottenheim,industrial,20,9
Gottenheim,Gottenheim,industrial,25,33
Gottenheim,Gottenheim,industrial,30,3
Gottenheim,Gottenheim,industrial,40,0
Gottenheim,Gottenheim,industrial,120,0
Gottenheim,Gottenheim,residential,0,0
Gottenheim,Gottenheim,residential,5,1
Gottenheim,Gottenheim,residential,10,64
Gottenheim,Gottenheim,residential,15,90
Gottenheim,Gottenheim,residential,20,53
Gottenheim,Gottenheim,residential,25,80
Gottenheim,Gottenheim,residential,30,55
Gottenheim,Gottenheim,residential,40,0
Gottenheim,Gottenheim,residential,120,0
Gottenheim,Gottenheim,unbekannt,0,0
Gottenheim,Gottenheim,unbekannt,5,66
Gottenheim,Gottenheim,unbekannt,10,171
Gottenheim,Gottenheim,unbekannt,15,105
Gottenheim,Gottenheim,unbekannt,20,32
Gottenheim,Gottenheim,unbekannt,25,38
Gottenheim,Gottenheim,unbekannt,30,1
Gottenheim,Gottenheim,unbekannt,40,1
Gottenheim,Gottenheim,unbekannt,120,1
