GemName,OrtName,Landuse,WegeDauer,Anzahl
Heuweiler,Heuweiler,farmyard,0,0
Heuweiler,Heuweiler,farmyard,5,0
Heuweiler,Heuweiler,farmyard,10,1
Heuweiler,Heuweiler,farmyard,15,0
Heuweiler,Heuweiler,farmyard,20,0
Heuweiler,Heuweiler,farmyard,25,3
Heuweiler,Heuweiler,farmyard,30,3
Heuweiler,Heuweiler,farmyard,40,2
Heuweiler,Heuweiler,farmyard,120,1
Heuweiler,Heuweiler,residential,0,0
Heuweiler,Heuweiler,residential,5,40
Heuweiler,Heuweiler,residential,10,110
Heuweiler,Heuweiler,residential,15,73
Heuweiler,Heuweiler,residential,20,47
Heuweiler,Heuweiler,residential,25,19
Heuweiler,Heuweiler,residential,30,0
Heuweiler,Heuweiler,residential,40,2
Heuweiler,Heuweiler,residential,120,0
Heuweiler,Heuweiler,unbekannt,0,0
Heuweiler,Heuweiler,unbekannt,5,0
Heuweiler,Heuweiler,unbekannt,10,0
Heuweiler,Heuweiler,unbekannt,15,0
Heuweiler,Heuweiler,unbekannt,20,1
Heuweiler,Heuweiler,unbekannt,25,0
Heuweiler,Heuweiler,unbekannt,30,0
Heuweiler,Heuweiler,unbekannt,40,0
Heuweiler,Heuweiler,unbekannt,120,0
