GemName,OrtName,Landuse,WegeDauer,Anzahl
Hinterzarten,Hinterzarten,farmyard,0,0
Hinterzarten,Hinterzarten,farmyard,5,0
Hinterzarten,Hinterzarten,farmyard,10,0
Hinterzarten,Hinterzarten,farmyard,15,1
Hinterzarten,Hinterzarten,farmyard,20,1
Hinterzarten,Hinterzarten,farmyard,25,4
Hinterzarten,Hinterzarten,farmyard,30,0
Hinterzarten,Hinterzarten,farmyard,40,11
Hinterzarten,Hinterzarten,farmyard,120,36
Hinterzarten,Hinterzarten,industrial,0,0
Hinterzarten,Hinterzarten,industrial,5,0
Hinterzarten,Hinterzarten,industrial,10,0
Hinterzarten,Hinterzarten,industrial,15,8
Hinterzarten,Hinterzarten,industrial,20,0
Hinterzarten,Hinterzarten,industrial,25,0
Hinterzarten,Hinterzarten,industrial,30,0
Hinterzarten,Hinterzarten,industrial,40,2
Hinterzarten,Hinterzarten,industrial,120,1
Hinterzarten,Hinterzarten,residential,0,0
Hinterzarten,Hinterzarten,residential,5,51
Hinterzarten,Hinterzarten,residential,10,90
Hinterzarten,Hinterzarten,residential,15,142
Hinterzarten,Hinterzarten,residential,20,142
Hinterzarten,Hinterzarten,residential,25,61
Hinterzarten,Hinterzarten,residential,30,63
Hinterzarten,Hinterzarten,residential,40,25
Hinterzarten,Hinterzarten,residential,120,73
Hinterzarten,Hinterzarten,unbekannt,0,0
Hinterzarten,Hinterzarten,unbekannt,5,0
Hinterzarten,Hinterzarten,unbekannt,10,1
Hinterzarten,Hinterzarten,unbekannt,15,2
Hinterzarten,Hinterzarten,unbekannt,20,4
Hinterzarten,Hinterzarten,unbekannt,25,10
Hinterzarten,Hinterzarten,unbekannt,30,7
Hinterzarten,Hinterzarten,unbekannt,40,1
Hinterzarten,Hinterzarten,unbekannt,120,49
