GemName,OrtName,Landuse,WegeDauer,Anzahl
Horben,Horben,commercial,0,0
Horben,Horben,commercial,5,0
Horben,Horben,commercial,10,0
Horben,Horben,commercial,15,0
Horben,Horben,commercial,20,0
Horben,Horben,commercial,25,3
Horben,Horben,commercial,30,0
Horben,Horben,commercial,40,0
Horben,Horben,commercial,120,0
Horben,Horben,farmyard,0,0
Horben,Horben,farmyard,5,0
Horben,Horben,farmyard,10,2
Horben,Horben,farmyard,15,5
Horben,Horben,farmyard,20,0
Horben,Horben,farmyard,25,8
Horben,Horben,farmyard,30,2
Horben,Horben,farmyard,40,16
Horben,Horben,farmyard,120,31
Horben,Horben,industrial,0,0
Horben,Horben,industrial,5,0
Horben,Horben,industrial,10,0
Horben,Horben,industrial,15,0
Horben,Horben,industrial,20,1
Horben,Horben,industrial,25,0
Horben,Horben,industrial,30,0
Horben,Horben,industrial,40,0
Horben,Horben,industrial,120,0
Horben,Horben,residential,0,0
Horben,Horben,residential,5,65
Horben,Horben,residential,10,77
Horben,Horben,residential,15,13
Horben,Horben,residential,20,23
Horben,Horben,residential,25,51
Horben,Horben,residential,30,47
Horben,Horben,residential,40,5
Horben,Horben,residential,120,3
Horben,Horben,unbekannt,0,0
Horben,Horben,unbekannt,5,0
Horben,Horben,unbekannt,10,0
Horben,Horben,unbekannt,15,0
Horben,Horben,unbekannt,20,0
Horben,Horben,unbekannt,25,0
Horben,Horben,unbekannt,30,0
Horben,Horben,unbekannt,40,0
Horben,Horben,unbekannt,120,3
