GemName,OrtName,Landuse,WegeDauer,Anzahl
Ihringen,Wasenweiler,commercial,0,0
Ihringen,Wasenweiler,commercial,5,0
Ihringen,Wasenweiler,commercial,10,0
Ihringen,Wasenweiler,commercial,15,0
Ihringen,Wasenweiler,commercial,20,0
Ihringen,Wasenweiler,commercial,25,0
Ihringen,Wasenweiler,commercial,30,0
Ihringen,Wasenweiler,commercial,40,0
Ihringen,Wasenweiler,commercial,120,0
Ihringen,Wasenweiler,farmyard,0,0
Ihringen,Wasenweiler,farmyard,5,0
Ihringen,Wasenweiler,farmyard,10,0
Ihringen,Wasenweiler,farmyard,15,0
Ihringen,Wasenweiler,farmyard,20,2
Ihringen,Wasenweiler,farmyard,25,0
Ihringen,Wasenweiler,farmyard,30,0
Ihringen,Wasenweiler,farmyard,40,0
Ihringen,Wasenweiler,farmyard,120,0
Ihringen,Wasenweiler,industrial,0,0
Ihringen,Wasenweiler,industrial,5,0
Ihringen,Wasenweiler,industrial,10,0
Ihringen,Wasenweiler,industrial,15,2
Ihringen,Wasenweiler,industrial,20,12
Ihringen,Wasenweiler,industrial,25,8
Ihringen,Wasenweiler,industrial,30,0
Ihringen,Wasenweiler,industrial,40,0
Ihringen,Wasenweiler,industrial,120,0
Ihringen,Wasenweiler,residential,0,0
Ihringen,Wasenweiler,residential,5,80
Ihringen,Wasenweiler,residential,10,152
Ihringen,Wasenweiler,residential,15,63
Ihringen,Wasenweiler,residential,20,7
Ihringen,Wasenweiler,residential,25,1
Ihringen,Wasenweiler,residential,30,0
Ihringen,Wasenweiler,residential,40,0
Ihringen,Wasenweiler,residential,120,0
Ihringen,Wasenweiler,unbekannt,0,0
Ihringen,Wasenweiler,unbekannt,5,0
Ihringen,Wasenweiler,unbekannt,10,1
Ihringen,Wasenweiler,unbekannt,15,0
Ihringen,Wasenweiler,unbekannt,20,2
Ihringen,Wasenweiler,unbekannt,25,1
Ihringen,Wasenweiler,unbekannt,30,1
Ihringen,Wasenweiler,unbekannt,40,0
Ihringen,Wasenweiler,unbekannt,120,0
Ihringen,Ihringen (Kernort),commercial,0,0
Ihringen,Ihringen (Kernort),commercial,5,0
Ihringen,Ihringen (Kernort),commercial,10,0
Ihringen,Ihringen (Kernort),commercial,15,1
Ihringen,Ihringen (Kernort),commercial,20,3
Ihringen,Ihringen (Kernort),commercial,25,16
Ihringen,Ihringen (Kernort),commercial,30,21
Ihringen,Ihringen (Kernort),commercial,40,9
Ihringen,Ihringen (Kernort),commercial,120,0
Ihringen,Ihringen (Kernort),farmyard,0,0
Ihringen,Ihringen (Kernort),farmyard,5,0
Ihringen,Ihringen (Kernort),farmyard,10,0
Ihringen,Ihringen (Kernort),farmyard,15,0
Ihringen,Ihringen (Kernort),farmyard,20,0
Ihringen,Ihringen (Kernort),farmyard,25,6
Ihringen,Ihringen (Kernort),farmyard,30,4
Ihringen,Ihringen (Kernort),farmyard,40,10
Ihringen,Ihringen (Kernort),farmyard,120,10
Ihringen,Ihringen (Kernort),industrial,0,0
Ihringen,Ihringen (Kernort),industrial,5,0
Ihringen,Ihringen (Kernort),industrial,10,0
Ihringen,Ihringen (Kernort),industrial,15,0
Ihringen,Ihringen (Kernort),industrial,20,0
Ihringen,Ihringen (Kernort),industrial,25,0
Ihringen,Ihringen (Kernort),industrial,30,0
Ihringen,Ihringen (Kernort),industrial,40,0
Ihringen,Ihringen (Kernort),industrial,120,0
