GemName,OrtName,Landuse,WegeDauer,Anzahl
Kirchzarten,Zarten,commercial,0,0
Kirchzarten,Zarten,commercial,5,0
Kirchzarten,Zarten,commercial,10,0
Kirchzarten,Zarten,commercial,15,0
Kirchzarten,Zarten,commercial,20,0
Kirchzarten,Zarten,commercial,25,0
Kirchzarten,Zarten,commercial,30,0
Kirchzarten,Zarten,commercial,40,0
Kirchzarten,Zarten,commercial,120,0
Kirchzarten,Zarten,farmyard,0,0
Kirchzarten,Zarten,farmyard,5,0
Kirchzarten,Zarten,farmyard,10,0
Kirchzarten,Zarten,farmyard,15,0
Kirchzarten,Zarten,farmyard,20,0
Kirchzarten,Zarten,farmyard,25,0
Kirchzarten,Zarten,farmyard,30,0
Kirchzarten,Zarten,farmyard,40,0
Kirchzarten,Zarten,farmyard,120,1
Kirchzarten,Zarten,industrial,0,0
Kirchzarten,Zarten,industrial,5,0
Kirchzarten,Zarten,industrial,10,0
Kirchzarten,Zarten,industrial,15,0
Kirchzarten,Zarten,industrial,20,0
Kirchzarten,Zarten,industrial,25,0
Kirchzarten,Zarten,industrial,30,0
Kirchzarten,Zarten,industrial,40,0
Kirchzarten,Zarten,industrial,120,0
Kirchzarten,Zarten,residential,0,0
Kirchzarten,Zarten,residential,5,0
Kirchzarten,Zarten,residential,10,0
Kirchzarten,Zarten,residential,15,0
Kirchzarten,Zarten,residential,20,0
Kirchzarten,Zarten,residential,25,0
Kirchzarten,Zarten,residential,30,17
Kirchzarten,Zarten,residential,40,262
Kirchzarten,Zarten,residential,120,26
Kirchzarten,Zarten,unbekannt,0,0
Kirchzarten,Zarten,unbekannt,5,0
Kirchzarten,Zarten,unbekannt,10,0
Kirchzarten,Zarten,unbekannt,15,0
Kirchzarten,Zarten,unbekannt,20,0
Kirchzarten,Zarten,unbekannt,25,0
Kirchzarten,Zarten,unbekannt,30,0
Kirchzarten,Zarten,unbekannt,40,2
Kirchzarten,Zarten,unbekannt,120,2
Kirchzarten,Kirchzarten (Kernort),commercial,0,0
Kirchzarten,Kirchzarten (Kernort),commercial,5,0
Kirchzarten,Kirchzarten (Kernort),commercial,10,0
Kirchzarten,Kirchzarten (Kernort),commercial,15,0
Kirchzarten,Kirchzarten (Kernort),commercial,20,0
Kirchzarten,Kirchzarten (Kernort),commercial,25,0
Kirchzarten,Kirchzarten (Kernort),commercial,30,0
Kirchzarten,Kirchzarten (Kernort),commercial,40,0
Kirchzarten,Kirchzarten (Kernort),commercial,120,0
Kirchzarten,Kirchzarten (Kernort),farmyard,0,0
Kirchzarten,Kirchzarten (Kernort),farmyard,5,0
Kirchzarten,Kirchzarten (Kernort),farmyard,10,0
Kirchzarten,Kirchzarten (Kernort),farmyard,15,0
Kirchzarten,Kirchzarten (Kernort),farmyard,20,0
Kirchzarten,Kirchzarten (Kernort),farmyard,25,1
Kirchzarten,Kirchzarten (Kernort),farmyard,30,1
Kirchzarten,Kirchzarten (Kernort),farmyard,40,17
Kirchzarten,Kirchzarten (Kernort),farmyard,120,38
Kirchzarten,Kirchzarten (Kernort),industrial,0,0
Kirchzarten,Kirchzarten (Kernort),industrial,5,0
Kirchzarten,Kirchzarten (Kernort),industrial,10,2
