GemName,OrtName,Landuse,WegeDauer,Anzahl
Merdingen,Merdingen,commercial,0,0
Merdingen,Merdingen,commercial,5,0
Merdingen,Merdingen,commercial,10,0
Merdingen,Merdingen,commercial,15,1
Merdingen,Merdingen,commercial,20,0
Merdingen,Merdingen,commercial,25,0
Merdingen,Merdingen,commercial,30,0
Merdingen,Merdingen,commercial,40,6
Merdingen,Merdingen,commercial,120,0
Merdingen,Merdingen,farmyard,0,0
Merdingen,Merdingen,farmyard,5,0
Merdingen,Merdingen,farmyard,10,0
Merdingen,Merdingen,farmyard,15,0
Merdingen,Merdingen,farmyard,20,0
Merdingen,Merdingen,farmyard,25,0
Merdingen,Merdingen,farmyard,30,0
Merdingen,Merdingen,farmyard,40,1
Merdingen,Merdingen,farmyard,120,3
Merdingen,Merdingen,industrial,0,0
Merdingen,Merdingen,industrial,5,0
Merdingen,Merdingen,industrial,10,0
Merdingen,Merdingen,industrial,15,1
Merdingen,Merdingen,industrial,20,11
Merdingen,Merdingen,industrial,25,30
Merdingen,Merdingen,industrial,30,0
Merdingen,Merdingen,industrial,40,0
Merdingen,Merdingen,industrial,120,1
Merdingen,Merdingen,residential,0,0
Merdingen,Merdingen,residential,5,84
Merdingen,Merdingen,residential,10,365
Merdingen,Merdingen,residential,15,218
Merdingen,Merdingen,residential,20,11
Merdingen,Merdingen,residential,25,21
Merdingen,Merdingen,residential,30,0
Merdingen,Merdingen,residential,40,0
Merdingen,Merdingen,residential,120,0
Merdingen,Merdingen,unbekannt,0,0
Merdingen,Merdingen,unbekannt,5,0
Merdingen,Merdingen,unbekannt,10,0
Merdingen,Merdingen,unbekannt,15,0
Merdingen,Merdingen,unbekannt,20,1
Merdingen,Merdingen,unbekannt,25,1
Merdingen,Merdingen,unbekannt,30,0
Merdingen,Merdingen,unbekannt,40,1
Merdingen,Merdingen,unbekannt,120,0
