GemName,OrtName,Landuse,WegeDauer,Anzahl
Lenzkirch,Kappel,commercial,0,0
Lenzkirch,Kappel,commercial,5,0
Lenzkirch,Kappel,commercial,10,0
Lenzkirch,Kappel,commercial,15,2
Lenzkirch,Kappel,commercial,20,0
Lenzkirch,Kappel,commercial,25,0
Lenzkirch,Kappel,commercial,30,0
Lenzkirch,Kappel,commercial,40,0
Lenzkirch,Kappel,commercial,120,0
Lenzkirch,Kappel,farmyard,0,0
Lenzkirch,Kappel,farmyard,5,0
Lenzkirch,Kappel,farmyard,10,0
Lenzkirch,Kappel,farmyard,15,1
Lenzkirch,Kappel,farmyard,20,0
Lenzkirch,Kappel,farmyard,25,0
Lenzkirch,Kappel,farmyard,30,2
Lenzkirch,Kappel,farmyard,40,0
Lenzkirch,Kappel,farmyard,120,0
Lenzkirch,Kappel,industrial,0,0
Lenzkirch,Kappel,industrial,5,0
Lenzkirch,Kappel,industrial,10,1
Lenzkirch,Kappel,industrial,15,0
Lenzkirch,Kappel,industrial,20,1
Lenzkirch,Kappel,industrial,25,0
Lenzkirch,Kappel,industrial,30,0
Lenzkirch,Kappel,industrial,40,0
Lenzkirch,Kappel,industrial,120,0
Lenzkirch,Kappel,residential,0,0
Lenzkirch,Kappel,residential,5,40
Lenzkirch,Kappel,residential,10,67
Lenzkirch,Kappel,residential,15,49
Lenzkirch,Kappel,residential,20,68
Lenzkirch,Kappel,residential,25,12
Lenzkirch,Kappel,residential,30,1
Lenzkirch,Kappel,residential,40,1
Lenzkirch,Kappel,residential,120,1
Lenzkirch,Kappel,unbekannt,0,0
Lenzkirch,Kappel,unbekannt,5,0
Lenzkirch,Kappel,unbekannt,10,2
Lenzkirch,Kappel,unbekannt,15,1
Lenzkirch,Kappel,unbekannt,20,3
Lenzkirch,Kappel,unbekannt,25,3
Lenzkirch,Kappel,unbekannt,30,1
Lenzkirch,Kappel,unbekannt,40,1
Lenzkirch,Kappel,unbekannt,120,1
Lenzkirch,Saig,commercial,0,0
Lenzkirch,Saig,commercial,5,0
Lenzkirch,Saig,commercial,10,0
Lenzkirch,Saig,commercial,15,0
Lenzkirch,Saig,commercial,20,0
Lenzkirch,Saig,commercial,25,0
Lenzkirch,Saig,commercial,30,0
Lenzkirch,Saig,commercial,40,0
Lenzkirch,Saig,commercial,120,0
Lenzkirch,Saig,farmyard,0,0
Lenzkirch,Saig,farmyard,5,0
Lenzkirch,Saig,farmyard,10,0
Lenzkirch,Saig,farmyard,15,0
Lenzkirch,Saig,farmyard,20,0
Lenzkirch,Saig,farmyard,25,0
Lenzkirch,Saig,farmyard,30,0
Lenzkirch,Saig,farmyard,40,0
Lenzkirch,Saig,farmyard,120,16
Lenzkirch,Saig,industrial,0,0
Lenzkirch,Saig,industrial,5,0
Lenzkirch,Saig,industrial,10,0
Lenzkirch,Saig,industrial,15,0
Lenzkirch,Saig,industrial,20,1
Lenzkirch,Saig,industrial,25,1
Lenzkirch,Saig,industrial,30,0
Lenzkirch,Saig,industrial,40,0
Lenzkirch,Saig,industrial,120,2
Lenzkirch,Saig,residential,0,0
Lenzkirch,Saig,residential,5,0
Lenzkirch,Saig,residential,10,0
Lenzkirch,Saig,residential,15,1
Lenzkirch,Saig,residential,20,6
Lenzkirch,Saig,residential,25,7
Lenzkirch,Saig,residential,30,3
Lenzkirch,Saig,residential,40,15
Lenzkirch,Saig,residential,120,215
Lenzkirch,Saig,unbekannt,0,0
Lenzkirch,Saig,unbekannt,5,0
Lenzkirch,Saig,unbekannt,10,0
Lenzkirch,Saig,unbekannt,15,0
Lenzkirch,Saig,unbekannt,20,2
Lenzkirch,Saig,unbekannt,25,0
Lenzkirch,Saig,unbekannt,30,1
Lenzkirch,Saig,unbekannt,40,1
Lenzkirch,Saig,unbekannt,120,13
Lenzkirch,Raitenbuch,commercial,0,0
Lenzkirch,Raitenbuch,commercial,5,0
Lenzkirch,Raitenbuch,commercial,10,0
Lenzkirch,Raitenbuch,commercial,15,0
Lenzkirch,Raitenbuch,commercial,20,0
Lenzkirch,Raitenbuch,commercial,25,0
Lenzkirch,Raitenbuch,commercial,30,0
Lenzkirch,Raitenbuch,commercial,40,0
Lenzkirch,Raitenbuch,commercial,120,0
Lenzkirch,Raitenbuch,farmyard,0,0
Lenzkirch,Raitenbuch,farmyard,5,0
Lenzkirch,Raitenbuch,farmyard,10,0
Lenzkirch,Raitenbuch,farmyard,15,0
Lenzkirch,Raitenbuch,farmyard,20,0
Lenzkirch,Raitenbuch,farmyard,25,0
Lenzkirch,Raitenbuch,farmyard,30,0
Lenzkirch,Raitenbuch,farmyard,40,0
Lenzkirch,Raitenbuch,farmyard,120,14
Lenzkirch,Raitenbuch,industrial,0,0
Lenzkirch,Raitenbuch,industrial,5,0
Lenzkirch,Raitenbuch,industrial,10,0
Lenzkirch,Raitenbuch,industrial,15,0
Lenzkirch,Raitenbuch,industrial,20,0
Lenzkirch,Raitenbuch,industrial,25,0
Lenzkirch,Raitenbuch,industrial,30,1
Lenzkirch,Raitenbuch,industrial,40,0
Lenzkirch,Raitenbuch,industrial,120,0
Lenzkirch,Raitenbuch,residential,0,0
Lenzkirch,Raitenbuch,residential,5,0
Lenzkirch,Raitenbuch,residential,10,0
Lenzkirch,Raitenbuch,residential,15,0
Lenzkirch,Raitenbuch,residential,20,0
Lenzkirch,Raitenbuch,residential,25,0
Lenzkirch,Raitenbuch,residential,30,0
Lenzkirch,Raitenbuch,residential,40,1
Lenzkirch,Raitenbuch,residential,120,56
Lenzkirch,Raitenbuch,unbekannt,0,0
Lenzkirch,Raitenbuch,unbekannt,5,0
Lenzkirch,Raitenbuch,unbekannt,10,0
Lenzkirch,Raitenbuch,unbekannt,15,0
Lenzkirch,Raitenbuch,unbekannt,20,0
Lenzkirch,Raitenbuch,unbekannt,25,0
Lenzkirch,Raitenbuch,unbekannt,30,0
Lenzkirch,Raitenbuch,unbekannt,40,0
Lenzkirch,Raitenbuch,unbekannt,120,3
Lenzkirch,Lenzkirch (Kernort),commercial,0,0
Lenzkirch,Lenzkirch (Kernort),commercial,5,0
Lenzkirch,Lenzkirch (Kernort),commercial,10,0
Lenzkirch,Lenzkirch (Kernort),commercial,15,0
Lenzkirch,Lenzkirch (Kernort),commercial,20,0
Lenzkirch,Lenzkirch (Kernort),commercial,25,0
Lenzkirch,Lenzkirch (Kernort),commercial,30,0
Lenzkirch,Lenzkirch (Kernort),commercial,40,0
Lenzkirch,Lenzkirch (Kernort),commercial,120,1
Lenzkirch,Lenzkirch (Kernort),farmyard,0,0
Lenzkirch,Lenzkirch (Kernort),farmyard,5,0
Lenzkirch,Lenzkirch (Kernort),farmyard,10,0
Lenzkirch,Lenzkirch (Kernort),farmyard,15,0
Lenzkirch,Lenzkirch (Kernort),farmyard,20,2
Lenzkirch,Lenzkirch (Kernort),farmyard,25,1
Lenzkirch,Lenzkirch (Kernort),farmyard,30,1
Lenzkirch,Lenzkirch (Kernort),farmyard,40,0
Lenzkirch,Lenzkirch (Kernort),farmyard,120,3
Lenzkirch,Lenzkirch (Kernort),industrial,0,0
Lenzkirch,Lenzkirch (Kernort),industrial,5,0
Lenzkirch,Lenzkirch (Kernort),industrial,10,2
Lenzkirch,Lenzkirch (Kernort),industrial,15,14
Lenzkirch,Lenzkirch (Kernort),industrial,20,7
Lenzkirch,Lenzkirch (Kernort),industrial,25,5
Lenzkirch,Lenzkirch (Kernort),industrial,30,2
Lenzkirch,Lenzkirch (Kernort),industrial,40,1
Lenzkirch,Lenzkirch (Kernort),industrial,120,1
Lenzkirch,Lenzkirch (Kernort),residential,0,0
Lenzkirch,Lenzkirch (Kernort),residential,5,47
Lenzkirch,Lenzkirch (Kernort),residential,10,145
Lenzkirch,Lenzkirch (Kernort),residential,15,177
Lenzkirch,Lenzkirch (Kernort),residential,20,102
Lenzkirch,Lenzkirch (Kernort),residential,25,54
Lenzkirch,Lenzkirch (Kernort),residential,30,58
Lenzkirch,Lenzkirch (Kernort),residential,40,65
Lenzkirch,Lenzkirch (Kernort),residential,120,123
Lenzkirch,Lenzkirch (Kernort),unbekannt,0,0
Lenzkirch,Lenzkirch (Kernort),unbekannt,5,0
Lenzkirch,Lenzkirch (Kernort),unbekannt,10,1
Lenzkirch,Lenzkirch (Kernort),unbekannt,15,4
Lenzkirch,Lenzkirch (Kernort),unbekannt,20,0
Lenzkirch,Lenzkirch (Kernort),unbekannt,25,2
Lenzkirch,Lenzkirch (Kernort),unbekannt,30,5
Lenzkirch,Lenzkirch (Kernort),unbekannt,40,3
Lenzkirch,Lenzkirch (Kernort),unbekannt,120,57
Lenzkirch,Lenzkirch,commercial,0,0
Lenzkirch,Lenzkirch,commercial,5,0
Lenzkirch,Lenzkirch,commercial,10,0
Lenzkirch,Lenzkirch,commercial,15,0
Lenzkirch,Lenzkirch,commercial,20,0
Lenzkirch,Lenzkirch,commercial,25,0
Lenzkirch,Lenzkirch,commercial,30,0
Lenzkirch,Lenzkirch,commercial,40,0
Lenzkirch,Lenzkirch,commercial,120,0
Lenzkirch,Lenzkirch,farmyard,0,0
Lenzkirch,Lenzkirch,farmyard,5,0
Lenzkirch,Lenzkirch,farmyard,10,0
Lenzkirch,Lenzkirch,farmyard,15,0
Lenzkirch,Lenzkirch,farmyard,20,0
Lenzkirch,Lenzkirch,farmyard,25,0
Lenzkirch,Lenzkirch,farmyard,30,0
Lenzkirch,Lenzkirch,farmyard,40,0
Lenzkirch,Lenzkirch,farmyard,120,0
Lenzkirch,Lenzkirch,industrial,0,0
Lenzkirch,Lenzkirch,industrial,5,0
Lenzkirch,Lenzkirch,industrial,10,0
Lenzkirch,Lenzkirch,industrial,15,0
Lenzkirch,Lenzkirch,industrial,20,0
Lenzkirch,Lenzkirch,industrial,25,0
Lenzkirch,Lenzkirch,industrial,30,0
Lenzkirch,Lenzkirch,industrial,40,0
Lenzkirch,Lenzkirch,industrial,120,0
Lenzkirch,Lenzkirch,residential,0,0
Lenzkirch,Lenzkirch,residential,5,0
Lenzkirch,Lenzkirch,residential,10,0
Lenzkirch,Lenzkirch,residential,15,0
Lenzkirch,Lenzkirch,residential,20,0
Lenzkirch,Lenzkirch,residential,25,0
Lenzkirch,Lenzkirch,residential,30,0
Lenzkirch,Lenzkirch,residential,40,0
Lenzkirch,Lenzkirch,residential,120,0
Lenzkirch,Lenzkirch,unbekannt,0,0
Lenzkirch,Lenzkirch,unbekannt,5,0
Lenzkirch,Lenzkirch,unbekannt,10,0
Lenzkirch,Lenzkirch,unbekannt,15,0
Lenzkirch,Lenzkirch,unbekannt,20,0
Lenzkirch,Lenzkirch,unbekannt,25,0
Lenzkirch,Lenzkirch,unbekannt,30,0
Lenzkirch,Lenzkirch,unbekannt,40,0
Lenzkirch,Lenzkirch,unbekannt,120,0
