GemName,OrtName,Landuse,WegeDauer,Anzahl
Löffingen,Dittishausen,commercial,0,0
Löffingen,Dittishausen,commercial,5,0
Löffingen,Dittishausen,commercial,10,0
Löffingen,Dittishausen,commercial,15,0
Löffingen,Dittishausen,commercial,20,0
Löffingen,Dittishausen,commercial,25,0
Löffingen,Dittishausen,commercial,30,0
Löffingen,Dittishausen,commercial,40,0
Löffingen,Dittishausen,commercial,120,0
Löffingen,Dittishausen,farmyard,0,0
Löffingen,Dittishausen,farmyard,5,0
Löffingen,Dittishausen,farmyard,10,0
Löffingen,Dittishausen,farmyard,15,0
Löffingen,Dittishausen,farmyard,20,0
Löffingen,Dittishausen,farmyard,25,0
Löffingen,Dittishausen,farmyard,30,0
Löffingen,Dittishausen,farmyard,40,0
Löffingen,Dittishausen,farmyard,120,6
Löffingen,Dittishausen,industrial,0,0
Löffingen,Dittishausen,industrial,5,0
Löffingen,Dittishausen,industrial,10,0
Löffingen,Dittishausen,industrial,15,0
Löffingen,Dittishausen,industrial,20,0
Löffingen,Dittishausen,industrial,25,0
Löffingen,Dittishausen,industrial,30,0
Löffingen,Dittishausen,industrial,40,1
Löffingen,Dittishausen,industrial,120,0
Löffingen,Dittishausen,residential,0,0
Löffingen,Dittishausen,residential,5,0
Löffingen,Dittishausen,residential,10,0
Löffingen,Dittishausen,residential,15,0
Löffingen,Dittishausen,residential,20,0
Löffingen,Dittishausen,residential,25,0
Löffingen,Dittishausen,residential,30,0
Löffingen,Dittishausen,residential,40,0
Löffingen,Dittishausen,residential,120,329
Löffingen,Dittishausen,unbekannt,0,0
Löffingen,Dittishausen,unbekannt,5,0
Löffingen,Dittishausen,unbekannt,10,0
Löffingen,Dittishausen,unbekannt,15,0
Löffingen,Dittishausen,unbekannt,20,0
Löffingen,Dittishausen,unbekannt,25,0
Löffingen,Dittishausen,unbekannt,30,0
Löffingen,Dittishausen,unbekannt,40,0
Löffingen,Dittishausen,unbekannt,120,2
Löffingen,Löffingen (Kernstadt),commercial,0,0
Löffingen,Löffingen (Kernstadt),commercial,5,0
Löffingen,Löffingen (Kernstadt),commercial,10,0
Löffingen,Löffingen (Kernstadt),commercial,15,0
Löffingen,Löffingen (Kernstadt),commercial,20,0
Löffingen,Löffingen (Kernstadt),commercial,25,0
Löffingen,Löffingen (Kernstadt),commercial,30,1
Löffingen,Löffingen (Kernstadt),commercial,40,0
