GemName,OrtName,Landuse,WegeDauer,Anzahl
March,Buchheim,commercial,0,0
March,Buchheim,commercial,5,0
March,Buchheim,commercial,10,1
March,Buchheim,commercial,15,2
March,Buchheim,commercial,20,0
March,Buchheim,commercial,25,0
March,Buchheim,commercial,30,0
March,Buchheim,commercial,40,0
March,Buchheim,commercial,120,0
March,Buchheim,farmyard,0,0
March,Buchheim,farmyard,5,0
March,Buchheim,farmyard,10,0
March,Buchheim,farmyard,15,0
March,Buchheim,farmyard,20,0
March,Buchheim,farmyard,25,1
March,Buchheim,farmyard,30,0
March,Buchheim,farmyard,40,1
March,Buchheim,farmyard,120,0
March,Buchheim,industrial,0,0
March,Buchheim,industrial,5,0
March,Buchheim,industrial,10,0
March,Buchheim,industrial,15,0
March,Buchheim,industrial,20,0
March,Buchheim,industrial,25,0
March,Buchheim,industrial,30,0
March,Buchheim,industrial,40,0
March,Buchheim,industrial,120,0
March,Buchheim,residential,0,0
March,Buchheim,residential,5,0
March,Buchheim,residential,10,8
March,Buchheim,residential,15,130
March,Buchheim,residential,20,224
March,Buchheim,residential,25,195
March,Buchheim,residential,30,50
March,Buchheim,residential,40,0
March,Buchheim,residential,120,0
March,Buchheim,unbekannt,0,0
March,Buchheim,unbekannt,5,0
March,Buchheim,unbekannt,10,2
March,Buchheim,unbekannt,15,5
March,Buchheim,unbekannt,20,3
March,Buchheim,unbekannt,25,0
March,Buchheim,unbekannt,30,1
March,Buchheim,unbekannt,40,3
March,Buchheim,unbekannt,120,0
March,Holzhausen,commercial,0,0
March,Holzhausen,commercial,5,0
March,Holzhausen,commercial,10,0
March,Holzhausen,commercial,15,0
March,Holzhausen,commercial,20,0
March,Holzhausen,commercial,25,0
March,Holzhausen,commercial,30,0
March,Holzhausen,commercial,40,0
March,Holzhausen,commercial,120,0
March,Holzhausen,farmyard,0,0
March,Holzhausen,farmyard,5,0
March,Holzhausen,farmyard,10,0
March,Holzhausen,farmyard,15,2
March,Holzhausen,farmyard,20,1
March,Holzhausen,farmyard,25,1
March,Holzhausen,farmyard,30,3
March,Holzhausen,farmyard,40,0
March,Holzhausen,farmyard,120,0
March,Holzhausen,industrial,0,0
March,Holzhausen,industrial,5,0
March,Holzhausen,industrial,10,0
March,Holzhausen,industrial,15,0
March,Holzhausen,industrial,20,6
March,Holzhausen,industrial,25,1
March,Holzhausen,industrial,30,0
March,Holzhausen,industrial,40,0
March,Holzhausen,industrial,120,0
March,Holzhausen,residential,0,0
March,Holzhausen,residential,5,47
March,Holzhausen,residential,10,113
March,Holzhausen,residential,15,163
March,Holzhausen,residential,20,138
March,Holzhausen,residential,25,5
March,Holzhausen,residential,30,0
March,Holzhausen,residential,40,0
March,Holzhausen,residential,120,0
March,Holzhausen,unbekannt,0,0
March,Holzhausen,unbekannt,5,0
March,Holzhausen,unbekannt,10,0
March,Holzhausen,unbekannt,15,0
March,Holzhausen,unbekannt,20,1
March,Holzhausen,unbekannt,25,2
March,Holzhausen,unbekannt,30,0
March,Holzhausen,unbekannt,40,0
March,Holzhausen,unbekannt,120,0
March,Hugstetten,commercial,0,0
March,Hugstetten,commercial,5,0
March,Hugstetten,commercial,10,0
March,Hugstetten,commercial,15,0
March,Hugstetten,commercial,20,0
March,Hugstetten,commercial,25,0
March,Hugstetten,commercial,30,0
March,Hugstetten,commercial,40,0
March,Hugstetten,commercial,120,0
March,Hugstetten,farmyard,0,0
March,Hugstetten,farmyard,5,0
March,Hugstetten,farmyard,10,0
March,Hugstetten,farmyard,15,0
March,Hugstetten,farmyard,20,0
March,Hugstetten,farmyard,25,0
March,Hugstetten,farmyard,30,0
March,Hugstetten,farmyard,40,1
March,Hugstetten,farmyard,120,0
March,Hugstetten,industrial,0,0
March,Hugstetten,industrial,5,0
March,Hugstetten,industrial,10,0
March,Hugstetten,industrial,15,0
March,Hugstetten,industrial,20,0
March,Hugstetten,industrial,25,0
March,Hugstetten,industrial,30,0
March,Hugstetten,industrial,40,0
March,Hugstetten,industrial,120,0
March,Hugstetten,residential,0,0
March,Hugstetten,residential,5,31
March,Hugstetten,residential,10,240
March,Hugstetten,residential,15,220
March,Hugstetten,residential,20,55
March,Hugstetten,residential,25,77
March,Hugstetten,residential,30,44
March,Hugstetten,residential,40,59
March,Hugstetten,residential,120,0
March,Hugstetten,unbekannt,0,0
March,Hugstetten,unbekannt,5,0
March,Hugstetten,unbekannt,10,0
March,Hugstetten,unbekannt,15,2
March,Hugstetten,unbekannt,20,1
March,Hugstetten,unbekannt,25,5
March,Hugstetten,unbekannt,30,3
March,Hugstetten,unbekannt,40,1
March,Hugstetten,unbekannt,120,0
March,Neuershausen,commercial,0,0
March,Neuershausen,commercial,5,0
March,Neuershausen,commercial,10,0
