Name,Landuse,WegeDauer,Anzahl
Merdingen,commercial,0,0
Merdingen,commercial,5,0
Merdingen,commercial,10,0
Merdingen,commercial,15,1
Merdingen,commercial,20,0
Merdingen,commercial,25,0
Merdingen,commercial,30,0
Merdingen,commercial,40,6
Merdingen,commercial,120,0
Merdingen,farmyard,0,0
Merdingen,farmyard,5,0
Merdingen,farmyard,10,0
Merdingen,farmyard,15,0
Merdingen,farmyard,20,0
Merdingen,farmyard,25,0
Merdingen,farmyard,30,0
Merdingen,farmyard,40,1
Merdingen,farmyard,120,3
Merdingen,industrial,0,0
Merdingen,industrial,5,0
Merdingen,industrial,10,0
Merdingen,industrial,15,1
Merdingen,industrial,20,11
Merdingen,industrial,25,30
Merdingen,industrial,30,0
Merdingen,industrial,40,0
Merdingen,industrial,120,1
Merdingen,residential,0,0
Merdingen,residential,5,84
Merdingen,residential,10,365
Merdingen,residential,15,218
Merdingen,residential,20,11
Merdingen,residential,25,21
Merdingen,residential,30,0
Merdingen,residential,40,0
Merdingen,residential,120,0
Merdingen,unbekannt,0,0
Merdingen,unbekannt,5,0
Merdingen,unbekannt,10,0
Merdingen,unbekannt,15,0
Merdingen,unbekannt,20,1
Merdingen,unbekannt,25,1
Merdingen,unbekannt,30,0
Merdingen,unbekannt,40,1
Merdingen,unbekannt,120,0
