GemName,OrtName,Landuse,WegeDauer,Anzahl
Merzhausen,Merzhausen,commercial,0,0
Merzhausen,Merzhausen,commercial,5,0
Merzhausen,Merzhausen,commercial,10,0
Merzhausen,Merzhausen,commercial,15,0
Merzhausen,Merzhausen,commercial,20,1
Merzhausen,Merzhausen,commercial,25,0
Merzhausen,Merzhausen,commercial,30,0
Merzhausen,Merzhausen,commercial,40,0
Merzhausen,Merzhausen,commercial,120,0
Merzhausen,Merzhausen,farmyard,0,0
Merzhausen,Merzhausen,farmyard,5,0
Merzhausen,Merzhausen,farmyard,10,0
Merzhausen,Merzhausen,farmyard,15,0
Merzhausen,Merzhausen,farmyard,20,3
Merzhausen,Merzhausen,farmyard,25,0
Merzhausen,Merzhausen,farmyard,30,0
Merzhausen,Merzhausen,farmyard,40,0
Merzhausen,Merzhausen,farmyard,120,0
Merzhausen,Merzhausen,industrial,0,0
Merzhausen,Merzhausen,industrial,5,0
Merzhausen,Merzhausen,industrial,10,0
Merzhausen,Merzhausen,industrial,15,17
Merzhausen,Merzhausen,industrial,20,23
Merzhausen,Merzhausen,industrial,25,3
Merzhausen,Merzhausen,industrial,30,0
Merzhausen,Merzhausen,industrial,40,0
Merzhausen,Merzhausen,industrial,120,0
Merzhausen,Merzhausen,residential,0,0
Merzhausen,Merzhausen,residential,5,0
Merzhausen,Merzhausen,residential,10,64
Merzhausen,Merzhausen,residential,15,101
Merzhausen,Merzhausen,residential,20,137
Merzhausen,Merzhausen,residential,25,157
Merzhausen,Merzhausen,residential,30,0
Merzhausen,Merzhausen,residential,40,0
Merzhausen,Merzhausen,residential,120,0
Merzhausen,Merzhausen,unbekannt,0,0
Merzhausen,Merzhausen,unbekannt,5,47
Merzhausen,Merzhausen,unbekannt,10,245
Merzhausen,Merzhausen,unbekannt,15,292
Merzhausen,Merzhausen,unbekannt,20,81
Merzhausen,Merzhausen,unbekannt,25,4
Merzhausen,Merzhausen,unbekannt,30,0
Merzhausen,Merzhausen,unbekannt,40,0
Merzhausen,Merzhausen,unbekannt,120,0
