GemName,OrtName,Landuse,WegeDauer,Anzahl
Müllheim im Markgräflerland,Feldberg (Müllheim),commercial,0,0
Müllheim im Markgräflerland,Feldberg (Müllheim),commercial,5,0
Müllheim im Markgräflerland,Feldberg (Müllheim),commercial,10,0
Müllheim im Markgräflerland,Feldberg (Müllheim),commercial,15,0
Müllheim im Markgräflerland,Feldberg (Müllheim),commercial,20,0
Müllheim im Markgräflerland,Feldberg (Müllheim),commercial,25,0
Müllheim im Markgräflerland,Feldberg (Müllheim),commercial,30,0
Müllheim im Markgräflerland,Feldberg (Müllheim),commercial,40,0
Müllheim im Markgräflerland,Feldberg (Müllheim),commercial,120,0
Müllheim im Markgräflerland,Feldberg (Müllheim),farmyard,0,0
Müllheim im Markgräflerland,Feldberg (Müllheim),farmyard,5,0
Müllheim im Markgräflerland,Feldberg (Müllheim),farmyard,10,0
Müllheim im Markgräflerland,Feldberg (Müllheim),farmyard,15,0
Müllheim im Markgräflerland,Feldberg (Müllheim),farmyard,20,0
Müllheim im Markgräflerland,Feldberg (Müllheim),farmyard,25,0
Müllheim im Markgräflerland,Feldberg (Müllheim),farmyard,30,0
Müllheim im Markgräflerland,Feldberg (Müllheim),farmyard,40,0
Müllheim im Markgräflerland,Feldberg (Müllheim),farmyard,120,1
Müllheim im Markgräflerland,Feldberg (Müllheim),industrial,0,0
Müllheim im Markgräflerland,Feldberg (Müllheim),industrial,5,0
Müllheim im Markgräflerland,Feldberg (Müllheim),industrial,10,0
Müllheim im Markgräflerland,Feldberg (Müllheim),industrial,15,0
Müllheim im Markgräflerland,Feldberg (Müllheim),industrial,20,0
Müllheim im Markgräflerland,Feldberg (Müllheim),industrial,25,0
Müllheim im Markgräflerland,Feldberg (Müllheim),industrial,30,0
Müllheim im Markgräflerland,Feldberg (Müllheim),industrial,40,0
Müllheim im Markgräflerland,Feldberg (Müllheim),industrial,120,0
Müllheim im Markgräflerland,Feldberg (Müllheim),residential,0,0
Müllheim im Markgräflerland,Feldberg (Müllheim),residential,5,0
Müllheim im Markgräflerland,Feldberg (Müllheim),residential,10,0
Müllheim im Markgräflerland,Feldberg (Müllheim),residential,15,0
Müllheim im Markgräflerland,Feldberg (Müllheim),residential,20,0
Müllheim im Markgräflerland,Feldberg (Müllheim),residential,25,0
Müllheim im Markgräflerland,Feldberg (Müllheim),residential,30,0
Müllheim im Markgräflerland,Feldberg (Müllheim),residential,40,0
Müllheim im Markgräflerland,Feldberg (Müllheim),residential,120,243
