GemName,OrtName,Landuse,WegeDauer,Anzahl
Neuenburg am Rhein,Neuenburg am Rhein,commercial,0,0
Neuenburg am Rhein,Neuenburg am Rhein,commercial,5,0
Neuenburg am Rhein,Neuenburg am Rhein,commercial,10,0
Neuenburg am Rhein,Neuenburg am Rhein,commercial,15,0
Neuenburg am Rhein,Neuenburg am Rhein,commercial,20,0
Neuenburg am Rhein,Neuenburg am Rhein,commercial,25,0
Neuenburg am Rhein,Neuenburg am Rhein,commercial,30,3
Neuenburg am Rhein,Neuenburg am Rhein,commercial,40,0
Neuenburg am Rhein,Neuenburg am Rhein,commercial,120,0
Neuenburg am Rhein,Neuenburg am Rhein,farmyard,0,0
Neuenburg am Rhein,Neuenburg am Rhein,farmyard,5,0
Neuenburg am Rhein,Neuenburg am Rhein,farmyard,10,0
Neuenburg am Rhein,Neuenburg am Rhein,farmyard,15,1
Neuenburg am Rhein,Neuenburg am Rhein,farmyard,20,1
Neuenburg am Rhein,Neuenburg am Rhein,farmyard,25,2
Neuenburg am Rhein,Neuenburg am Rhein,farmyard,30,1
Neuenburg am Rhein,Neuenburg am Rhein,farmyard,40,10
Neuenburg am Rhein,Neuenburg am Rhein,farmyard,120,8
Neuenburg am Rhein,Neuenburg am Rhein,industrial,0,0
Neuenburg am Rhein,Neuenburg am Rhein,industrial,5,0
Neuenburg am Rhein,Neuenburg am Rhein,industrial,10,0
Neuenburg am Rhein,Neuenburg am Rhein,industrial,15,0
Neuenburg am Rhein,Neuenburg am Rhein,industrial,20,8
Neuenburg am Rhein,Neuenburg am Rhein,industrial,25,37
Neuenburg am Rhein,Neuenburg am Rhein,industrial,30,47
Neuenburg am Rhein,Neuenburg am Rhein,industrial,40,9
Neuenburg am Rhein,Neuenburg am Rhein,industrial,120,9
Neuenburg am Rhein,Neuenburg am Rhein,residential,0,0
Neuenburg am Rhein,Neuenburg am Rhein,residential,5,167
Neuenburg am Rhein,Neuenburg am Rhein,residential,10,491
Neuenburg am Rhein,Neuenburg am Rhein,residential,15,534
Neuenburg am Rhein,Neuenburg am Rhein,residential,20,407
Neuenburg am Rhein,Neuenburg am Rhein,residential,25,255
Neuenburg am Rhein,Neuenburg am Rhein,residential,30,244
Neuenburg am Rhein,Neuenburg am Rhein,residential,40,262
Neuenburg am Rhein,Neuenburg am Rhein,residential,120,10
Neuenburg am Rhein,Neuenburg am Rhein,unbekannt,0,0
Neuenburg am Rhein,Neuenburg am Rhein,unbekannt,5,0
Neuenburg am Rhein,Neuenburg am Rhein,unbekannt,10,6
Neuenburg am Rhein,Neuenburg am Rhein,unbekannt,15,8
Neuenburg am Rhein,Neuenburg am Rhein,unbekannt,20,3
Neuenburg am Rhein,Neuenburg am Rhein,unbekannt,25,3
Neuenburg am Rhein,Neuenburg am Rhein,unbekannt,30,4
