GemName,OrtName,Landuse,WegeDauer,Anzahl
Oberried,Gemarkung Oberried,commercial,0,0
Oberried,Gemarkung Oberried,commercial,5,0
Oberried,Gemarkung Oberried,commercial,10,0
Oberried,Gemarkung Oberried,commercial,15,0
Oberried,Gemarkung Oberried,commercial,20,8
Oberried,Gemarkung Oberried,commercial,25,6
Oberried,Gemarkung Oberried,commercial,30,0
Oberried,Gemarkung Oberried,commercial,40,0
Oberried,Gemarkung Oberried,commercial,120,0
Oberried,Gemarkung Oberried,farmyard,0,0
Oberried,Gemarkung Oberried,farmyard,5,0
Oberried,Gemarkung Oberried,farmyard,10,0
Oberried,Gemarkung Oberried,farmyard,15,0
Oberried,Gemarkung Oberried,farmyard,20,1
Oberried,Gemarkung Oberried,farmyard,25,6
Oberried,Gemarkung Oberried,farmyard,30,7
Oberried,Gemarkung Oberried,farmyard,40,10
Oberried,Gemarkung Oberried,farmyard,120,18
Oberried,Gemarkung Oberried,industrial,0,0
Oberried,Gemarkung Oberried,industrial,5,0
Oberried,Gemarkung Oberried,industrial,10,0
Oberried,Gemarkung Oberried,industrial,15,0
Oberried,Gemarkung Oberried,industrial,20,0
Oberried,Gemarkung Oberried,industrial,25,0
Oberried,Gemarkung Oberried,industrial,30,0
Oberried,Gemarkung Oberried,industrial,40,0
Oberried,Gemarkung Oberried,industrial,120,0
Oberried,Gemarkung Oberried,residential,0,0
Oberried,Gemarkung Oberried,residential,5,38
Oberried,Gemarkung Oberried,residential,10,100
Oberried,Gemarkung Oberried,residential,15,129
Oberried,Gemarkung Oberried,residential,20,30
Oberried,Gemarkung Oberried,residential,25,13
Oberried,Gemarkung Oberried,residential,30,6
Oberried,Gemarkung Oberried,residential,40,31
Oberried,Gemarkung Oberried,residential,120,18
Oberried,Gemarkung Oberried,unbekannt,0,0
Oberried,Gemarkung Oberried,unbekannt,5,0
Oberried,Gemarkung Oberried,unbekannt,10,1
Oberried,Gemarkung Oberried,unbekannt,15,0
Oberried,Gemarkung Oberried,unbekannt,20,2
Oberried,Gemarkung Oberried,unbekannt,25,0
Oberried,Gemarkung Oberried,unbekannt,30,0
Oberried,Gemarkung Oberried,unbekannt,40,3
Oberried,Gemarkung Oberried,unbekannt,120,3
Oberried,Hofsgrund,commercial,0,0
Oberried,Hofsgrund,commercial,5,0
Oberried,Hofsgrund,commercial,10,0
Oberried,Hofsgrund,commercial,15,0
Oberried,Hofsgrund,commercial,20,0
Oberried,Hofsgrund,commercial,25,0
Oberried,Hofsgrund,commercial,30,0
Oberried,Hofsgrund,commercial,40,0
Oberried,Hofsgrund,commercial,120,0
Oberried,Hofsgrund,farmyard,0,0
Oberried,Hofsgrund,farmyard,5,0
Oberried,Hofsgrund,farmyard,10,0
Oberried,Hofsgrund,farmyard,15,0
Oberried,Hofsgrund,farmyard,20,0
Oberried,Hofsgrund,farmyard,25,0
Oberried,Hofsgrund,farmyard,30,0
Oberried,Hofsgrund,farmyard,40,0
Oberried,Hofsgrund,farmyard,120,6
Oberried,Hofsgrund,industrial,0,0
Oberried,Hofsgrund,industrial,5,0
Oberried,Hofsgrund,industrial,10,0
Oberried,Hofsgrund,industrial,15,0
Oberried,Hofsgrund,industrial,20,0
Oberried,Hofsgrund,industrial,25,0
Oberried,Hofsgrund,industrial,30,0
Oberried,Hofsgrund,industrial,40,0
Oberried,Hofsgrund,industrial,120,0
Oberried,Hofsgrund,residential,0,0
Oberried,Hofsgrund,residential,5,0
Oberried,Hofsgrund,residential,10,0
Oberried,Hofsgrund,residential,15,0
Oberried,Hofsgrund,residential,20,0
Oberried,Hofsgrund,residential,25,0
Oberried,Hofsgrund,residential,30,0
Oberried,Hofsgrund,residential,40,0
Oberried,Hofsgrund,residential,120,128
Oberried,Hofsgrund,unbekannt,0,0
Oberried,Hofsgrund,unbekannt,5,0
Oberried,Hofsgrund,unbekannt,10,0
Oberried,Hofsgrund,unbekannt,15,0
Oberried,Hofsgrund,unbekannt,20,0
Oberried,Hofsgrund,unbekannt,25,0
Oberried,Hofsgrund,unbekannt,30,0
Oberried,Hofsgrund,unbekannt,40,0
Oberried,Hofsgrund,unbekannt,120,15
Oberried,Sankt Wilhelm,commercial,0,0
Oberried,Sankt Wilhelm,commercial,5,0
Oberried,Sankt Wilhelm,commercial,10,0
Oberried,Sankt Wilhelm,commercial,15,0
Oberried,Sankt Wilhelm,commercial,20,0
Oberried,Sankt Wilhelm,commercial,25,0
Oberried,Sankt Wilhelm,commercial,30,0
Oberried,Sankt Wilhelm,commercial,40,0
Oberried,Sankt Wilhelm,commercial,120,0
Oberried,Sankt Wilhelm,farmyard,0,0
Oberried,Sankt Wilhelm,farmyard,5,0
Oberried,Sankt Wilhelm,farmyard,10,0
Oberried,Sankt Wilhelm,farmyard,15,0
Oberried,Sankt Wilhelm,farmyard,20,0
Oberried,Sankt Wilhelm,farmyard,25,0
Oberried,Sankt Wilhelm,farmyard,30,0
Oberried,Sankt Wilhelm,farmyard,40,0
Oberried,Sankt Wilhelm,farmyard,120,8
Oberried,Sankt Wilhelm,industrial,0,0
Oberried,Sankt Wilhelm,industrial,5,0
Oberried,Sankt Wilhelm,industrial,10,0
Oberried,Sankt Wilhelm,industrial,15,0
Oberried,Sankt Wilhelm,industrial,20,0
Oberried,Sankt Wilhelm,industrial,25,0
Oberried,Sankt Wilhelm,industrial,30,0
Oberried,Sankt Wilhelm,industrial,40,0
Oberried,Sankt Wilhelm,industrial,120,0
Oberried,Sankt Wilhelm,residential,0,0
Oberried,Sankt Wilhelm,residential,5,0
Oberried,Sankt Wilhelm,residential,10,0
Oberried,Sankt Wilhelm,residential,15,0
Oberried,Sankt Wilhelm,residential,20,0
Oberried,Sankt Wilhelm,residential,25,0
Oberried,Sankt Wilhelm,residential,30,0
Oberried,Sankt Wilhelm,residential,40,0
Oberried,Sankt Wilhelm,residential,120,49
Oberried,Sankt Wilhelm,unbekannt,0,0
Oberried,Sankt Wilhelm,unbekannt,5,0
Oberried,Sankt Wilhelm,unbekannt,10,0
Oberried,Sankt Wilhelm,unbekannt,15,0
Oberried,Sankt Wilhelm,unbekannt,20,0
Oberried,Sankt Wilhelm,unbekannt,25,0
Oberried,Sankt Wilhelm,unbekannt,30,0
Oberried,Sankt Wilhelm,unbekannt,40,0
Oberried,Sankt Wilhelm,unbekannt,120,12
Oberried,Zastler,commercial,0,0
Oberried,Zastler,commercial,5,0
Oberried,Zastler,commercial,10,0
Oberried,Zastler,commercial,15,0
Oberried,Zastler,commercial,20,0
Oberried,Zastler,commercial,25,0
Oberried,Zastler,commercial,30,0
Oberried,Zastler,commercial,40,0
Oberried,Zastler,commercial,120,0
Oberried,Zastler,farmyard,0,0
Oberried,Zastler,farmyard,5,2
Oberried,Zastler,farmyard,10,0
Oberried,Zastler,farmyard,15,2
Oberried,Zastler,farmyard,20,1
Oberried,Zastler,farmyard,25,1
Oberried,Zastler,farmyard,30,0
Oberried,Zastler,farmyard,40,2
Oberried,Zastler,farmyard,120,6
Oberried,Zastler,industrial,0,0
Oberried,Zastler,industrial,5,0
Oberried,Zastler,industrial,10,0
Oberried,Zastler,industrial,15,0
Oberried,Zastler,industrial,20,0
Oberried,Zastler,industrial,25,0
Oberried,Zastler,industrial,30,2
Oberried,Zastler,industrial,40,0
Oberried,Zastler,industrial,120,0
Oberried,Zastler,residential,0,0
Oberried,Zastler,residential,5,7
Oberried,Zastler,residential,10,4
Oberried,Zastler,residential,15,7
Oberried,Zastler,residential,20,3
Oberried,Zastler,residential,25,42
Oberried,Zastler,residential,30,21
Oberried,Zastler,residential,40,2
Oberried,Zastler,residential,120,5
Oberried,Zastler,unbekannt,0,0
Oberried,Zastler,unbekannt,5,1
Oberried,Zastler,unbekannt,10,0
Oberried,Zastler,unbekannt,15,0
Oberried,Zastler,unbekannt,20,0
Oberried,Zastler,unbekannt,25,0
Oberried,Zastler,unbekannt,30,0
Oberried,Zastler,unbekannt,40,1
Oberried,Zastler,unbekannt,120,6
Oberried,Oberried,commercial,0,0
Oberried,Oberried,commercial,5,0
Oberried,Oberried,commercial,10,0
Oberried,Oberried,commercial,15,0
Oberried,Oberried,commercial,20,0
Oberried,Oberried,commercial,25,0
Oberried,Oberried,commercial,30,0
Oberried,Oberried,commercial,40,0
Oberried,Oberried,commercial,120,0
Oberried,Oberried,farmyard,0,0
Oberried,Oberried,farmyard,5,0
Oberried,Oberried,farmyard,10,0
Oberried,Oberried,farmyard,15,0
Oberried,Oberried,farmyard,20,0
Oberried,Oberried,farmyard,25,0
Oberried,Oberried,farmyard,30,0
Oberried,Oberried,farmyard,40,0
Oberried,Oberried,farmyard,120,0
Oberried,Oberried,industrial,0,0
Oberried,Oberried,industrial,5,0
Oberried,Oberried,industrial,10,0
Oberried,Oberried,industrial,15,0
Oberried,Oberried,industrial,20,0
Oberried,Oberried,industrial,25,0
Oberried,Oberried,industrial,30,0
Oberried,Oberried,industrial,40,0
Oberried,Oberried,industrial,120,0
Oberried,Oberried,residential,0,0
Oberried,Oberried,residential,5,0
Oberried,Oberried,residential,10,0
Oberried,Oberried,residential,15,0
Oberried,Oberried,residential,20,0
Oberried,Oberried,residential,25,0
Oberried,Oberried,residential,30,0
Oberried,Oberried,residential,40,0
Oberried,Oberried,residential,120,0
Oberried,Oberried,unbekannt,0,0
Oberried,Oberried,unbekannt,5,0
Oberried,Oberried,unbekannt,10,0
Oberried,Oberried,unbekannt,15,0
Oberried,Oberried,unbekannt,20,0
Oberried,Oberried,unbekannt,25,0
Oberried,Oberried,unbekannt,30,0
Oberried,Oberried,unbekannt,40,0
Oberried,Oberried,unbekannt,120,0
