GemName,OrtName,Landuse,WegeDauer,Anzahl
Pfaffenweiler,Pfaffenweiler,commercial,0,0
Pfaffenweiler,Pfaffenweiler,commercial,5,0
Pfaffenweiler,Pfaffenweiler,commercial,10,0
Pfaffenweiler,Pfaffenweiler,commercial,15,4
Pfaffenweiler,Pfaffenweiler,commercial,20,0
Pfaffenweiler,Pfaffenweiler,commercial,25,0
Pfaffenweiler,Pfaffenweiler,commercial,30,0
Pfaffenweiler,Pfaffenweiler,commercial,40,0
Pfaffenweiler,Pfaffenweiler,commercial,120,0
Pfaffenweiler,Pfaffenweiler,farmyard,0,0
Pfaffenweiler,Pfaffenweiler,farmyard,5,0
Pfaffenweiler,Pfaffenweiler,farmyard,10,0
Pfaffenweiler,Pfaffenweiler,farmyard,15,0
Pfaffenweiler,Pfaffenweiler,farmyard,20,2
Pfaffenweiler,Pfaffenweiler,farmyard,25,0
Pfaffenweiler,Pfaffenweiler,farmyard,30,0
Pfaffenweiler,Pfaffenweiler,farmyard,40,0
Pfaffenweiler,Pfaffenweiler,farmyard,120,0
Pfaffenweiler,Pfaffenweiler,industrial,0,0
Pfaffenweiler,Pfaffenweiler,industrial,5,0
Pfaffenweiler,Pfaffenweiler,industrial,10,0
Pfaffenweiler,Pfaffenweiler,industrial,15,13
Pfaffenweiler,Pfaffenweiler,industrial,20,1
Pfaffenweiler,Pfaffenweiler,industrial,25,0
Pfaffenweiler,Pfaffenweiler,industrial,30,0
Pfaffenweiler,Pfaffenweiler,industrial,40,0
Pfaffenweiler,Pfaffenweiler,industrial,120,0
Pfaffenweiler,Pfaffenweiler,residential,0,0
Pfaffenweiler,Pfaffenweiler,residential,5,105
Pfaffenweiler,Pfaffenweiler,residential,10,314
Pfaffenweiler,Pfaffenweiler,residential,15,202
Pfaffenweiler,Pfaffenweiler,residential,20,96
Pfaffenweiler,Pfaffenweiler,residential,25,6
Pfaffenweiler,Pfaffenweiler,residential,30,0
Pfaffenweiler,Pfaffenweiler,residential,40,0
Pfaffenweiler,Pfaffenweiler,residential,120,0
Pfaffenweiler,Pfaffenweiler,unbekannt,0,0
Pfaffenweiler,Pfaffenweiler,unbekannt,5,0
Pfaffenweiler,Pfaffenweiler,unbekannt,10,2
Pfaffenweiler,Pfaffenweiler,unbekannt,15,4
Pfaffenweiler,Pfaffenweiler,unbekannt,20,1
Pfaffenweiler,Pfaffenweiler,unbekannt,25,0
Pfaffenweiler,Pfaffenweiler,unbekannt,30,0
Pfaffenweiler,Pfaffenweiler,unbekannt,40,0
Pfaffenweiler,Pfaffenweiler,unbekannt,120,0
