GemName,OrtName,Landuse,WegeDauer,Anzahl
Schluchsee,Fischbach,commercial,0,0
Schluchsee,Fischbach,commercial,5,0
Schluchsee,Fischbach,commercial,10,0
Schluchsee,Fischbach,commercial,15,0
Schluchsee,Fischbach,commercial,20,0
Schluchsee,Fischbach,commercial,25,0
Schluchsee,Fischbach,commercial,30,0
Schluchsee,Fischbach,commercial,40,0
Schluchsee,Fischbach,commercial,120,0
Schluchsee,Fischbach,farmyard,0,0
Schluchsee,Fischbach,farmyard,5,0
Schluchsee,Fischbach,farmyard,10,0
Schluchsee,Fischbach,farmyard,15,0
Schluchsee,Fischbach,farmyard,20,0
Schluchsee,Fischbach,farmyard,25,0
Schluchsee,Fischbach,farmyard,30,0
Schluchsee,Fischbach,farmyard,40,0
Schluchsee,Fischbach,farmyard,120,5
Schluchsee,Fischbach,industrial,0,0
Schluchsee,Fischbach,industrial,5,0
Schluchsee,Fischbach,industrial,10,0
Schluchsee,Fischbach,industrial,15,0
Schluchsee,Fischbach,industrial,20,0
Schluchsee,Fischbach,industrial,25,0
Schluchsee,Fischbach,industrial,30,0
Schluchsee,Fischbach,industrial,40,0
Schluchsee,Fischbach,industrial,120,1
Schluchsee,Fischbach,residential,0,0
Schluchsee,Fischbach,residential,5,0
Schluchsee,Fischbach,residential,10,0
Schluchsee,Fischbach,residential,15,0
Schluchsee,Fischbach,residential,20,0
Schluchsee,Fischbach,residential,25,0
Schluchsee,Fischbach,residential,30,0
Schluchsee,Fischbach,residential,40,0
Schluchsee,Fischbach,residential,120,89
Schluchsee,Fischbach,unbekannt,0,0
Schluchsee,Fischbach,unbekannt,5,0
Schluchsee,Fischbach,unbekannt,10,0
Schluchsee,Fischbach,unbekannt,15,0
Schluchsee,Fischbach,unbekannt,20,0
Schluchsee,Fischbach,unbekannt,25,0
Schluchsee,Fischbach,unbekannt,30,0
Schluchsee,Fischbach,unbekannt,40,0
Schluchsee,Fischbach,unbekannt,120,3
Schluchsee,Blasiwald,commercial,0,0
Schluchsee,Blasiwald,commercial,5,0
Schluchsee,Blasiwald,commercial,10,0
Schluchsee,Blasiwald,commercial,15,0
Schluchsee,Blasiwald,commercial,20,0
