Name,Landuse,WegeDauer,Anzahl
St. Märgen,farmyard,0,0
St. Märgen,farmyard,5,0
St. Märgen,farmyard,10,0
St. Märgen,farmyard,15,5
St. Märgen,farmyard,20,0
St. Märgen,farmyard,25,2
St. Märgen,farmyard,30,3
St. Märgen,farmyard,40,5
St. Märgen,farmyard,120,69
St. Märgen,industrial,0,0
St. Märgen,industrial,5,0
St. Märgen,industrial,10,0
St. Märgen,industrial,15,0
St. Märgen,industrial,20,1
St. Märgen,industrial,25,0
St. Märgen,industrial,30,0
St. Märgen,industrial,40,0
St. Märgen,industrial,120,0
St. Märgen,residential,0,0
St. Märgen,residential,5,65
St. Märgen,residential,10,101
St. Märgen,residential,15,106
St. Märgen,residential,20,22
St. Märgen,residential,25,4
St. Märgen,residential,30,2
St. Märgen,residential,40,4
St. Märgen,residential,120,89
St. Märgen,unbekannt,0,0
St. Märgen,unbekannt,5,0
St. Märgen,unbekannt,10,0
St. Märgen,unbekannt,15,0
St. Märgen,unbekannt,20,2
St. Märgen,unbekannt,25,1
St. Märgen,unbekannt,30,0
St. Märgen,unbekannt,40,0
St. Märgen,unbekannt,120,36
