GemName,OrtName,Landuse,WegeDauer,Anzahl
St. Peter,St. Peter,commercial,0,0
St. Peter,St. Peter,commercial,5,1
St. Peter,St. Peter,commercial,10,5
St. Peter,St. Peter,commercial,15,15
St. Peter,St. Peter,commercial,20,0
St. Peter,St. Peter,commercial,25,0
St. Peter,St. Peter,commercial,30,0
St. Peter,St. Peter,commercial,40,1
St. Peter,St. Peter,commercial,120,0
St. Peter,St. Peter,farmyard,0,0
St. Peter,St. Peter,farmyard,5,0
St. Peter,St. Peter,farmyard,10,1
St. Peter,St. Peter,farmyard,15,1
St. Peter,St. Peter,farmyard,20,4
St. Peter,St. Peter,farmyard,25,5
St. Peter,St. Peter,farmyard,30,3
St. Peter,St. Peter,farmyard,40,10
St. Peter,St. Peter,farmyard,120,89
St. Peter,St. Peter,industrial,0,0
St. Peter,St. Peter,industrial,5,0
St. Peter,St. Peter,industrial,10,0
St. Peter,St. Peter,industrial,15,0
St. Peter,St. Peter,industrial,20,0
St. Peter,St. Peter,industrial,25,0
St. Peter,St. Peter,industrial,30,0
St. Peter,St. Peter,industrial,40,1
St. Peter,St. Peter,industrial,120,0
St. Peter,St. Peter,residential,0,0
St. Peter,St. Peter,residential,5,35
St. Peter,St. Peter,residential,10,172
St. Peter,St. Peter,residential,15,111
St. Peter,St. Peter,residential,20,102
St. Peter,St. Peter,residential,25,17
St. Peter,St. Peter,residential,30,17
St. Peter,St. Peter,residential,40,8
St. Peter,St. Peter,residential,120,37
St. Peter,St. Peter,unbekannt,0,0
St. Peter,St. Peter,unbekannt,5,0
St. Peter,St. Peter,unbekannt,10,1
St. Peter,St. Peter,unbekannt,15,4
St. Peter,St. Peter,unbekannt,20,1
St. Peter,St. Peter,unbekannt,25,1
St. Peter,St. Peter,unbekannt,30,1
St. Peter,St. Peter,unbekannt,40,2
St. Peter,St. Peter,unbekannt,120,26
