GemName,OrtName,Landuse,WegeDauer,Anzahl
Stegen,Stegen (Kernort),farmyard,0,0
Stegen,Stegen (Kernort),farmyard,5,0
Stegen,Stegen (Kernort),farmyard,10,0
Stegen,Stegen (Kernort),farmyard,15,1
Stegen,Stegen (Kernort),farmyard,20,0
Stegen,Stegen (Kernort),farmyard,25,1
Stegen,Stegen (Kernort),farmyard,30,2
Stegen,Stegen (Kernort),farmyard,40,9
Stegen,Stegen (Kernort),farmyard,120,9
Stegen,Stegen (Kernort),industrial,0,0
Stegen,Stegen (Kernort),industrial,5,0
Stegen,Stegen (Kernort),industrial,10,0
Stegen,Stegen (Kernort),industrial,15,0
Stegen,Stegen (Kernort),industrial,20,0
Stegen,Stegen (Kernort),industrial,25,3
Stegen,Stegen (Kernort),industrial,30,8
Stegen,Stegen (Kernort),industrial,40,0
Stegen,Stegen (Kernort),industrial,120,0
Stegen,Stegen (Kernort),residential,0,0
Stegen,Stegen (Kernort),residential,5,77
Stegen,Stegen (Kernort),residential,10,191
Stegen,Stegen (Kernort),residential,15,187
Stegen,Stegen (Kernort),residential,20,108
Stegen,Stegen (Kernort),residential,25,7
Stegen,Stegen (Kernort),residential,30,11
Stegen,Stegen (Kernort),residential,40,0
Stegen,Stegen (Kernort),residential,120,14
Stegen,Stegen (Kernort),unbekannt,0,0
Stegen,Stegen (Kernort),unbekannt,5,0
Stegen,Stegen (Kernort),unbekannt,10,0
Stegen,Stegen (Kernort),unbekannt,15,3
Stegen,Stegen (Kernort),unbekannt,20,0
Stegen,Stegen (Kernort),unbekannt,25,3
Stegen,Stegen (Kernort),unbekannt,30,0
Stegen,Stegen (Kernort),unbekannt,40,0
Stegen,Stegen (Kernort),unbekannt,120,0
Stegen,Wittental,farmyard,0,0
Stegen,Wittental,farmyard,5,0
Stegen,Wittental,farmyard,10,0
Stegen,Wittental,farmyard,15,0
Stegen,Wittental,farmyard,20,0
Stegen,Wittental,farmyard,25,0
Stegen,Wittental,farmyard,30,0
Stegen,Wittental,farmyard,40,1
Stegen,Wittental,farmyard,120,5
Stegen,Wittental,industrial,0,0
Stegen,Wittental,industrial,5,0
Stegen,Wittental,industrial,10,0
Stegen,Wittental,industrial,15,0
Stegen,Wittental,industrial,20,0
Stegen,Wittental,industrial,25,0
Stegen,Wittental,industrial,30,0
Stegen,Wittental,industrial,40,0
Stegen,Wittental,industrial,120,0
Stegen,Wittental,residential,0,0
Stegen,Wittental,residential,5,0
Stegen,Wittental,residential,10,0
Stegen,Wittental,residential,15,0
Stegen,Wittental,residential,20,0
Stegen,Wittental,residential,25,0
Stegen,Wittental,residential,30,0
Stegen,Wittental,residential,40,7
Stegen,Wittental,residential,120,98
Stegen,Wittental,unbekannt,0,0
Stegen,Wittental,unbekannt,5,0
Stegen,Wittental,unbekannt,10,0
Stegen,Wittental,unbekannt,15,0
Stegen,Wittental,unbekannt,20,0
Stegen,Wittental,unbekannt,25,0
Stegen,Wittental,unbekannt,30,0
Stegen,Wittental,unbekannt,40,0
Stegen,Wittental,unbekannt,120,2
Stegen,Eschbach (Dreisamtal),farmyard,0,0
Stegen,Eschbach (Dreisamtal),farmyard,5,0
Stegen,Eschbach (Dreisamtal),farmyard,10,0
Stegen,Eschbach (Dreisamtal),farmyard,15,2
Stegen,Eschbach (Dreisamtal),farmyard,20,0
Stegen,Eschbach (Dreisamtal),farmyard,25,3
Stegen,Eschbach (Dreisamtal),farmyard,30,1
Stegen,Eschbach (Dreisamtal),farmyard,40,14
Stegen,Eschbach (Dreisamtal),farmyard,120,28
Stegen,Eschbach (Dreisamtal),industrial,0,0
Stegen,Eschbach (Dreisamtal),industrial,5,0
Stegen,Eschbach (Dreisamtal),industrial,10,0
Stegen,Eschbach (Dreisamtal),industrial,15,0
Stegen,Eschbach (Dreisamtal),industrial,20,0
Stegen,Eschbach (Dreisamtal),industrial,25,0
Stegen,Eschbach (Dreisamtal),industrial,30,0
Stegen,Eschbach (Dreisamtal),industrial,40,0
Stegen,Eschbach (Dreisamtal),industrial,120,0
Stegen,Eschbach (Dreisamtal),residential,0,0
Stegen,Eschbach (Dreisamtal),residential,5,24
Stegen,Eschbach (Dreisamtal),residential,10,19
Stegen,Eschbach (Dreisamtal),residential,15,26
Stegen,Eschbach (Dreisamtal),residential,20,48
Stegen,Eschbach (Dreisamtal),residential,25,67
Stegen,Eschbach (Dreisamtal),residential,30,36
Stegen,Eschbach (Dreisamtal),residential,40,9
Stegen,Eschbach (Dreisamtal),residential,120,11
Stegen,Eschbach (Dreisamtal),unbekannt,0,0
Stegen,Eschbach (Dreisamtal),unbekannt,5,0
Stegen,Eschbach (Dreisamtal),unbekannt,10,0
