GemName,OrtName,Landuse,WegeDauer,Anzahl
Sölden,Sölden,farmyard,0,0
Sölden,Sölden,farmyard,5,0
Sölden,Sölden,farmyard,10,0
Sölden,Sölden,farmyard,15,0
Sölden,Sölden,farmyard,20,0
Sölden,Sölden,farmyard,25,0
Sölden,Sölden,farmyard,30,0
Sölden,Sölden,farmyard,40,0
Sölden,Sölden,farmyard,120,0
Sölden,Sölden,residential,0,0
Sölden,Sölden,residential,5,76
Sölden,Sölden,residential,10,152
Sölden,Sölden,residential,15,161
Sölden,Sölden,residential,20,14
Sölden,Sölden,residential,25,0
Sölden,Sölden,residential,30,0
Sölden,Sölden,residential,40,0
Sölden,Sölden,residential,120,0
Sölden,Sölden,unbekannt,0,0
Sölden,Sölden,unbekannt,5,0
Sölden,Sölden,unbekannt,10,1
Sölden,Sölden,unbekannt,15,0
Sölden,Sölden,unbekannt,20,0
Sölden,Sölden,unbekannt,25,0
Sölden,Sölden,unbekannt,30,0
Sölden,Sölden,unbekannt,40,0
Sölden,Sölden,unbekannt,120,0
