GemName,OrtName,Landuse,WegeDauer,Anzahl
Titisee-Neustadt,Rudenberg,commercial,0,0
Titisee-Neustadt,Rudenberg,commercial,5,0
Titisee-Neustadt,Rudenberg,commercial,10,0
Titisee-Neustadt,Rudenberg,commercial,15,0
Titisee-Neustadt,Rudenberg,commercial,20,0
Titisee-Neustadt,Rudenberg,commercial,25,0
Titisee-Neustadt,Rudenberg,commercial,30,0
Titisee-Neustadt,Rudenberg,commercial,40,0
Titisee-Neustadt,Rudenberg,commercial,120,0
Titisee-Neustadt,Rudenberg,farmyard,0,0
Titisee-Neustadt,Rudenberg,farmyard,5,0
Titisee-Neustadt,Rudenberg,farmyard,10,0
Titisee-Neustadt,Rudenberg,farmyard,15,0
Titisee-Neustadt,Rudenberg,farmyard,20,0
Titisee-Neustadt,Rudenberg,farmyard,25,0
Titisee-Neustadt,Rudenberg,farmyard,30,0
Titisee-Neustadt,Rudenberg,farmyard,40,1
Titisee-Neustadt,Rudenberg,farmyard,120,13
Titisee-Neustadt,Rudenberg,industrial,0,0
Titisee-Neustadt,Rudenberg,industrial,5,0
Titisee-Neustadt,Rudenberg,industrial,10,0
Titisee-Neustadt,Rudenberg,industrial,15,0
Titisee-Neustadt,Rudenberg,industrial,20,0
Titisee-Neustadt,Rudenberg,industrial,25,0
Titisee-Neustadt,Rudenberg,industrial,30,0
Titisee-Neustadt,Rudenberg,industrial,40,0
Titisee-Neustadt,Rudenberg,industrial,120,0
Titisee-Neustadt,Rudenberg,residential,0,0
Titisee-Neustadt,Rudenberg,residential,5,0
Titisee-Neustadt,Rudenberg,residential,10,0
Titisee-Neustadt,Rudenberg,residential,15,0
Titisee-Neustadt,Rudenberg,residential,20,0
Titisee-Neustadt,Rudenberg,residential,25,0
Titisee-Neustadt,Rudenberg,residential,30,2
Titisee-Neustadt,Rudenberg,residential,40,1
Titisee-Neustadt,Rudenberg,residential,120,39
Titisee-Neustadt,Rudenberg,unbekannt,0,0
Titisee-Neustadt,Rudenberg,unbekannt,5,0
Titisee-Neustadt,Rudenberg,unbekannt,10,0
Titisee-Neustadt,Rudenberg,unbekannt,15,0
Titisee-Neustadt,Rudenberg,unbekannt,20,0
Titisee-Neustadt,Rudenberg,unbekannt,25,0
Titisee-Neustadt,Rudenberg,unbekannt,30,0
Titisee-Neustadt,Rudenberg,unbekannt,40,0
Titisee-Neustadt,Rudenberg,unbekannt,120,0
Titisee-Neustadt,Schwärzenbach,commercial,0,0
Titisee-Neustadt,Schwärzenbach,commercial,5,0
Titisee-Neustadt,Schwärzenbach,commercial,10,0
Titisee-Neustadt,Schwärzenbach,commercial,15,0
Titisee-Neustadt,Schwärzenbach,commercial,20,0
Titisee-Neustadt,Schwärzenbach,commercial,25,0
Titisee-Neustadt,Schwärzenbach,commercial,30,0
Titisee-Neustadt,Schwärzenbach,commercial,40,0
Titisee-Neustadt,Schwärzenbach,commercial,120,0
Titisee-Neustadt,Schwärzenbach,farmyard,0,0
Titisee-Neustadt,Schwärzenbach,farmyard,5,0
Titisee-Neustadt,Schwärzenbach,farmyard,10,0
Titisee-Neustadt,Schwärzenbach,farmyard,15,0
Titisee-Neustadt,Schwärzenbach,farmyard,20,0
Titisee-Neustadt,Schwärzenbach,farmyard,25,0
Titisee-Neustadt,Schwärzenbach,farmyard,30,0
Titisee-Neustadt,Schwärzenbach,farmyard,40,0
Titisee-Neustadt,Schwärzenbach,farmyard,120,36
Titisee-Neustadt,Schwärzenbach,industrial,0,0
Titisee-Neustadt,Schwärzenbach,industrial,5,0
Titisee-Neustadt,Schwärzenbach,industrial,10,0
Titisee-Neustadt,Schwärzenbach,industrial,15,0
Titisee-Neustadt,Schwärzenbach,industrial,20,0
Titisee-Neustadt,Schwärzenbach,industrial,25,0
Titisee-Neustadt,Schwärzenbach,industrial,30,0
Titisee-Neustadt,Schwärzenbach,industrial,40,0
Titisee-Neustadt,Schwärzenbach,industrial,120,0
Titisee-Neustadt,Schwärzenbach,residential,0,0
Titisee-Neustadt,Schwärzenbach,residential,5,0
Titisee-Neustadt,Schwärzenbach,residential,10,0
Titisee-Neustadt,Schwärzenbach,residential,15,0
Titisee-Neustadt,Schwärzenbach,residential,20,0
Titisee-Neustadt,Schwärzenbach,residential,25,0
Titisee-Neustadt,Schwärzenbach,residential,30,0
Titisee-Neustadt,Schwärzenbach,residential,40,0
Titisee-Neustadt,Schwärzenbach,residential,120,33
Titisee-Neustadt,Schwärzenbach,unbekannt,0,0
Titisee-Neustadt,Schwärzenbach,unbekannt,5,0
Titisee-Neustadt,Schwärzenbach,unbekannt,10,0
Titisee-Neustadt,Schwärzenbach,unbekannt,15,0
Titisee-Neustadt,Schwärzenbach,unbekannt,20,0
Titisee-Neustadt,Schwärzenbach,unbekannt,25,0
Titisee-Neustadt,Schwärzenbach,unbekannt,30,0
Titisee-Neustadt,Schwärzenbach,unbekannt,40,0
Titisee-Neustadt,Schwärzenbach,unbekannt,120,4
Titisee-Neustadt,Neustadt im Schwarzwald,commercial,0,0
Titisee-Neustadt,Neustadt im Schwarzwald,commercial,5,0
Titisee-Neustadt,Neustadt im Schwarzwald,commercial,10,3
Titisee-Neustadt,Neustadt im Schwarzwald,commercial,15,17
Titisee-Neustadt,Neustadt im Schwarzwald,commercial,20,15
Titisee-Neustadt,Neustadt im Schwarzwald,commercial,25,1
Titisee-Neustadt,Neustadt im Schwarzwald,commercial,30,1
Titisee-Neustadt,Neustadt im Schwarzwald,commercial,40,0
Titisee-Neustadt,Neustadt im Schwarzwald,commercial,120,0
Titisee-Neustadt,Neustadt im Schwarzwald,farmyard,0,0
Titisee-Neustadt,Neustadt im Schwarzwald,farmyard,5,0
Titisee-Neustadt,Neustadt im Schwarzwald,farmyard,10,0
Titisee-Neustadt,Neustadt im Schwarzwald,farmyard,15,0
Titisee-Neustadt,Neustadt im Schwarzwald,farmyard,20,0
Titisee-Neustadt,Neustadt im Schwarzwald,farmyard,25,0
Titisee-Neustadt,Neustadt im Schwarzwald,farmyard,30,0
Titisee-Neustadt,Neustadt im Schwarzwald,farmyard,40,0
Titisee-Neustadt,Neustadt im Schwarzwald,farmyard,120,9
Titisee-Neustadt,Neustadt im Schwarzwald,industrial,0,0
Titisee-Neustadt,Neustadt im Schwarzwald,industrial,5,0
Titisee-Neustadt,Neustadt im Schwarzwald,industrial,10,0
Titisee-Neustadt,Neustadt im Schwarzwald,industrial,15,9
Titisee-Neustadt,Neustadt im Schwarzwald,industrial,20,2
Titisee-Neustadt,Neustadt im Schwarzwald,industrial,25,4
Titisee-Neustadt,Neustadt im Schwarzwald,industrial,30,2
Titisee-Neustadt,Neustadt im Schwarzwald,industrial,40,47
Titisee-Neustadt,Neustadt im Schwarzwald,industrial,120,30
Titisee-Neustadt,Neustadt im Schwarzwald,residential,0,0
Titisee-Neustadt,Neustadt im Schwarzwald,residential,5,100
Titisee-Neustadt,Neustadt im Schwarzwald,residential,10,305
Titisee-Neustadt,Neustadt im Schwarzwald,residential,15,523
Titisee-Neustadt,Neustadt im Schwarzwald,residential,20,363
Titisee-Neustadt,Neustadt im Schwarzwald,residential,25,234
Titisee-Neustadt,Neustadt im Schwarzwald,residential,30,148
Titisee-Neustadt,Neustadt im Schwarzwald,residential,40,100
Titisee-Neustadt,Neustadt im Schwarzwald,residential,120,16
Titisee-Neustadt,Neustadt im Schwarzwald,unbekannt,0,0
Titisee-Neustadt,Neustadt im Schwarzwald,unbekannt,5,1
Titisee-Neustadt,Neustadt im Schwarzwald,unbekannt,10,4
Titisee-Neustadt,Neustadt im Schwarzwald,unbekannt,15,5
Titisee-Neustadt,Neustadt im Schwarzwald,unbekannt,20,5
Titisee-Neustadt,Neustadt im Schwarzwald,unbekannt,25,2
Titisee-Neustadt,Neustadt im Schwarzwald,unbekannt,30,12
Titisee-Neustadt,Neustadt im Schwarzwald,unbekannt,40,6
Titisee-Neustadt,Neustadt im Schwarzwald,unbekannt,120,10
Titisee-Neustadt,Langenordnach,commercial,0,0
Titisee-Neustadt,Langenordnach,commercial,5,0
Titisee-Neustadt,Langenordnach,commercial,10,0
Titisee-Neustadt,Langenordnach,commercial,15,0
Titisee-Neustadt,Langenordnach,commercial,20,0
Titisee-Neustadt,Langenordnach,commercial,25,0
Titisee-Neustadt,Langenordnach,commercial,30,0
Titisee-Neustadt,Langenordnach,commercial,40,0
Titisee-Neustadt,Langenordnach,commercial,120,0
Titisee-Neustadt,Langenordnach,farmyard,0,0
Titisee-Neustadt,Langenordnach,farmyard,5,0
Titisee-Neustadt,Langenordnach,farmyard,10,0
Titisee-Neustadt,Langenordnach,farmyard,15,0
Titisee-Neustadt,Langenordnach,farmyard,20,0
Titisee-Neustadt,Langenordnach,farmyard,25,0
Titisee-Neustadt,Langenordnach,farmyard,30,0
Titisee-Neustadt,Langenordnach,farmyard,40,4
Titisee-Neustadt,Langenordnach,farmyard,120,21
Titisee-Neustadt,Langenordnach,industrial,0,0
Titisee-Neustadt,Langenordnach,industrial,5,0
Titisee-Neustadt,Langenordnach,industrial,10,0
Titisee-Neustadt,Langenordnach,industrial,15,0
Titisee-Neustadt,Langenordnach,industrial,20,0
Titisee-Neustadt,Langenordnach,industrial,25,0
Titisee-Neustadt,Langenordnach,industrial,30,0
Titisee-Neustadt,Langenordnach,industrial,40,0
Titisee-Neustadt,Langenordnach,industrial,120,0
Titisee-Neustadt,Langenordnach,residential,0,0
Titisee-Neustadt,Langenordnach,residential,5,0
Titisee-Neustadt,Langenordnach,residential,10,0
Titisee-Neustadt,Langenordnach,residential,15,0
Titisee-Neustadt,Langenordnach,residential,20,0
Titisee-Neustadt,Langenordnach,residential,25,0
Titisee-Neustadt,Langenordnach,residential,30,0
Titisee-Neustadt,Langenordnach,residential,40,0
Titisee-Neustadt,Langenordnach,residential,120,28
Titisee-Neustadt,Langenordnach,unbekannt,0,0
Titisee-Neustadt,Langenordnach,unbekannt,5,0
Titisee-Neustadt,Langenordnach,unbekannt,10,0
Titisee-Neustadt,Langenordnach,unbekannt,15,0
Titisee-Neustadt,Langenordnach,unbekannt,20,0
Titisee-Neustadt,Langenordnach,unbekannt,25,0
Titisee-Neustadt,Langenordnach,unbekannt,30,0
Titisee-Neustadt,Langenordnach,unbekannt,40,0
Titisee-Neustadt,Langenordnach,unbekannt,120,9
Titisee-Neustadt,Waldau,commercial,0,0
Titisee-Neustadt,Waldau,commercial,5,0
Titisee-Neustadt,Waldau,commercial,10,0
Titisee-Neustadt,Waldau,commercial,15,0
Titisee-Neustadt,Waldau,commercial,20,0
Titisee-Neustadt,Waldau,commercial,25,0
Titisee-Neustadt,Waldau,commercial,30,0
Titisee-Neustadt,Waldau,commercial,40,0
Titisee-Neustadt,Waldau,commercial,120,0
Titisee-Neustadt,Waldau,farmyard,0,0
Titisee-Neustadt,Waldau,farmyard,5,0
Titisee-Neustadt,Waldau,farmyard,10,1
Titisee-Neustadt,Waldau,farmyard,15,3
Titisee-Neustadt,Waldau,farmyard,20,2
Titisee-Neustadt,Waldau,farmyard,25,4
Titisee-Neustadt,Waldau,farmyard,30,0
Titisee-Neustadt,Waldau,farmyard,40,3
Titisee-Neustadt,Waldau,farmyard,120,8
Titisee-Neustadt,Waldau,industrial,0,0
Titisee-Neustadt,Waldau,industrial,5,0
Titisee-Neustadt,Waldau,industrial,10,0
Titisee-Neustadt,Waldau,industrial,15,0
Titisee-Neustadt,Waldau,industrial,20,0
Titisee-Neustadt,Waldau,industrial,25,0
Titisee-Neustadt,Waldau,industrial,30,1
Titisee-Neustadt,Waldau,industrial,40,0
Titisee-Neustadt,Waldau,industrial,120,0
Titisee-Neustadt,Waldau,residential,0,0
Titisee-Neustadt,Waldau,residential,5,25
Titisee-Neustadt,Waldau,residential,10,25
Titisee-Neustadt,Waldau,residential,15,7
Titisee-Neustadt,Waldau,residential,20,3
Titisee-Neustadt,Waldau,residential,25,5
Titisee-Neustadt,Waldau,residential,30,0
Titisee-Neustadt,Waldau,residential,40,0
