GemName,OrtName,Landuse,WegeDauer,Anzahl
Umkirch,Umkirch,commercial,0,0
Umkirch,Umkirch,commercial,5,0
Umkirch,Umkirch,commercial,10,0
Umkirch,Umkirch,commercial,15,0
Umkirch,Umkirch,commercial,20,2
Umkirch,Umkirch,commercial,25,0
Umkirch,Umkirch,commercial,30,0
Umkirch,Umkirch,commercial,40,0
Umkirch,Umkirch,commercial,120,0
Umkirch,Umkirch,farmyard,0,0
Umkirch,Umkirch,farmyard,5,0
Umkirch,Umkirch,farmyard,10,0
Umkirch,Umkirch,farmyard,15,0
Umkirch,Umkirch,farmyard,20,2
Umkirch,Umkirch,farmyard,25,0
Umkirch,Umkirch,farmyard,30,0
Umkirch,Umkirch,farmyard,40,0
Umkirch,Umkirch,farmyard,120,10
Umkirch,Umkirch,industrial,0,0
Umkirch,Umkirch,industrial,5,0
Umkirch,Umkirch,industrial,10,0
Umkirch,Umkirch,industrial,15,0
Umkirch,Umkirch,industrial,20,0
Umkirch,Umkirch,industrial,25,6
Umkirch,Umkirch,industrial,30,18
Umkirch,Umkirch,industrial,40,62
Umkirch,Umkirch,industrial,120,43
Umkirch,Umkirch,residential,0,0
Umkirch,Umkirch,residential,5,36
Umkirch,Umkirch,residential,10,104
Umkirch,Umkirch,residential,15,429
Umkirch,Umkirch,residential,20,263
Umkirch,Umkirch,residential,25,89
Umkirch,Umkirch,residential,30,16
Umkirch,Umkirch,residential,40,0
Umkirch,Umkirch,residential,120,0
Umkirch,Umkirch,unbekannt,0,0
Umkirch,Umkirch,unbekannt,5,3
Umkirch,Umkirch,unbekannt,10,2
Umkirch,Umkirch,unbekannt,15,3
Umkirch,Umkirch,unbekannt,20,6
Umkirch,Umkirch,unbekannt,25,1
Umkirch,Umkirch,unbekannt,30,0
Umkirch,Umkirch,unbekannt,40,2
Umkirch,Umkirch,unbekannt,120,1
