GemName,OrtName,Landuse,WegeDauer,Anzahl
Vogtsburg im Kaiserstuhl,Bickensohl,commercial,0,0
Vogtsburg im Kaiserstuhl,Bickensohl,commercial,5,0
Vogtsburg im Kaiserstuhl,Bickensohl,commercial,10,0
Vogtsburg im Kaiserstuhl,Bickensohl,commercial,15,0
Vogtsburg im Kaiserstuhl,Bickensohl,commercial,20,0
Vogtsburg im Kaiserstuhl,Bickensohl,commercial,25,0
Vogtsburg im Kaiserstuhl,Bickensohl,commercial,30,0
Vogtsburg im Kaiserstuhl,Bickensohl,commercial,40,0
Vogtsburg im Kaiserstuhl,Bickensohl,commercial,120,0
Vogtsburg im Kaiserstuhl,Bickensohl,farmyard,0,0
Vogtsburg im Kaiserstuhl,Bickensohl,farmyard,5,0
Vogtsburg im Kaiserstuhl,Bickensohl,farmyard,10,0
Vogtsburg im Kaiserstuhl,Bickensohl,farmyard,15,0
Vogtsburg im Kaiserstuhl,Bickensohl,farmyard,20,0
Vogtsburg im Kaiserstuhl,Bickensohl,farmyard,25,0
Vogtsburg im Kaiserstuhl,Bickensohl,farmyard,30,0
Vogtsburg im Kaiserstuhl,Bickensohl,farmyard,40,0
Vogtsburg im Kaiserstuhl,Bickensohl,farmyard,120,12
Vogtsburg im Kaiserstuhl,Bickensohl,industrial,0,0
Vogtsburg im Kaiserstuhl,Bickensohl,industrial,5,0
Vogtsburg im Kaiserstuhl,Bickensohl,industrial,10,0
Vogtsburg im Kaiserstuhl,Bickensohl,industrial,15,0
Vogtsburg im Kaiserstuhl,Bickensohl,industrial,20,0
Vogtsburg im Kaiserstuhl,Bickensohl,industrial,25,0
Vogtsburg im Kaiserstuhl,Bickensohl,industrial,30,0
Vogtsburg im Kaiserstuhl,Bickensohl,industrial,40,0
Vogtsburg im Kaiserstuhl,Bickensohl,industrial,120,0
Vogtsburg im Kaiserstuhl,Bickensohl,residential,0,0
Vogtsburg im Kaiserstuhl,Bickensohl,residential,5,0
Vogtsburg im Kaiserstuhl,Bickensohl,residential,10,0
Vogtsburg im Kaiserstuhl,Bickensohl,residential,15,0
Vogtsburg im Kaiserstuhl,Bickensohl,residential,20,0
Vogtsburg im Kaiserstuhl,Bickensohl,residential,25,0
Vogtsburg im Kaiserstuhl,Bickensohl,residential,30,0
Vogtsburg im Kaiserstuhl,Bickensohl,residential,40,12
Vogtsburg im Kaiserstuhl,Bickensohl,residential,120,128
Vogtsburg im Kaiserstuhl,Bickensohl,unbekannt,0,0
Vogtsburg im Kaiserstuhl,Bickensohl,unbekannt,5,0
Vogtsburg im Kaiserstuhl,Bickensohl,unbekannt,10,0
Vogtsburg im Kaiserstuhl,Bickensohl,unbekannt,15,0
Vogtsburg im Kaiserstuhl,Bickensohl,unbekannt,20,0
Vogtsburg im Kaiserstuhl,Bickensohl,unbekannt,25,0
Vogtsburg im Kaiserstuhl,Bickensohl,unbekannt,30,0
Vogtsburg im Kaiserstuhl,Bickensohl,unbekannt,40,0
Vogtsburg im Kaiserstuhl,Bickensohl,unbekannt,120,0
Vogtsburg im Kaiserstuhl,Burkheim,commercial,0,0
Vogtsburg im Kaiserstuhl,Burkheim,commercial,5,0
Vogtsburg im Kaiserstuhl,Burkheim,commercial,10,0
Vogtsburg im Kaiserstuhl,Burkheim,commercial,15,0
Vogtsburg im Kaiserstuhl,Burkheim,commercial,20,0
Vogtsburg im Kaiserstuhl,Burkheim,commercial,25,0
Vogtsburg im Kaiserstuhl,Burkheim,commercial,30,0
Vogtsburg im Kaiserstuhl,Burkheim,commercial,40,0
Vogtsburg im Kaiserstuhl,Burkheim,commercial,120,1
Vogtsburg im Kaiserstuhl,Burkheim,farmyard,0,0
Vogtsburg im Kaiserstuhl,Burkheim,farmyard,5,0
Vogtsburg im Kaiserstuhl,Burkheim,farmyard,10,0
Vogtsburg im Kaiserstuhl,Burkheim,farmyard,15,0
Vogtsburg im Kaiserstuhl,Burkheim,farmyard,20,0
Vogtsburg im Kaiserstuhl,Burkheim,farmyard,25,0
Vogtsburg im Kaiserstuhl,Burkheim,farmyard,30,0
Vogtsburg im Kaiserstuhl,Burkheim,farmyard,40,0
Vogtsburg im Kaiserstuhl,Burkheim,farmyard,120,0
Vogtsburg im Kaiserstuhl,Burkheim,industrial,0,0
Vogtsburg im Kaiserstuhl,Burkheim,industrial,5,0
Vogtsburg im Kaiserstuhl,Burkheim,industrial,10,0
Vogtsburg im Kaiserstuhl,Burkheim,industrial,15,0
Vogtsburg im Kaiserstuhl,Burkheim,industrial,20,0
Vogtsburg im Kaiserstuhl,Burkheim,industrial,25,0
Vogtsburg im Kaiserstuhl,Burkheim,industrial,30,0
Vogtsburg im Kaiserstuhl,Burkheim,industrial,40,0
Vogtsburg im Kaiserstuhl,Burkheim,industrial,120,0
Vogtsburg im Kaiserstuhl,Burkheim,residential,0,0
Vogtsburg im Kaiserstuhl,Burkheim,residential,5,0
Vogtsburg im Kaiserstuhl,Burkheim,residential,10,0
