GemName,OrtName,Landuse,WegeDauer,Anzahl
Wittnau,Wittnau,farmyard,0,0
Wittnau,Wittnau,farmyard,5,0
Wittnau,Wittnau,farmyard,10,0
Wittnau,Wittnau,farmyard,15,0
Wittnau,Wittnau,farmyard,20,0
Wittnau,Wittnau,farmyard,25,1
Wittnau,Wittnau,farmyard,30,3
Wittnau,Wittnau,farmyard,40,1
Wittnau,Wittnau,farmyard,120,0
Wittnau,Wittnau,residential,0,0
Wittnau,Wittnau,residential,5,39
Wittnau,Wittnau,residential,10,152
Wittnau,Wittnau,residential,15,130
Wittnau,Wittnau,residential,20,105
Wittnau,Wittnau,residential,25,2
Wittnau,Wittnau,residential,30,0
Wittnau,Wittnau,residential,40,0
Wittnau,Wittnau,residential,120,0
Wittnau,Wittnau,unbekannt,0,0
Wittnau,Wittnau,unbekannt,5,0
Wittnau,Wittnau,unbekannt,10,0
Wittnau,Wittnau,unbekannt,15,1
Wittnau,Wittnau,unbekannt,20,0
Wittnau,Wittnau,unbekannt,25,0
Wittnau,Wittnau,unbekannt,30,1
Wittnau,Wittnau,unbekannt,40,0
Wittnau,Wittnau,unbekannt,120,0
