GemName,OrtName,Landuse,WegeDauer,Anzahl
Au,Au,commercial,0,
Au,Au,commercial,5,
Au,Au,commercial,10,
Au,Au,commercial,15,
Au,Au,commercial,20,
Au,Au,commercial,25,
Au,Au,commercial,30,
Au,Au,commercial,40,
Au,Au,commercial,120,
Au,Au,farmyard,0,
Au,Au,farmyard,5,
Au,Au,farmyard,10,
Au,Au,farmyard,15,
Au,Au,farmyard,20,
Au,Au,farmyard,25,
Au,Au,farmyard,30,
Au,Au,farmyard,40,
Au,Au,farmyard,120,
Au,Au,residential,0,
Au,Au,residential,5,
Au,Au,residential,10,
Au,Au,residential,15,
Au,Au,residential,20,
Au,Au,residential,25,
Au,Au,residential,30,
Au,Au,residential,40,
Au,Au,residential,120,
Au,Au,unbekannt,0,
Au,Au,unbekannt,5,
Au,Au,unbekannt,10,
Au,Au,unbekannt,15,
Au,Au,unbekannt,20,
Au,Au,unbekannt,25,
Au,Au,unbekannt,30,
Au,Au,unbekannt,40,
Au,Au,unbekannt,120,
Auggen,Auggen,commercial,0,
Auggen,Auggen,commercial,5,
Auggen,Auggen,commercial,10,
Auggen,Auggen,commercial,15,
Auggen,Auggen,commercial,20,
Auggen,Auggen,commercial,25,
Auggen,Auggen,commercial,30,
Auggen,Auggen,commercial,40,
Auggen,Auggen,commercial,120,
Auggen,Auggen,farmyard,0,
Auggen,Auggen,farmyard,5,
Auggen,Auggen,farmyard,10,
Auggen,Auggen,farmyard,15,
Auggen,Auggen,farmyard,20,
Auggen,Auggen,farmyard,25,
Auggen,Auggen,farmyard,30,
Auggen,Auggen,farmyard,40,
Auggen,Auggen,farmyard,120,
Auggen,Auggen,industrial,0,
Auggen,Auggen,industrial,5,
Auggen,Auggen,industrial,10,
Auggen,Auggen,industrial,15,
Auggen,Auggen,industrial,20,
Auggen,Auggen,industrial,25,
Auggen,Auggen,industrial,30,
Auggen,Auggen,industrial,40,
Auggen,Auggen,industrial,120,
Auggen,Auggen,residential,0,
Auggen,Auggen,residential,5,
Auggen,Auggen,residential,10,
Auggen,Auggen,residential,15,
Auggen,Auggen,residential,20,
Auggen,Auggen,residential,25,
Auggen,Auggen,residential,30,
Auggen,Auggen,residential,40,
Auggen,Auggen,residential,120,
Auggen,Auggen,unbekannt,0,
Auggen,Auggen,unbekannt,5,
Auggen,Auggen,unbekannt,10,
Auggen,Auggen,unbekannt,15,
Auggen,Auggen,unbekannt,20,
Auggen,Auggen,unbekannt,25,
Auggen,Auggen,unbekannt,30,
Auggen,Auggen,unbekannt,40,
Auggen,Auggen,unbekannt,120,
Bad Krozingen,Bad Krozingen,commercial,0,
Bad Krozingen,Bad Krozingen,commercial,5,
Bad Krozingen,Bad Krozingen,commercial,10,
Bad Krozingen,Bad Krozingen,commercial,15,
Bad Krozingen,Bad Krozingen,commercial,20,
Bad Krozingen,Bad Krozingen,commercial,25,
Bad Krozingen,Bad Krozingen,commercial,30,
Bad Krozingen,Bad Krozingen,commercial,40,
Bad Krozingen,Bad Krozingen,commercial,120,
Bad Krozingen,Bad Krozingen,farmyard,0,
Bad Krozingen,Bad Krozingen,farmyard,5,
Bad Krozingen,Bad Krozingen,farmyard,10,
Bad Krozingen,Bad Krozingen,farmyard,15,
Bad Krozingen,Bad Krozingen,farmyard,20,
Bad Krozingen,Bad Krozingen,farmyard,25,
Bad Krozingen,Bad Krozingen,farmyard,30,
Bad Krozingen,Bad Krozingen,farmyard,40,
Bad Krozingen,Bad Krozingen,farmyard,120,
Bad Krozingen,Bad Krozingen,industrial,0,
Bad Krozingen,Bad Krozingen,industrial,5,
Bad Krozingen,Bad Krozingen,industrial,10,
Bad Krozingen,Bad Krozingen,industrial,15,
Bad Krozingen,Bad Krozingen,industrial,20,
Bad Krozingen,Bad Krozingen,industrial,25,
Bad Krozingen,Bad Krozingen,industrial,30,
