Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2115;Helgoland;F;04.02.1998-09:00;04.02.1998-22:00;14;;eor;                                                                                                                                             
2115;Helgoland;F;11.02.1998-00:00;11.02.1998-06:00;7;;eor;                                                                                                                                              
2115;Helgoland;F;30.10.2000-15:00;07.11.2000-12:00;190;;eor;                                                                                                                                            
2115;Helgoland;F;16.08.2001-23:00;16.08.2001-23:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;14.08.2002-12:00;14.08.2002-13:00;2;;eor;                                                                                                                                              
2115;Helgoland;F;19.08.2002-15:00;19.08.2002-15:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;16.09.2002-01:00;16.09.2002-01:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;03.10.2003-12:00;03.10.2003-12:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;20.10.2003-11:00;20.10.2003-12:00;2;;eor;                                                                                                                                              
2115;Helgoland;F;20.10.2003-14:00;20.10.2003-16:00;3;;eor;                                                                                                                                              
2115;Helgoland;F;13.01.2004-09:00;13.01.2004-09:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;13.01.2004-13:00;13.01.2004-14:00;2;;eor;                                                                                                                                              
2115;Helgoland;F;15.01.2004-14:00;15.01.2004-14:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;21.01.2004-11:00;21.01.2004-11:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;03.02.2004-11:00;03.02.2004-11:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;07.04.2004-10:00;07.04.2004-10:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;01.10.2004-18:00;01.10.2004-18:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;20.10.2004-12:00;20.10.2004-12:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;24.10.2004-06:00;24.10.2004-06:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;08.11.2004-15:00;08.11.2004-16:00;2;;eor;                                                                                                                                              
2115;Helgoland;F;14.12.2004-19:00;14.12.2004-19:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;18.12.2004-18:00;18.12.2004-18:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;07.01.2005-08:00;07.01.2005-08:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;25.01.2005-08:00;25.01.2005-08:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;06.02.2005-09:00;06.02.2005-09:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;25.02.2005-18:00;25.02.2005-18:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;03.03.2005-15:00;03.03.2005-15:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;30.03.2005-06:00;30.03.2005-07:00;2;;eor;                                                                                                                                              
2115;Helgoland;F;11.04.2005-11:00;11.04.2005-11:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;07.06.2005-13:00;07.06.2005-13:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;08.06.2005-12:00;08.06.2005-12:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;19.08.2005-17:00;19.08.2005-17:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;22.08.2005-15:00;22.08.2005-15:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;25.09.2005-06:00;25.09.2005-06:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;14.10.2005-10:00;14.10.2005-10:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;01.12.2005-09:00;01.12.2005-09:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;01.12.2005-13:00;01.12.2005-13:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;02.12.2005-06:00;02.12.2005-06:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;08.01.2006-17:00;08.01.2006-17:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;16.01.2006-22:00;17.01.2006-01:00;4;;eor;                                                                                                                                              
2115;Helgoland;F;26.01.2006-06:00;26.01.2006-06:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;24.02.2006-18:00;24.02.2006-18:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;07.03.2006-21:00;07.03.2006-21:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;10.03.2006-18:00;10.03.2006-18:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;03.04.2006-13:00;03.04.2006-13:00;1;;eor;                                                                                                                                              
2115;Helgoland;F;04.04.2006-16:00;04.04.2006-16:00;1;;eor;                                                                                                                                              
