STATIONS_ID;MESS_DATUM;QN_3;   F;   D;eor
       2115;2023072700;   10;   6.4; 260;eor
       2115;2023072701;   10;   6.9; 250;eor
       2115;2023072702;   10;   6.7; 240;eor
       2115;2023072703;   10;   6.1; 230;eor
       2115;2023072704;   10;   5.5; 230;eor
       2115;2023072705;   10;   5.5; 210;eor
       2115;2023072706;   10;   5.0; 210;eor
       2115;2023072707;   10;   4.1; 200;eor
       2115;2023072708;   10;   4.2; 190;eor
       2115;2023072709;   10;   4.7; 200;eor
       2115;2023072710;   10;   4.5; 190;eor
       2115;2023072711;   10;   4.2; 170;eor
       2115;2023072712;   10;   4.3; 170;eor
       2115;2023072713;   10;   4.1; 160;eor
       2115;2023072714;   10;   4.4; 150;eor
       2115;2023072715;   10;   4.9; 130;eor
       2115;2023072716;   10;   5.4; 130;eor
       2115;2023072717;   10;   4.0; 140;eor
       2115;2023072718;   10;   3.8; 140;eor
       2115;2023072719;   10;   4.4; 120;eor
       2115;2023072720;   10;   4.5; 110;eor
       2115;2023072721;   10;   3.8; 120;eor
       2115;2023072722;   10;   4.6; 110;eor
       2115;2023072723;   10;   5.4; 110;eor
       2115;2023072800;   10;   4.6; 110;eor
       2115;2023072801;   10;   3.7; 100;eor
       2115;2023072802;   10;   4.2;  90;eor
       2115;2023072803;   10;   5.0;  80;eor
       2115;2023072804;   10;   4.7;  90;eor
       2115;2023072805;   10;   4.0;  80;eor
       2115;2023072806;   10;   4.3;  90;eor
       2115;2023072807;   10;   4.1;  90;eor
       2115;2023072808;   10;   4.3; 100;eor
       2115;2023072809;   10;   3.8; 120;eor
       2115;2023072810;   10;   2.6; 140;eor
       2115;2023072811;   10;   2.1; 170;eor
       2115;2023072812;   10;   2.1; 180;eor
       2115;2023072813;   10;   2.8; 190;eor
       2115;2023072814;   10;   3.6; 230;eor
       2115;2023072815;   10;   4.9; 260;eor
       2115;2023072816;   10;   3.9; 280;eor
       2115;2023072817;   10;   3.5; 290;eor
       2115;2023072818;   10;   3.6; 280;eor
       2115;2023072819;   10;   3.6; 280;eor
       2115;2023072820;   10;   2.3; 280;eor
       2115;2023072821;   10;   1.8; 270;eor
       2115;2023072822;   10;   1.3; 190;eor
       2115;2023072823;   10;   2.2; 190;eor
       2115;2023072900;   10;   2.6; 180;eor
       2115;2023072901;   10;   3.3; 180;eor
       2115;2023072902;   10;   3.0; 190;eor
       2115;2023072903;   10;   2.9; 190;eor
       2115;2023072904;   10;   3.7; 190;eor
       2115;2023072905;   10;   4.9; 210;eor
       2115;2023072906;   10;   4.7; 220;eor
       2115;2023072907;   10;   5.2; 220;eor
       2115;2023072908;   10;   5.5; 220;eor
       2115;2023072909;   10;   5.8; 220;eor
       2115;2023072910;   10;   5.7; 230;eor
       2115;2023072911;   10;   5.7; 230;eor
       2115;2023072912;   10;   5.5; 240;eor
       2115;2023072913;   10;   6.0; 240;eor
       2115;2023072914;   10;   5.8; 250;eor
       2115;2023072915;   10;   5.7; 260;eor
       2115;2023072916;   10;   5.7; 260;eor
       2115;2023072917;   10;   5.7; 260;eor
       2115;2023072918;   10;   5.4; 260;eor
       2115;2023072919;   10;   4.5; 260;eor
       2115;2023072920;   10;   4.1; 260;eor
       2115;2023072921;   10;   3.2; 260;eor
